,나스 새틴 립 펜슬_0,나스 새틴 립 펜슬_1,나스 새틴 립 펜슬_2,나스 벨벳 매트 립 펜슬_0,나스 벨벳 매트 립 펜슬_1,나스 벨벳 매트 립 펜슬_2,메이크업포에버 아티스트 립 블러쉬_0,메이크업포에버 아티스트 립 블러쉬_1,메이크업포에버 아티스트 립 블러쉬_2,더페이스샵 크리미 터치 립라이너_0,더페이스샵 크리미 터치 립라이너_1,더페이스샵 크리미 터치 립라이너_2,맥 페이턴트폴리쉬 립 펜슬_0,맥 페이턴트폴리쉬 립 펜슬_1,맥 페이턴트폴리쉬 립 펜슬_2,마몽드 크리미 틴트 컬러 밤 인텐스_0,마몽드 크리미 틴트 컬러 밤 인텐스_1,마몽드 크리미 틴트 컬러 밤 인텐스_2,맥 립 펜슬_0,맥 립 펜슬_1,맥 립 펜슬_2,마몽드 크리미 틴트 컬러밤 글라이드_0,마몽드 크리미 틴트 컬러밤 글라이드_1,마몽드 크리미 틴트 컬러밤 글라이드_2,웨이크메이크 철벽 컬러 립 초크_0,웨이크메이크 철벽 컬러 립 초크_1,웨이크메이크 철벽 컬러 립 초크_2,더페이스샵 플랫 벨벳 스틱_0,더페이스샵 플랫 벨벳 스틱_1,더페이스샵 플랫 벨벳 스틱_2,레브론 컬러버스트 매트밤_0,레브론 컬러버스트 매트밤_1,레브론 컬러버스트 매트밤_2,에뛰드 소프트 터치 오토 립 라이너 AD_0,에뛰드 소프트 터치 오토 립 라이너 AD_1,에뛰드 소프트 터치 오토 립 라이너 AD_2,어퓨 컬러 립 펜슬  매트 _0,어퓨 컬러 립 펜슬  매트 _1,어퓨 컬러 립 펜슬  매트 _2,미샤 립펜슬 이탈프리즘   매트_0,미샤 립펜슬 이탈프리즘   매트_1,미샤 립펜슬 이탈프리즘   매트_2,마몽드 크리미 틴트 컬러 밤 라이트_0,마몽드 크리미 틴트 컬러 밤 라이트_1,마몽드 크리미 틴트 컬러 밤 라이트_2,부르조아 써니스틱_0,부르조아 써니스틱_1,부르조아 써니스틱_2,미샤 립펜슬 이탈프리즘   멜티_0,미샤 립펜슬 이탈프리즘   멜티_1,미샤 립펜슬 이탈프리즘   멜티_2,스킨푸드 비타 컬러 딜리셔스 스트로 벨벳 _0,스킨푸드 비타 컬러 딜리셔스 스트로 벨벳 _1,스킨푸드 비타 컬러 딜리셔스 스트로 벨벳 _2,더샘 샘물 스머지 립 크레용_0,더샘 샘물 스머지 립 크레용_1,더샘 샘물 스머지 립 크레용_2,손앤박 립 크레용_0,손앤박 립 크레용_1,손앤박 립 크레용_2,롬앤 글래스팅 워터 글로스_0,롬앤 글래스팅 워터 글로스_1,롬앤 글래스팅 워터 글로스_2,RMK 립 젤리 글로스_0,RMK 립 젤리 글로스_1,RMK 립 젤리 글로스_2,롬앤 립매터_0,롬앤 립매터_1,롬앤 립매터_2,에뛰드 앵두알 촉촉 립 글로우_0,에뛰드 앵두알 촉촉 립 글로우_1,에뛰드 앵두알 촉촉 립 글로우_2,더샘 샘물 세럼 립글로스_0,더샘 샘물 세럼 립글로스_1,더샘 샘물 세럼 립글로스_2,나스 립 글로스_0,나스 립 글로스_1,나스 립 글로스_2,샤넬 루쥬 코코 글로스_0,샤넬 루쥬 코코 글로스_1,샤넬 루쥬 코코 글로스_2,디올 어딕트 립 맥시마이저_0,디올 어딕트 립 맥시마이저_1,디올 어딕트 립 맥시마이저_2,에센스 샤인 샤인 샤인 립글로스_0,에센스 샤인 샤인 샤인 립글로스_1,에센스 샤인 샤인 샤인 립글로스_2,맥 크림쉰 글라스_0,맥 크림쉰 글라스_1,맥 크림쉰 글라스_2,랑콤 압솔뤼 글로스 크림_0,랑콤 압솔뤼 글로스 크림_1,랑콤 압솔뤼 글로스 크림_2,홀리카홀리카 멀티 글로이 부스터_0,홀리카홀리카 멀티 글로이 부스터_1,홀리카홀리카 멀티 글로이 부스터_2,에스티 로더 퓨어 칼라 엔비 립 글로스_0,에스티 로더 퓨어 칼라 엔비 립 글로스_1,에스티 로더 퓨어 칼라 엔비 립 글로스_2,스틸라 뷰티 보스 립 글로스_0,스틸라 뷰티 보스 립 글로스_1,스틸라 뷰티 보스 립 글로스_2,디올 어딕트 울트라 글로스_0,디올 어딕트 울트라 글로스_1,디올 어딕트 울트라 글로스_2,어퓨 와사비야 립 플럼퍼_0,어퓨 와사비야 립 플럼퍼_1,어퓨 와사비야 립 플럼퍼_2,에뛰드 플럼핑 펄 시럽_0,에뛰드 플럼핑 펄 시럽_1,에뛰드 플럼핑 펄 시럽_2,미샤 펄 인 러브 글로스_0,미샤 펄 인 러브 글로스_1,미샤 펄 인 러브 글로스_2,듀왑 립 베놈 시리즈_0,듀왑 립 베놈 시리즈_1,듀왑 립 베놈 시리즈_2,디올 어딕트 립 글로스_0,디올 어딕트 립 글로스_1,디올 어딕트 립 글로스_2
0,2.81385,100.0,72.0,20.45454,32.22748,33.65853,70.65868,35.65217,40.02217,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.266,8.51764,31.57894,32.91139,100.0,0.0,0.0,14.11764,0.0,19.75524,4.23976,0.0,87.6,0.0,36.36363,11.36363,0.0,0.0,0.0,0.0,0.0,4.97512,0.0,0.0,0.0,0.0,3.09667,8.6858,68.29268,74.4186,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70.15209,100.0,65.90909,0.0,0.0,0.0,69.69696,20.58823,5.32786,11.81818,0.0,35.65217,0.0,0.0,0.0,0.0,0.0,0.0,11.92052,33.33333,83.75,0.0,39.25619,19.23076,47.79411,16.17647,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75862,70.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,28.57142,0.0
1,2.1645,30.23255,100.0,44.88636,27.96208,26.58536,98.35329,22.17391,41.46341,0.0,45.45454,0.0,0.0,0.0,0.0,67.06242,32.266,22.77647,56.14035,49.36708,92.40506,0.0,0.0,14.11764,0.0,22.02797,2.77777,0.07294,100.0,0.0,18.18181,36.36363,0.0,0.0,0.0,0.0,0.0,9.45273,13.88888,0.0,0.0,0.0,14.35045,12.76435,41.46341,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.80988,75.0,63.63636,0.0,0.0,0.0,54.54545,26.47058,4.91803,24.54545,0.0,26.95652,0.0,0.0,0.0,0.0,0.0,0.0,7.28476,47.22222,46.25,0.0,34.06795,26.92307,40.44117,22.79411,61.29032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,96.55172,76.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.1948,65.11627,48.0,32.95454,30.80568,31.46341,88.92215,58.69565,34.70066,0.0,0.0,0.0,0.0,0.0,0.0,54.70408,29.18719,12.42352,57.01754,46.83544,77.21518,0.0,0.0,14.70588,0.0,16.08391,2.63157,0.0,42.26666,0.0,27.27272,18.18181,0.0,0.0,0.0,0.0,0.0,10.44776,0.0,0.0,0.0,0.0,8.83685,9.13897,65.85365,37.2093,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,74.71482,82.25806,77.27272,0.0,0.0,0.85158,54.54545,41.17647,2.86885,43.63636,0.0,27.82608,0.0,0.0,0.0,0.0,0.0,0.0,14.56953,22.22222,17.5,0.0,42.19467,88.46153,30.88235,11.02941,38.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,96.55172,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,38.09523,0.0
3,2.1645,46.51162,84.0,20.45454,36.49289,25.36585,63.02395,43.04347,42.57206,0.0,0.0,0.0,0.0,0.0,0.0,48.5339,30.17241,16.42352,42.10526,29.11392,82.27848,0.0,0.0,17.94117,0.0,25.52447,3.21637,0.0,39.86666,0.0,54.54545,27.27272,0.0,0.0,0.0,0.0,0.0,10.94527,16.66666,0.0,0.0,0.0,6.64652,5.43806,43.90243,23.25581,0.0,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,73.76425,70.96774,86.36363,0.0,0.0,1.33819,45.45454,47.05882,6.96721,21.36363,0.0,32.17391,0.0,0.0,0.0,0.0,0.0,0.0,9.93377,36.11111,30.0,0.0,90.44995,19.23076,31.61764,8.82352,51.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,0.0,0.0,53.33333,86.20689,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5974,65.11627,44.0,20.45454,39.81042,22.43902,66.61676,49.13043,100.0,100.0,0.0,0.0,0.0,0.0,0.0,45.38586,33.99014,11.34117,38.59649,35.44303,49.36708,0.0,0.0,15.88235,0.0,24.30069,2.19298,0.0,33.6,0.0,29.54545,54.54545,0.0,0.0,0.0,0.0,0.0,6.46766,16.66666,0.0,0.0,0.0,4.68277,8.30815,14.63414,27.90697,0.0,50.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,67.30038,84.67741,72.72727,0.0,0.0,2.31143,34.84848,23.52941,3.68852,23.63636,0.0,28.69565,21.875,0.0,0.0,0.0,0.0,0.0,11.92052,52.77777,42.5,0.0,47.70431,65.38461,28.67647,17.64705,64.51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,0.0,0.0,100.0,89.65517,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.1645,53.48837,76.0,25.0,41.23222,28.29268,69.31137,63.04347,85.80931,0.0,0.0,0.0,0.0,0.0,0.0,46.21334,52.09359,6.11764,25.43859,40.50632,54.43037,0.0,0.0,24.41176,0.0,27.62237,1.31578,0.0,37.73333,0.0,40.90909,29.54545,0.0,0.0,0.0,0.0,0.0,8.95522,0.0,0.0,0.0,0.0,3.32326,9.2145,100.0,100.0,0.0,70.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,66.73003,66.12903,61.36363,0.0,0.0,2.67639,39.39393,29.41176,5.32786,20.0,0.0,33.04347,0.0,0.0,0.0,0.0,0.0,0.0,15.23178,41.66666,28.75,0.0,50.96418,69.23076,32.35294,10.29411,64.51612,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,66.66666,24.13793,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0
6,3.0303,67.44186,72.0,21.5909,34.12322,24.39024,56.88622,58.26086,68.847,0.0,0.0,0.0,0.0,0.0,0.0,37.093,43.59605,5.6,33.33333,44.30379,55.6962,0.0,0.0,20.29411,0.0,43.18181,3.50877,0.0,42.26666,0.0,100.0,40.90909,0.0,0.0,0.0,0.0,0.0,10.44776,0.0,0.0,0.0,0.0,2.49244,7.47734,19.51219,72.09302,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,88.21292,41.93548,72.72727,0.0,0.0,2.67639,30.30303,55.88235,0.0,19.54545,0.0,33.91304,0.0,0.0,0.0,0.0,0.0,0.0,20.5298,100.0,50.0,0.0,49.54086,65.38461,89.70588,13.97058,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,62.5,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,40.0,55.17241,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.30769,72.5,0.0,0.0,0.0,0.0,47.61904,0.0
7,1.2987,60.46511,52.0,25.56818,33.64928,21.21951,55.08982,46.52173,62.30598,0.0,0.0,0.0,0.0,0.0,0.0,25.77801,41.99507,3.67058,45.61403,53.16455,53.16455,0.0,4.07854,19.11764,0.0,35.31468,3.80116,0.0,25.73333,0.0,29.54545,100.0,0.0,0.0,0.0,0.0,0.0,3.98009,0.0,0.0,0.0,0.0,3.47432,5.13595,60.9756,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.80988,30.64516,56.81818,0.0,0.0,18.85644,42.42424,85.29411,33.19672,20.90909,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59602,86.11111,46.25,0.0,86.2718,76.92307,97.05882,20.58823,67.74193,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.53846,0.0,0.0,60.0,72.41379,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,23.80952,0.0
8,2.1645,65.11627,80.0,21.5909,35.54502,29.75609,49.55089,48.69565,57.2062,0.0,0.0,0.0,0.0,0.0,0.0,24.84259,27.95566,5.27058,41.22807,69.62025,54.43037,0.0,2.87009,10.88235,0.0,28.4965,3.65497,0.10942,23.86666,0.0,36.36363,29.54545,0.0,0.0,0.0,0.0,0.0,5.47263,0.0,0.0,0.0,0.0,2.94561,6.34441,43.90243,74.4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.79087,58.87096,38.63636,0.0,0.0,22.38442,48.48484,38.23529,14.75409,22.27272,0.0,37.3913,0.0,0.0,0.0,0.0,0.0,0.0,23.1788,63.88888,43.75,0.0,65.88613,57.6923,100.0,26.47058,54.8387,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,0.0,0.0,60.0,68.96551,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,40.0,0.0,0.0,0.0,0.0,42.85714,0.0
9,1.7316,41.86046,76.0,35.79545,51.65876,29.26829,58.23353,46.95652,45.56541,0.0,0.0,0.0,0.0,0.0,0.0,16.31588,26.72413,7.38823,36.8421,37.97468,45.56962,0.0,2.34138,11.17647,0.0,33.21678,3.50877,0.48632,23.86666,0.0,34.0909,36.36363,0.0,0.0,0.0,0.0,0.0,8.95522,0.0,0.0,0.0,0.0,5.36253,6.79758,48.78048,67.44186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.95817,74.19354,54.54545,0.0,0.0,27.00729,36.36363,47.05882,13.93442,77.27272,0.0,38.26086,0.0,0.0,0.0,0.0,0.0,0.0,37.08609,52.77777,51.25,0.0,78.8797,42.30769,96.32352,20.58823,41.93548,0.0,0.0,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61538,0.0,0.0,0.0,100.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,0.0,85.71428,0.0
