,네이처리퍼블릭 바이 플라워 립 컨실러_0,네이처리퍼블릭 바이 플라워 립 컨실러_1,네이처리퍼블릭 바이 플라워 립 컨실러_2,포니이펙트 매트 립 부스팅 프라이머_0,포니이펙트 매트 립 부스팅 프라이머_1,포니이펙트 매트 립 부스팅 프라이머_2,더샘 커버 퍼펙션 립 컨실러_0,더샘 커버 퍼펙션 립 컨실러_1,더샘 커버 퍼펙션 립 컨실러_2,토니모리 페이스믹스 프라이머 립 컨실러_0,토니모리 페이스믹스 프라이머 립 컨실러_1,토니모리 페이스믹스 프라이머 립 컨실러_2,라네즈 립프라이머_0,라네즈 립프라이머_1,라네즈 립프라이머_2,겔랑 키스키스 립 리프트_0,겔랑 키스키스 립 리프트_1,겔랑 키스키스 립 리프트_2,에뛰드 미니 투 매치 립스틱  립 컨실러 _0,에뛰드 미니 투 매치 립스틱  립 컨실러 _1,에뛰드 미니 투 매치 립스틱  립 컨실러 _2,이니스프리 톡톡 립 컨실러_0,이니스프리 톡톡 립 컨실러_1,이니스프리 톡톡 립 컨실러_2,케이트 CC 립 프라이머  SPF   PA  _0,케이트 CC 립 프라이머  SPF   PA  _1,케이트 CC 립 프라이머  SPF   PA  _2,케이트 CC 립 프라이머 틴트  SPF   PA  _0,케이트 CC 립 프라이머 틴트  SPF   PA  _1,케이트 CC 립 프라이머 틴트  SPF   PA  _2,세컨디자인 퍼스트 립밤 리스토어 앤 수딩_0,세컨디자인 퍼스트 립밤 리스토어 앤 수딩_1,세컨디자인 퍼스트 립밤 리스토어 앤 수딩_2,카멕스 모이스처라이징 립밤 클래식_0,카멕스 모이스처라이징 립밤 클래식_1,카멕스 모이스처라이징 립밤 클래식_2,이니스프리 그린티 립 슬리핑 마스크_0,이니스프리 그린티 립 슬리핑 마스크_1,이니스프리 그린티 립 슬리핑 마스크_2,시드물 호호바 립 에센스_0,시드물 호호바 립 에센스_1,시드물 호호바 립 에센스_2,멘소래담 메디케이티드 립젤_0,멘소래담 메디케이티드 립젤_1,멘소래담 메디케이티드 립젤_2,유리아쥬 배리어덤 시카 레브르_0,유리아쥬 배리어덤 시카 레브르_1,유리아쥬 배리어덤 시카 레브르_2,아리따움 진저 슈가 오버나이트 립 마스크_0,아리따움 진저 슈가 오버나이트 립 마스크_1,아리따움 진저 슈가 오버나이트 립 마스크_2,라네즈 립 슬리핑 마스크_0,라네즈 립 슬리핑 마스크_1,라네즈 립 슬리핑 마스크_2,헤라 센슈얼 스파이시 누드 밤_0,헤라 센슈얼 스파이시 누드 밤_1,헤라 센슈얼 스파이시 누드 밤_2,후르디아 블루베리 하이드레이팅 허니 립 밤_0,후르디아 블루베리 하이드레이팅 허니 립 밤_1,후르디아 블루베리 하이드레이팅 허니 립 밤_2,바세린 미니 립테라피 오리지널_0,바세린 미니 립테라피 오리지널_1,바세린 미니 립테라피 오리지널_2,바이오더마 아토덤 립스틱_0,바이오더마 아토덤 립스틱_1,바이오더마 아토덤 립스틱_2,바비브라운 엑스트라 립 틴트_0,바비브라운 엑스트라 립 틴트_1,바비브라운 엑스트라 립 틴트_2,블리스텍스 데일리 립 컨디셔너 립밤_0,블리스텍스 데일리 립 컨디셔너 립밤_1,블리스텍스 데일리 립 컨디셔너 립밤_2,바세린 미니 립 테라피 코코아버터_0,바세린 미니 립 테라피 코코아버터_1,바세린 미니 립 테라피 코코아버터_2,아쿠아퍼 립 리페어_0,아쿠아퍼 립 리페어_1,아쿠아퍼 립 리페어_2,블리스텍스 립 메덱스_0,블리스텍스 립 메덱스_1,블리스텍스 립 메덱스_2,카멕스 모이스처라이징 립밤 체리 스틱_0,카멕스 모이스처라이징 립밤 체리 스틱_1,카멕스 모이스처라이징 립밤 체리 스틱_2,클라랑스 인스턴트 라이트 립 컴포트 오일_0,클라랑스 인스턴트 라이트 립 컴포트 오일_1,클라랑스 인스턴트 라이트 립 컴포트 오일_2,카멕스 모이스처라이징 립밤 체리 단지형_0,카멕스 모이스처라이징 립밤 체리 단지형_1,카멕스 모이스처라이징 립밤 체리 단지형_2,웨이크메이크 리얼젤 핏 라이너_0,웨이크메이크 리얼젤 핏 라이너_1,웨이크메이크 리얼젤 핏 라이너_2,비오엠 원더프루프 펜 아이라이너_0,비오엠 원더프루프 펜 아이라이너_1,비오엠 원더프루프 펜 아이라이너_2,키스미 히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_0,키스미 히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_1,키스미 히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_2,에스쁘아 브론즈 페인팅 워터프루프 아이 펜슬_0,에스쁘아 브론즈 페인팅 워터프루프 아이 펜슬_1,에스쁘아 브론즈 페인팅 워터프루프 아이 펜슬_2,클리오 샤프 쏘 심플 워터프루프 펜슬 라이너_0,클리오 샤프 쏘 심플 워터프루프 펜슬 라이너_1,클리오 샤프 쏘 심플 워터프루프 펜슬 라이너_2,베르사유의장미리퀴드 아이라이너_0,베르사유의장미리퀴드 아이라이너_1,베르사유의장미리퀴드 아이라이너_2,프로에잇청담 리퀴드 디파인 라이너_0,프로에잇청담 리퀴드 디파인 라이너_1,프로에잇청담 리퀴드 디파인 라이너_2,키스미 히로인 메이크 스무스 리퀴드 아이라이너_0,키스미 히로인 메이크 스무스 리퀴드 아이라이너_1,키스미 히로인 메이크 스무스 리퀴드 아이라이너_2,베르사유의장미프린세스 앙투아네트 리퀴드 아이라이너 브라운_0,베르사유의장미프린세스 앙투아네트 리퀴드 아이라이너 브라운_1,베르사유의장미프린세스 앙투아네트 리퀴드 아이라이너 브라운_2,삐아 라스트 오토 젤 아이라이너 슬림_0,삐아 라스트 오토 젤 아이라이너 슬림_1,삐아 라스트 오토 젤 아이라이너 슬림_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29357,78.125,47.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32698,29.0201,32.46453,25.0,0.0,2.86103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,0.0,32.10439,12.23628,30.53797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14634,10.4712,63.04347,68.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.47058,38.23529,0.0,0.0,0.0,0.0,60.46511,23.80952,13.88888
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,1.14678,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6782,29.14572,29.03332,24.58677,0.0,4.08719,0.0,0.0,0.0,0.0,0.0,0.0,10.9375,17.24137,15.625,40.51367,30.53797,34.38818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4878,20.9424,34.7826,31.25,0.0,84.61538,58.62068,0.0,100.0,0.0,100.0,0.0,17.64705,26.47058,0.0,0.0,0.0,0.0,41.86046,33.33333,30.55555
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19723,32.53768,31.40877,18.49173,0.0,4.35967,0.0,0.0,0.0,0.0,0.0,0.0,12.5,41.37931,21.875,74.27506,34.38818,30.27426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,17.80104,100.0,0.0,0.0,0.0,24.13793,0.0,0.0,0.0,0.0,0.0,14.70588,29.41176,26.31578,0.0,0.0,0.0,48.8372,38.09523,22.22222
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02941,26.75879,29.69317,24.2252,0.0,2.86103,0.0,0.0,0.0,0.0,0.0,0.0,70.3125,100.0,15.625,57.4565,30.27426,34.2827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.60975,17.27748,54.34782,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,74.4186,52.38095,30.55555
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14678,53.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.71626,42.96482,45.29858,30.16528,0.0,5.04087,0.0,0.0,0.0,0.0,0.0,0.0,53.125,17.24137,15.625,56.58657,34.2827,31.85654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82926,18.3246,69.56521,0.0,0.0,0.0,31.03448,0.0,0.0,0.0,0.0,0.0,29.41176,52.94117,26.31578,0.0,0.0,0.0,27.90697,61.90476,16.66666
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09515,60.92964,34.64203,23.96694,7.08446,2.45231,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,56.04805,31.85654,28.58649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.80487,21.98952,47.82608,0.0,0.0,69.23076,17.24137,0.0,0.0,0.0,60.0,0.0,44.11764,47.05882,0.0,0.0,0.0,0.0,74.4186,33.33333,36.11111
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.4948,61.55778,29.69317,22.93388,2.86103,25.20435,0.0,0.0,0.0,0.0,0.0,0.0,35.9375,17.24137,0.0,46.72742,28.58649,24.78902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,32.0,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.70731,16.23036,86.95652,37.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,58.82352,36.8421,0.0,0.0,0.0,100.0,0.0,19.44444
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6055,67.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55363,61.43216,38.00725,19.98966,4.08719,30.51771,0.0,0.0,0.0,0.0,0.0,0.0,43.75,24.13793,25.0,43.91052,24.78902,27.16244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14634,24.08376,34.7826,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,76.47058,26.31578,0.0,0.0,0.0,44.18604,33.33333,27.77777
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83486,53.125,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07266,53.89447,100.0,19.83471,4.35967,12.53405,0.0,0.0,0.0,0.0,0.0,0.0,48.4375,34.48275,0.0,33.63711,27.16244,24.41983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.80487,17.80104,52.17391,75.0,0.0,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,26.47058,47.05882,0.0,0.0,0.0,0.0,81.39534,61.90476,19.44444
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24048,49.62311,69.25107,21.74586,2.86103,10.49046,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.37931,0.0,36.45401,24.41983,22.46835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58823,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,40.2439,11.51832,28.26086,62.5,0.0,76.92307,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,58.82352,0.0,0.0,0.0,0.0,86.04651,47.61904,38.88888
