,슈에무라 하드 포뮬라_0,슈에무라 하드 포뮬라_1,아나스타샤 베버리힐즈 브로우 위즈_0,아나스타샤 베버리힐즈 브로우 위즈_1,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_0,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_1,아리따움 아이돌 브로우 파우더 케익_0,아리따움 아이돌 브로우 파우더 케익_1,베네피트 프리사이슬리 마이 브로우 펜슬_0,베네피트 프리사이슬리 마이 브로우 펜슬_1,라네즈 아이브로우 쿠션 카라_0,라네즈 아이브로우 쿠션 카라_1,클리오 킬 브로우 오토 하드 브로우 펜슬_0,클리오 킬 브로우 오토 하드 브로우 펜슬_1,키스미 헤비로테이션 컬러링 아이브로우_0,키스미 헤비로테이션 컬러링 아이브로우_1,베네피트 구프 프루프 브로우 펜슬_0,베네피트 구프 프루프 브로우 펜슬_1,아나스타샤 베버리힐즈 딥브로우 포마드_0,아나스타샤 베버리힐즈 딥브로우 포마드_1,아이오페 아이브로우 오토 펜슬_0,아이오페 아이브로우 오토 펜슬_1,바비브라운 퍼펙틀리 디파인드 롱웨어 브라우 펜슬_0,바비브라운 퍼펙틀리 디파인드 롱웨어 브라우 펜슬_1,미샤 스머지프루프 우드 브로우_0,미샤 스머지프루프 우드 브로우_1,우드버리 하드텍스처 아이브로우_0,우드버리 하드텍스처 아이브로우_1,바비브라운 내추럴 브라우 쉐이퍼_0,바비브라운 내추럴 브라우 쉐이퍼_1,맥 프로 롱웨어 워터프루프 브로우 세트_0,맥 프로 롱웨어 워터프루프 브로우 세트_1,키스미 헤비로테이션 파우더 아이브로우    D 노즈섀도우_0,키스미 헤비로테이션 파우더 아이브로우    D 노즈섀도우_1,스킨푸드 초코 아이브로우 파우더케익_0,스킨푸드 초코 아이브로우 파우더케익_1,베네피트 카 브로우_0,베네피트 카 브로우_1,클리오 킬브로우    mm 슬림테크 하드펜슬_0,클리오 킬브로우    mm 슬림테크 하드펜슬_1,로라메르시에 매트 아이 컬러_0,로라메르시에 매트 아이 컬러_1,바비브라운 아이섀도우_0,바비브라운 아이섀도우_1,홀리카홀리카 피스 매칭 섀도우  매트 _0,홀리카홀리카 피스 매칭 섀도우  매트 _1,미샤 모던 섀도우 이탈프리즘  쉬머 _0,미샤 모던 섀도우 이탈프리즘  쉬머 _1,클리오 프리즘 에어 섀도우 스파클링_0,클리오 프리즘 에어 섀도우 스파클링_1,어반디케이 문더스트 아이섀도우_0,어반디케이 문더스트 아이섀도우_1,바비브라운 럭스 아이섀도우_0,바비브라운 럭스 아이섀도우_1,홀리카홀리카 피스 매칭   구 섀도우 팔레트  머추어 피치 _0,홀리카홀리카 피스 매칭   구 섀도우 팔레트  머추어 피치 _1,에스쁘아 아이섀도우 시퀸_0,에스쁘아 아이섀도우 시퀸_1,로라메르시에 새틴 아이컬러_0,로라메르시에 새틴 아이컬러_1,에뛰드 룩 앳 마이 아이즈  카페 _0,에뛰드 룩 앳 마이 아이즈  카페 _1,홀리카홀리카 피스 매칭 섀도우 쉬머_0,홀리카홀리카 피스 매칭 섀도우 쉬머_1,타르트 타르트레트  인 블룸 클레이 팔레트_0,타르트 타르트레트  인 블룸 클레이 팔레트_1,에뛰드 룩 앳 마이 아이즈  메이플로드   카페 _0,에뛰드 룩 앳 마이 아이즈  메이플로드   카페 _1,바비브라운 스파클 아이섀도우_0,바비브라운 스파클 아이섀도우_1,롬앤 베러 댄 아이즈_0,롬앤 베러 댄 아이즈_1,스틸라 매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_0,스틸라 매그니피센트 메탈 글리터   글로우 리퀴드 아이섀도우_1,홀리카홀리카 피스 매칭   구 섀도우 팔레트  어메이징 나이트 _0,홀리카홀리카 피스 매칭   구 섀도우 팔레트  어메이징 나이트 _1,클리오 프로 싱글 섀도우_0,클리오 프로 싱글 섀도우_1,미샤 모던 섀도우 이탈프리즘  매트 _0,미샤 모던 섀도우 이탈프리즘  매트 _1
0,44.57335,86.3372,0.0,0.0,0.0,0.0,2.65486,0.0,0.0,0.0,0.0,0.0,21.875,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,29.31034,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,50.0,0.0,67.5,46.57534,0.0,0.0,37.5,35.29411,76.3285,33.98058,0.0,0.0,0.0,0.0,47.24409,18.38235,0.0,0.0,0.0,5.88235,0.0,0.0,0.0,0.0,0.0,0.0,56.89655,12.16216,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,31.29629,0.0,0.0,0.0,0.0,0.0,60.71428,22.40437,0.0,0.0
1,49.77544,81.29844,0.0,0.0,0.0,0.0,5.30973,0.0,0.0,0.0,6.7729,0.0,31.25,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13793,37.93103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.5,41.09589,0.0,0.0,0.0,0.0,60.38647,64.07766,0.0,0.0,0.0,0.0,28.34645,21.32352,0.0,0.0,0.0,11.7647,0.0,0.0,0.0,0.0,0.0,0.0,46.55172,24.32432,0.0,0.0,0.0,0.0,0.0,0.0,51.11111,12.90322,21.29629,0.0,0.0,0.0,0.0,0.0,51.78571,22.40437,0.0,0.0
2,61.07784,80.81395,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.78087,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,54.79452,0.0,0.0,31.25,52.94117,64.73429,60.19417,0.0,0.0,0.0,0.0,25.98425,21.32352,0.0,0.0,0.0,9.24369,0.0,0.0,0.0,0.0,0.0,100.0,34.48275,28.37837,0.0,0.0,0.0,0.0,0.0,0.0,64.44444,14.51612,28.51851,0.0,0.0,0.0,0.0,0.0,55.35714,9.83606,0.0,0.0
3,66.91616,80.81395,0.0,0.0,0.0,0.0,15.04424,0.0,0.0,0.0,8.76494,0.0,75.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,25.86206,24.13793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,45.0,34.24657,0.0,0.0,31.25,0.0,66.66666,64.07766,0.0,0.0,0.0,0.0,25.19685,12.5,0.0,0.0,0.0,15.12605,0.0,0.0,0.0,0.0,0.0,0.0,53.44827,25.67567,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,8.06451,24.81481,0.0,0.0,0.0,0.0,0.0,33.92857,6.01092,0.0,0.0
4,70.95808,90.31007,0.0,0.0,0.0,0.0,22.12389,0.0,0.0,0.0,11.15537,0.0,100.0,40.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86206,12.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,62.5,45.20547,0.0,0.0,31.25,0.0,64.2512,58.73786,0.0,0.0,0.0,0.0,35.43307,16.91176,0.0,0.0,0.0,6.72268,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,35.13513,0.0,0.0,0.0,0.0,0.0,0.0,95.55555,14.51612,19.25925,0.0,0.0,0.0,0.0,0.0,60.71428,18.03278,0.0,0.0
5,61.33982,87.4031,0.0,0.0,0.0,0.0,19.02654,0.0,0.0,0.0,56.5737,0.0,87.5,21.875,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,17.24137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,57.53424,0.0,0.0,43.75,41.17647,61.83574,51.45631,0.0,0.0,0.0,0.0,40.94488,20.58823,0.0,0.0,0.0,9.24369,0.0,0.0,0.0,0.0,0.0,0.0,55.17241,17.56756,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,17.74193,18.7037,0.0,0.0,0.0,0.0,0.0,42.85714,19.67213,0.0,0.0
6,64.93263,81.97674,0.0,0.0,0.0,0.0,7.52212,0.0,0.0,41.66666,60.55776,0.0,87.5,25.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,31.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,32.87671,0.0,0.0,50.0,52.94117,76.81159,57.28155,0.0,0.0,0.0,0.0,34.64566,25.73529,0.0,0.0,0.0,13.44537,0.0,0.0,0.0,0.0,0.0,0.0,96.55172,12.16216,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,19.35483,17.22222,0.0,0.0,0.0,0.0,0.0,28.57142,17.48633,0.0,0.0
7,71.48203,84.88372,0.0,0.0,0.0,0.0,8.40707,0.0,0.0,0.0,84.06374,0.0,81.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10344,39.65517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,35.61643,0.0,0.0,43.75,35.29411,93.23671,66.01941,0.0,0.0,0.0,0.0,25.98425,11.02941,0.0,0.0,0.0,6.72268,0.0,0.0,0.0,0.0,0.0,0.0,91.37931,9.45945,0.0,0.0,0.0,0.0,0.0,0.0,51.11111,0.0,14.62962,0.0,0.0,0.0,0.0,0.0,19.64285,29.50819,0.0,0.0
8,91.69161,84.49612,0.0,0.0,0.0,0.0,11.50442,0.0,0.0,0.0,100.0,0.0,71.875,50.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86206,46.55172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,32.5,54.79452,0.0,0.0,37.5,29.41176,67.63285,74.75728,100.0,0.0,0.0,0.0,28.34645,22.79411,0.0,0.0,0.0,4.20168,0.0,0.0,0.0,20.0,0.0,0.0,65.51724,28.37837,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,30.64516,22.03703,0.0,0.0,0.0,0.0,0.0,44.64285,16.93989,0.0,0.0
9,92.25299,78.39147,100.0,0.0,0.0,0.0,15.04424,0.0,0.0,0.0,84.46215,0.0,59.375,34.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86206,39.65517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,47.9452,0.0,0.0,0.0,29.41176,77.77777,76.21359,0.0,0.0,0.0,0.0,33.07086,24.2647,0.0,0.0,0.0,13.44537,0.0,0.0,0.0,100.0,0.0,0.0,81.03448,27.02702,0.0,0.0,0.0,0.0,0.0,0.0,37.77777,30.64516,26.66666,0.0,0.0,0.0,0.0,0.0,42.85714,19.12568,0.0,0.0
