,페리페라 잉크 블랙 카라 AD  롱래쉬 컬링 _0,페리페라 잉크 블랙 카라 AD  롱래쉬 컬링 _1,에뛰드 오 마이 래쉬 쌩얼 카라_0,에뛰드 오 마이 래쉬 쌩얼 카라_1,라네즈 제트 컬링 마스카라_0,라네즈 제트 컬링 마스카라_1,키스미 히로인 메이크 롱앤컬 마스카라 EX_0,키스미 히로인 메이크 롱앤컬 마스카라 EX_1,키스미 히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_0,키스미 히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_1,비바이바닐라 아이크러쉬 서클 볼륨 마스카라 서클 블랙_0,비바이바닐라 아이크러쉬 서클 볼륨 마스카라 서클 블랙_1,미샤 울트라 파워프루프 마스카라  컬 업 볼륨 _0,미샤 울트라 파워프루프 마스카라  컬 업 볼륨 _1,네이처리퍼블릭 프로 터치 시그니처 뮤즈 마스카라_0,네이처리퍼블릭 프로 터치 시그니처 뮤즈 마스카라_1,키스미 히로인 메이크 롱앤컬 마스카라 S 브라운_0,키스미 히로인 메이크 롱앤컬 마스카라 S 브라운_1,미샤 울트라 파워프루프 마스카라 컬업 슬림_0,미샤 울트라 파워프루프 마스카라 컬업 슬림_1,나스 프로 프라임 스머지 프루프 아이섀도우 베이스_0,나스 프로 프라임 스머지 프루프 아이섀도우 베이스_1,맥 프렙 프라임    아워 익스텐드 아이 베이스_0,맥 프렙 프라임    아워 익스텐드 아이 베이스_1,미샤 컬러 픽스 아이 프라이머_0,미샤 컬러 픽스 아이 프라이머_1,VDL 엑스퍼트 컬러 프라이머 포 아이즈_0,VDL 엑스퍼트 컬러 프라이머 포 아이즈_1,어반디케이 아이섀도우 프라이머 포션_0,어반디케이 아이섀도우 프라이머 포션_1,코드글로컬러 L  픽스 온 아이프라이머_0,코드글로컬러 L  픽스 온 아이프라이머_1,어퓨 컬러 락 아이 프라이머_0,어퓨 컬러 락 아이 프라이머_1,바비브라운 롱웨어 아이 베이스_0,바비브라운 롱웨어 아이 베이스_1,나스 스머지 프루프 아이섀도우 베이스_0,나스 스머지 프루프 아이섀도우 베이스_1,스킨푸드 미네랄 아이 컬러 프라이머_0,스킨푸드 미네랄 아이 컬러 프라이머_1,코드글로컬러 G 루미에르 아이 프라이머_0,코드글로컬러 G 루미에르 아이 프라이머_1,투페이스드 섀도우 인슈어런스_0,투페이스드 섀도우 인슈어런스_1,입생로랑 꾸뛰르 아이 프라이머_0,입생로랑 꾸뛰르 아이 프라이머_1,더샘 샘물 아이 프라이머_0,더샘 샘물 아이 프라이머_1,아임미미 아임 스머지 헌터_0,아임미미 아임 스머지 헌터_1,NYX 프루프 잇 워터프루프 아이섀도우 프라이머_0,NYX 프루프 잇 워터프루프 아이섀도우 프라이머_1,정샘물 아티스트 올 픽스 아이 프라이머_0,정샘물 아티스트 올 픽스 아이 프라이머_1,맥퀸뉴욕 듀얼프라이머 포 립앤아이_0,맥퀸뉴욕 듀얼프라이머 포 립앤아이_1,웻앤와일드 포토포커스 아이섀도우 프라이머_0,웻앤와일드 포토포커스 아이섀도우 프라이머_1,더샘 샘물 글리터 아이 프라이머_0,더샘 샘물 글리터 아이 프라이머_1,로라메르시에 매트 레디언스 베이크드 파우더 새틴 하이라이터_0,로라메르시에 매트 레디언스 베이크드 파우더 새틴 하이라이터_1,웻앤와일드 메가글로 하이라이터_0,웻앤와일드 메가글로 하이라이터_1,맥 미네랄라이즈 스킨피니쉬_0,맥 미네랄라이즈 스킨피니쉬_1,베카 쉬머링 스킨 퍼펙터 프레스드 하이라이터_0,베카 쉬머링 스킨 퍼펙터 프레스드 하이라이터_1,맥 엑스트라 디멘션 스킨피니쉬_0,맥 엑스트라 디멘션 스킨피니쉬_1,클리오 프리즘 에어 하이라이터_0,클리오 프리즘 에어 하이라이터_1,슈레피 릿지 하이라이터_0,슈레피 릿지 하이라이터_1,미샤 새틴 하이라이터 이탈프리즘_0,미샤 새틴 하이라이터 이탈프리즘_1,스틸라 헤븐스 휴 하이라이터_0,스틸라 헤븐스 휴 하이라이터_1,베네피트 단델리온 트윙클_0,베네피트 단델리온 트윙클_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61855,83.58208,0.0,0.0,38.88888,63.7931,91.93548,0.0,20.66666,40.66666,0.0,0.0,36.3372,44.44444,53.48837,33.33333
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.27147,100.0,0.0,0.0,43.05555,56.89655,40.32258,0.0,20.66666,30.0,0.0,0.0,27.90697,50.0,56.58914,44.18604
2,0.0,0.0,50.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93127,94.77611,0.0,0.0,33.33333,55.17241,48.38709,0.0,20.0,20.66666,0.0,0.0,22.09302,78.7037,49.6124,39.53488
3,0.0,0.0,0.0,0.0,28.57142,0.0,25.0,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86941,94.02985,0.0,0.0,38.88888,56.89655,75.80645,0.0,30.0,54.0,0.0,0.0,26.16279,33.33333,42.63565,41.86046
4,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61855,71.64179,0.0,0.0,30.55555,56.89655,62.90322,0.0,21.33333,38.0,0.0,0.0,22.09302,56.48148,54.26356,46.51162
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24398,97.01492,0.0,0.0,37.5,56.89655,64.51612,0.0,20.0,49.33333,0.0,0.0,15.11627,43.51851,44.18604,46.51162
6,0.0,0.0,0.0,0.0,0.0,5.20833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.18213,82.08955,0.0,0.0,34.72222,44.82758,87.09677,0.0,14.66666,66.0,0.0,0.0,22.38372,65.74074,61.24031,60.46511
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.77611,0.0,0.0,31.94444,50.0,62.90322,0.0,18.0,50.0,0.0,0.0,24.4186,42.59259,42.63565,56.58914
8,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.13745,75.37313,0.0,0.0,25.0,72.41379,40.32258,0.0,32.0,46.0,0.0,0.0,28.19767,50.0,52.71317,64.34108
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.39518,77.61194,0.0,0.0,22.22222,51.72413,62.90322,0.0,48.0,33.33333,0.0,0.0,24.7093,35.18518,52.71317,61.24031
