,명의본초앰플_0,명의본초앰플_1,명의본초앰플_2,굳세라 수퍼 세라마이드 크림 인 세럼_0,굳세라 수퍼 세라마이드 크림 인 세럼_1,굳세라 수퍼 세라마이드 크림 인 세럼_2,유쓰 크리에이터 에이지 넉다운 워터 에센스_0,유쓰 크리에이터 에이지 넉다운 워터 에센스_1,유쓰 크리에이터 에이지 넉다운 워터 에센스_2,이드라 뷰티 마이크로 버블 쎄럼_0,이드라 뷰티 마이크로 버블 쎄럼_1,이드라 뷰티 마이크로 버블 쎄럼_2,다이브인 저분자 히알루론산 세럼_0,다이브인 저분자 히알루론산 세럼_1,다이브인 저분자 히알루론산 세럼_2,타임 레볼루션 나이트 리페어 프로바이오 보랏빛 앰플_0,타임 레볼루션 나이트 리페어 프로바이오 보랏빛 앰플_1,타임 레볼루션 나이트 리페어 프로바이오 보랏빛 앰플_2,다홍매실 비움 초_0,다홍매실 비움 초_1,다홍매실 비움 초_2,맑은 어성초 진정 에센스_0,맑은 어성초 진정 에센스_1,맑은 어성초 진정 에센스_2,비폴렌 리뉴 앰풀러_0,비폴렌 리뉴 앰풀러_1,비폴렌 리뉴 앰풀러_2,로즈허브 퍼펙트 빌드 업 세럼_0,로즈허브 퍼펙트 빌드 업 세럼_1,로즈허브 퍼펙트 빌드 업 세럼_2,로열허니 프로폴리스 인리치 에센스_0,로열허니 프로폴리스 인리치 에센스_1,로열허니 프로폴리스 인리치 에센스_2,레드 프로폴리스 트리플 앰플_0,레드 프로폴리스 트리플 앰플_1,레드 프로폴리스 트리플 앰플_2,프로 히알샷 물광 앰플_0,프로 히알샷 물광 앰플_1,프로 히알샷 물광 앰플_2,비타씨플러스 잡티씨 탄력앰플_0,비타씨플러스 잡티씨 탄력앰플_1,비타씨플러스 잡티씨 탄력앰플_2,유쓰 크리에이터 에이지 넉다운 밤_0,유쓰 크리에이터 에이지 넉다운 밤_1,유쓰 크리에이터 에이지 넉다운 밤_2,이모르뗄 오버나이트 리셋 오일 인 세럼_0,이모르뗄 오버나이트 리셋 오일 인 세럼_1,이모르뗄 오버나이트 리셋 오일 인 세럼_2,히아루론산 워터 에센스_0,히아루론산 워터 에센스_1,히아루론산 워터 에센스_2,원더 블랙라이스 히알루로닉 에센스_0,원더 블랙라이스 히알루로닉 에센스_1,원더 블랙라이스 히알루로닉 에센스_2,아쿠아타이드 리서페이스 세럼_0,아쿠아타이드 리서페이스 세럼_1,아쿠아타이드 리서페이스 세럼_2,어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트_0,어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트_1,어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트_2,인텐시브 오인트 크림_0,인텐시브 오인트 크림_1,인텐시브 오인트 크림_2,마데카크림 파워 부스팅 포뮬러_0,마데카크림 파워 부스팅 포뮬러_1,마데카크림 파워 부스팅 포뮬러_2,수퍼 아쿠아 울트라 히알론 크림_0,수퍼 아쿠아 울트라 히알론 크림_1,수퍼 아쿠아 울트라 히알론 크림_2,아토베리어 365 크림_0,아토베리어 365 크림_1,아토베리어 365 크림_2,슈퍼바이탈 크림 리치_0,슈퍼바이탈 크림 리치_1,슈퍼바이탈 크림 리치_2,하이드라V 모이스처 크림_0,하이드라V 모이스처 크림_1,하이드라V 모이스처 크림_2,리바이탈라이징 수프림+ 나이트 인텐시브 크림_0,리바이탈라이징 수프림+ 나이트 인텐시브 크림_1,리바이탈라이징 수프림+ 나이트 인텐시브 크림_2,우레아 리페어 크림_0,우레아 리페어 크림_1,우레아 리페어 크림_2,듀얼 블루밍 캡슐 앰플 & 하이드라 바이탈라이징 크림_0,듀얼 블루밍 캡슐 앰플 & 하이드라 바이탈라이징 크림_1,듀얼 블루밍 캡슐 앰플 & 하이드라 바이탈라이징 크림_2,셋업 크림_0,셋업 크림_1,셋업 크림_2,에이지리스 리얼 아이크림 포 페이스_0,에이지리스 리얼 아이크림 포 페이스_1,에이지리스 리얼 아이크림 포 페이스_2,어린쑥 수분진정 크림_0,어린쑥 수분진정 크림_1,어린쑥 수분진정 크림_2,플라본 인텐시브 크림_0,플라본 인텐시브 크림_1,플라본 인텐시브 크림_2,어드밴스드 시카 수분 크림_0,어드밴스드 시카 수분 크림_1,어드밴스드 시카 수분 크림_2,하이포알러제닉 모이스처라이징 밤 크림_0,하이포알러제닉 모이스처라이징 밤 크림_1,하이포알러제닉 모이스처라이징 밤 크림_2,필라그린 배리어 밤_0,필라그린 배리어 밤_1,필라그린 배리어 밤_2,필터크림_0,필터크림_1,필터크림_2,더마 플랜 울트라 밤 크림_0,더마 플랜 울트라 밤 크림_1,더마 플랜 울트라 밤 크림_2,마유 크림 엑스트라 골든 컴플렉스_0,마유 크림 엑스트라 골든 컴플렉스_1,마유 크림 엑스트라 골든 컴플렉스_2
0,64.86486,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45945,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44827,16.94915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46428,0.0,0.0,0.0,0.0,0.0,0.0
1,39.18918,71.79487,59.18367,72.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.55932,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,17.24137,0.0,0.0,0.0,0.0,0.0,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,100.0,53.84615
2,45.94594,56.41025,67.34693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36363,5.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,55.4054,46.15384,79.59183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45945,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,15.25423,80.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0
4,48.64864,56.41025,32.65306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33802,68.96551,32.20338,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15789,4.46428,0.0,0.0,0.0,0.0,0.0,46.15384
5,54.05405,61.53846,46.93877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58708,0.0,0.0,0.0,68.96551,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0
6,40.54054,82.05128,53.06122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27027,0.0,0.0,0.0,0.0,0.0,15.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,65.51724,16.94915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15789,8.03571,0.0,0.0,0.0,0.0,0.0,0.0
7,45.94594,66.66666,63.2653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75675,0.0,6.75675,0.0,0.0,0.0,0.0,5.88235,0.0,0.0,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,62.06896,40.67796,50.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,100.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384
8,44.59459,66.66666,61.22448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.86486,0.0,16.21621,0.0,0.0,0.0,0.0,12.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33333,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.94117,0.0,0.0,41.66666,0.0,4.22535,56.89655,18.64406,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,100.0,55.55555,0.0,0.0
9,45.94594,64.10256,57.14285,72.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,68.96551,18.64406,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35714,0.0,0.0,0.0,0.0,0.0,0.0
