,아이 메이크업 브러시 세트_0,아이 메이크업 브러시 세트_1,NEW     아이섀도우_0,NEW     아이섀도우_1,블렌딩총알브러시_0,블렌딩총알브러시_1,    블렌딩 브러시_0,    블렌딩 브러시_1,핑크팝 브러시_0,핑크팝 브러시_1,    아이 쉐이더 브러시_0,    아이 쉐이더 브러시_1,세팅 브러시_0,세팅 브러시_1,치크 브러시_0,치크 브러시_1,마이뷰티툴 브러시     파우더_0,마이뷰티툴 브러시     파우더_1,스몰 테이퍼드 브러시_0,스몰 테이퍼드 브러시_1,스키니 픽스 블렌더_0,스키니 픽스 블렌더_1,텐션 팩트 퍼프  밀착 _0,텐션 팩트 퍼프  밀착 _1,미라클 컴플렉션 스펀지_0,미라클 컴플렉션 스펀지_1,스무스 도우 퍼프_0,스무스 도우 퍼프_1,블렌딩 퍼프_0,블렌딩 퍼프_1,와플 퍼프_0,와플 퍼프_1,하이드로 스폰지_0,하이드로 스폰지_1,웨지 퍼프_0,웨지 퍼프_1,미니파우더퍼프_0,미니파우더퍼프_1,쫀쫀 밀착 퍼프_0,쫀쫀 밀착 퍼프_1,쿠션 팡팡 퍼프_0,쿠션 팡팡 퍼프_1,눈사람 퍼프_0,눈사람 퍼프_1,블랙쿠션 퍼프_0,블랙쿠션 퍼프_1,워터 인 퍼프_0,워터 인 퍼프_1,UV 미스트 쿠션 퍼프_0,UV 미스트 쿠션 퍼프_1,PU 물방울 퍼프  개입_0,PU 물방울 퍼프  개입_1,오리지널 뷰티 블렌더 싱글_0,오리지널 뷰티 블렌더 싱글_1,물방울퍼프_0,물방울퍼프_1,웨지 스폰지_0,웨지 스폰지_1,촉촉퍼프_0,촉촉퍼프_1,잘 스며드는 화장솜_0,잘 스며드는 화장솜_1,EBR 눈썹칼_0,EBR 눈썹칼_1,플레인 타입_0,플레인 타입_1,노 더티 브러쉬 클렌징 솝_0,노 더티 브러쉬 클렌징 솝_1,뽀드득 브러쉬 빨래판_0,뽀드득 브러쉬 빨래판_1,파우더 오일 클리어 페이퍼_0,파우더 오일 클리어 페이퍼_1,우루우루 화장솜_0,우루우루 화장솜_1,아이돌래쉬 내추럴_0,아이돌래쉬 내추럴_1,오일클리어 필름   회색_0,오일클리어 필름   회색_1,소프트  겹 화장솜_0,소프트  겹 화장솜_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,0.0,0.0,0.0,38.35616,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.31884,47.15719,0.0,0.0,20.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,47.9452,87.68472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.49275,50.16722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.26027,45.8128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.89855,32.77591,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.05479,60.83743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,93.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.12709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,90.90909,33.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,0.0,0.0,80.82191,47.78325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,63.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.44927,41.47157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,37.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08219,42.11822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.85507,39.46488,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,65.45454,36.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.41095,43.84236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.73913,37.45819,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,80.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,86.30136,37.19211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04347,73.57859,0.0,0.0,28.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,49.0909,71.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,61.64383,42.61083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10144,60.53511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45454,92.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.19178,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.55072,39.46488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,60.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
