,올리브 버진 오일 면봉 아이 리무버 스틱 _0,올리브 버진 오일 면봉 아이 리무버 스틱 _1,데마끼앙 이으 엥땅스_0,데마끼앙 이으 엥땅스_1,히로인 메이크 마스카라 리무버 EX_0,히로인 메이크 마스카라 리무버 EX_1,테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_0,테이크 더 데이 오프 메이크업 리무버 포 리드   래쉬   립스_1,딥클린 립앤아이리무버_0,딥클린 립앤아이리무버_1,립 아이리무버_0,립 아이리무버_1,컬 픽스 마스카라 리무버_0,컬 픽스 마스카라 리무버_1,퍼펙트 립앤아이 메이크업 리무버_0,퍼펙트 립앤아이 메이크업 리무버_1,뽀오얀 미소 발효 립 아이 리무버_0,뽀오얀 미소 발효 립 아이 리무버_1,밀크쉐이크 포인트 메이크업 리무버_0,밀크쉐이크 포인트 메이크업 리무버_1,사과 아하 매끈 패드_0,사과 아하 매끈 패드_1,녹차 필링젤_0,녹차 필링젤_1,페이셜 마일드 필링_0,페이셜 마일드 필링_1,셀 리뉴 바이오 마이크로 필 소프트 젤_0,셀 리뉴 바이오 마이크로 필 소프트 젤_1,뉴 콘트롤크림_0,뉴 콘트롤크림_1,젠틀블랙슈거페이셜폴리쉬_0,젠틀블랙슈거페이셜폴리쉬_1,콘트롤크림 셀프 마사지_0,콘트롤크림 셀프 마사지_1,스프링이 필링 젤 톤업 부스트_0,스프링이 필링 젤 톤업 부스트_1,라이스 파우더 폴리쉬_0,라이스 파우더 폴리쉬_1,발사믹 오일 필링 마일드 젤_0,발사믹 오일 필링 마일드 젤_1,바디리프팅 이지 필링 페이셜 스크럽_0,바디리프팅 이지 필링 페이셜 스크럽_1,필앤필 카밍   릴리프 필링패드_0,필앤필 카밍   릴리프 필링패드_1,페이셜 인텐시브 필링_0,페이셜 인텐시브 필링_1,마일드S 데일리 필링패드_0,마일드S 데일리 필링패드_1,토닝 필링패드  티트리 _0,토닝 필링패드  티트리 _1,블랙슈가 퍼펙트 에센셜 스크럽  X_0,블랙슈가 퍼펙트 에센셜 스크럽  X_1,지우개 패드_0,지우개 패드_1,맥걸리 고두밥 스크럽_0,맥걸리 고두밥 스크럽_1,가지 클리어링 필링 패드 토너_0,가지 클리어링 필링 패드 토너_1,네이키드 페이셜 엑스폴리언트_0,네이키드 페이셜 엑스폴리언트_1,버블 버블 메이커_0,버블 버블 메이커_1,거품망 버블메이커_0,거품망 버블메이커_1,휘핑 버블 메이커_0,휘핑 버블 메이커_1,마이뷰티툴 버블 메이커_0,마이뷰티툴 버블 메이커_1,뷰티툴 크리미 버블 메이커_0,뷰티툴 크리미 버블 메이커_1,오가닉팜 버블메이커 샤워볼_0,오가닉팜 버블메이커 샤워볼_1,블랙 아웃 듀얼 포어 브러쉬_0,블랙 아웃 듀얼 포어 브러쉬_1,뷰티툴 화산송이 곤약 클렌징 스펀지_0,뷰티툴 화산송이 곤약 클렌징 스펀지_1,버블 거품망_0,버블 거품망_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74193,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.61538,0.0,0.0,35.29411,0.0,0.0,12.12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15532,34.98039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64516,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.33333,47.05882,0.0,0.0,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62722,24.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,37.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,33.33333,0.0,0.0,0.0,12.12121,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.94198,18.90196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74193,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.64275,22.98039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.19354,50.98039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33333,41.17647,0.0,0.0,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.52124,27.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.09677,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,41.17647,0.0,100.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54179,37.56862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.06451,80.39215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,19.69696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42485,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61904,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.54838,52.94117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,15.15151,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38.64778,86.03921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.49019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,12.12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.54591,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23809,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64516,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,29.41176,0.0,0.0,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.64778,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.90476,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
