,센텔라 릴렉세이션 퍼펙트 카밍 마스크_0,센텔라 릴렉세이션 퍼펙트 카밍 마스크_1,마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_0,마누카 허니 프로폴리스 퍼펙트 쉴드 마스크_1,블룸 꿀보카도 극세사마스크_0,블룸 꿀보카도 극세사마스크_1,아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_0,아임 쏘리 포 마이 스킨  스텝 트래블 젤리 마스크_1,껌딱지 시트마스크 어성초 스티커_0,껌딱지 시트마스크 어성초 스티커_1,티트리 케어솔루션 에센셜 마스크 REX_0,티트리 케어솔루션 에센셜 마스크 REX_1,퓨어 에센스 마스크 시트  아보카도 _0,퓨어 에센스 마스크 시트  아보카도 _1,카렌듈라 딥 모이스처 카밍 마스크_0,카렌듈라 딥 모이스처 카밍 마스크_1,시카 리페어 릴렉싱 시트 마스크_0,시카 리페어 릴렉싱 시트 마스크_1,안티에이징 바이오셀룰로오스 마스크_0,안티에이징 바이오셀룰로오스 마스크_1,아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _0,아임 쏘리 포 마이 스킨 pH    젤리 마스크  수딩 _1,티트리 안티더스트 카밍 마스크_0,티트리 안티더스트 카밍 마스크_1,리페어 노니시카 극세사 마스크_0,리페어 노니시카 극세사 마스크_1,장벽 앰플 마스크 시트_0,장벽 앰플 마스크 시트_1,진주 콜라겐 벨벳 마스크_0,진주 콜라겐 벨벳 마스크_1,아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_0,아임 쏘리 포 마이 스킨 릴렉싱 젤리 마스크_1,시그니처 바이오 시트 마스크_0,시그니처 바이오 시트 마스크_1,    테라피 에어 마스크 티트리_0,    테라피 에어 마스크 티트리_1,티트리 케어솔루션 에센셜 마스크 이엑스_0,티트리 케어솔루션 에센셜 마스크 이엑스_1,껌딱지 시트마스크 마데카소사이드 스티커_0,껌딱지 시트마스크 마데카소사이드 스티커_1,프리미엄 쿨 티트리 모델링 마스크_0,프리미엄 쿨 티트리 모델링 마스크_1,시카페어 슬리페어 앰플 인 마스크_0,시카페어 슬리페어 앰플 인 마스크_1,퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_0,퍼스트 에이드 오버나이트 스킨 리제네레이션 마스크_1,비비 씨위드_0,비비 씨위드_1,블랙티 인스턴트 퍼펙팅 마스크_0,블랙티 인스턴트 퍼펙팅 마스크_1,달빛유자 수면팩_0,달빛유자 수면팩_1,아크바이  모델링 마스크 팩_0,아크바이  모델링 마스크 팩_1,마스크 오브 매그너민티_0,마스크 오브 매그너민티_1,수블리마지 마스크_0,수블리마지 마스크_1,여윤팩_0,여윤팩_1,프레시 파워 에센스 파우치 팩 강력보습_0,프레시 파워 에센스 파우치 팩 강력보습_1,옥용팩_0,옥용팩_1,올인 닥터 규조토 모델링 고무팩_0,올인 닥터 규조토 모델링 고무팩_1,시카 슬리핑 마스크_0,시카 슬리핑 마스크_1,워터 슬리핑 마스크_0,워터 슬리핑 마스크_1,티트리 퓨리파잉 마스크_0,티트리 퓨리파잉 마스크_1,프리미엄 콜라겐 모델링 마스크팩_0,프리미엄 콜라겐 모델링 마스크팩_1,리얼 머그워트 클레이 마스크_0,리얼 머그워트 클레이 마스크_1,테라비타_0,테라비타_1,오이스터 안티 다크닝 테라피_0,오이스터 안티 다크닝 테라피_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7647,60.0,0.0,0.0,0.0,42.0,0.0,0.0,21.21212,30.43478,0.0,100.0,68.0851,39.77272,0.0,0.0,67.16417,83.33333,0.0,0.0,11.7647,20.68965,0.0,0.0,0.0,7.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.0,0.0,0.0,0.0,46.0,0.0,100.0,21.21212,69.56521,0.0,0.0,63.82978,37.5,0.0,0.0,55.22388,39.58333,0.0,0.0,11.7647,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,96.0,0.0,0.0,0.0,58.0,0.0,0.0,18.18181,41.30434,0.0,0.0,44.68085,44.31818,0.0,0.0,49.25373,39.58333,0.0,0.0,20.58823,21.37931,0.0,0.0,59.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,54.41176,0.0,0.0,0.0,0.0,56.0,0.0,0.0,51.51515,41.30434,0.0,0.0,72.34042,39.77272,0.0,0.0,62.68656,43.75,0.0,0.0,36.7647,13.7931,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,0.0,47.05882,40.0,0.0,0.0,11.36363,40.0,0.0,0.0,63.63636,45.65217,0.0,0.0,51.06382,26.13636,0.0,0.0,28.3582,81.25,0.0,0.0,25.0,14.48275,0.0,0.0,30.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,88.0,0.0,0.0,11.36363,28.0,0.0,0.0,90.90909,50.0,0.0,0.0,53.19148,46.5909,0.0,0.0,67.16417,54.16666,0.0,0.0,32.35294,6.20689,0.0,0.0,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.35294,48.0,0.0,0.0,34.0909,24.0,0.0,0.0,30.30303,10.86956,0.0,0.0,25.53191,32.95454,0.0,0.0,47.76119,35.41666,0.0,0.0,7.35294,12.41379,0.0,0.0,33.33333,12.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.70588,100.0,0.0,0.0,13.63636,18.0,0.0,0.0,75.75757,41.30434,0.0,0.0,55.31914,25.0,0.0,0.0,26.86567,54.16666,0.0,0.0,13.23529,8.27586,0.0,100.0,0.0,15.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,52.94117,44.0,0.0,0.0,11.36363,50.0,0.0,62.5,36.36363,41.30434,0.0,0.0,53.19148,38.63636,0.0,0.0,44.77611,56.25,0.0,0.0,10.29411,87.5862,0.0,0.0,30.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7647,44.0,0.0,0.0,0.0,44.0,0.0,0.0,24.24242,58.69565,0.0,0.0,42.55319,62.5,0.0,0.0,49.25373,45.83333,0.0,0.0,22.05882,94.48275,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0
