,블랙헤드 올 클리어 키트_0,블랙헤드 올 클리어 키트_1,제주 화산토 클리어 코팩_0,제주 화산토 클리어 코팩_1,시크릿 퓨어 노오즈 클리어 키트      _0,시크릿 퓨어 노오즈 클리어 키트      _1,립앤아이 트윈패치_0,립앤아이 트윈패치_1,미니 포어 워터클레이 마스크_0,미니 포어 워터클레이 마스크_1,포어 클리어 화이트 코팩_0,포어 클리어 화이트 코팩_1,진생베리 아이 리프트 패치_0,진생베리 아이 리프트 패치_1,디스패치 포어라스틱 포 노즈 앤 치크_0,디스패치 포어라스틱 포 노즈 앤 치크_1,레몬 티트리 코팩_0,레몬 티트리 코팩_1,스킨후리 까만 참숯 코팩_0,스킨후리 까만 참숯 코팩_1,아이스 카밍 쿨러_0,아이스 카밍 쿨러_1,팩브러시        _0,팩브러시        _1,뷰티툴 말랑한 팩 스패튤라_0,뷰티툴 말랑한 팩 스패튤라_1,리프트라 컨투어 쉐이퍼_0,리프트라 컨투어 쉐이퍼_1,쿨링 마사저_0,쿨링 마사저_1,실리콘 팩 브러시_0,실리콘 팩 브러시_1,실리콘 마스크 커버_0,실리콘 마스크 커버_1,뷰티툴 팩 브러시_0,뷰티툴 팩 브러시_1,포에버 유스 리버레이터 와이 쉐이프 마사저_0,포에버 유스 리버레이터 와이 쉐이프 마사저_1,더 잠 테라피 마사저_0,더 잠 테라피 마사저_1,이혈기석_0,이혈기석_1,아이싱 쿨러_0,아이싱 쿨러_1,브이라인 리프팅 브이밴드_0,브이라인 리프팅 브이밴드_1,팩 브러시_0,팩 브러시_1,보석 페이스 롤러_0,보석 페이스 롤러_1,더마쿨러 페이스_0,더마쿨러 페이스_1,   페이스 메이킹 키트_0,   페이스 메이킹 키트_1,그린티 씨드 아이 앤 페이스 볼_0,그린티 씨드 아이 앤 페이스 볼_1,불가리안 로즈 브라이트닝 링클케어_0,불가리안 로즈 브라이트닝 링클케어_1,쿨링마사지   페이스용_0,쿨링마사지   페이스용_1,미드데이 블루 UV 쉴드  SPF    PA     _0,미드데이 블루 UV 쉴드  SPF    PA     _1,릴리프 선 모이스처라이저  SPF    PA     _0,릴리프 선 모이스처라이저  SPF    PA     _1,소프트 에어리 UV 에센스  SPF    PA     _0,소프트 에어리 UV 에센스  SPF    PA     _1,UV 선프로     익스트림 선 플루이드  SPF    PA     _0,UV 선프로     익스트림 선 플루이드  SPF    PA     _1,오메가 레스큐 선크림  SPF    PA    _0,오메가 레스큐 선크림  SPF    PA    _1,워터풀 에센스 선크림  SPF    PA     _0,워터풀 에센스 선크림  SPF    PA     _1,세이프 블록RX 올 파워풀 선  SPF    PA     _0,세이프 블록RX 올 파워풀 선  SPF    PA     _1,슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _0,슈퍼에어핏 마일드 선크림 데일리  SPF    PA     _1,레이저 썬스크린     SPF    PA    _0,레이저 썬스크린     SPF    PA    _1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,54.65116,27.61194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,3.66972,21.84466,42.42424,15.95092,0.0,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,32.55813,28.3582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.09708,30.30303,24.53987,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,43.02325,57.46268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25688,14.07766,34.68013,28.83435,0.0,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923,0.0,0.0,26.74418,46.26865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58715,11.65048,22.22222,22.69938,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,25.58139,35.82089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66972,16.01941,38.38383,18.4049,0.0,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30769,0.0,0.0,22.67441,34.32835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38532,15.04854,35.01683,26.99386,0.0,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,28.48837,16.41791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.01834,12.13592,39.39393,30.06134,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,50.0,0.0,0.0,74.4186,9.70149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72477,32.03883,32.32323,34.96932,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,57.6923,0.0,0.0,33.72093,20.89552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79816,22.33009,32.99663,27.60736,0.0,36.95652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.61538,0.0,0.0,36.6279,8.95522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88073,26.69902,46.80134,19.6319,0.0,47.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
