,유브이 디펜스 미 블루 레이 선 젤  SPF    PA     _0,유브이 디펜스 미 블루 레이 선 젤  SPF    PA     _1,블랙 티 올 데이 아쿠아 선 젤  SPF   PA   _0,블랙 티 올 데이 아쿠아 선 젤  SPF   PA   _1,마일드 S 모이스쳐 라이트 선 젤  SPF    PA     _0,마일드 S 모이스쳐 라이트 선 젤  SPF    PA     _1,로열허니 착한 선 젤  SPF   PA   _0,로열허니 착한 선 젤  SPF   PA   _1,스마트 솔루션     워터리 선 젤  SPF   PA   _0,스마트 솔루션     워터리 선 젤  SPF   PA   _1,선 오일 컨트롤 젤 크림  SPF    _0,선 오일 컨트롤 젤 크림  SPF    _1,알로에 워터리 선 워터젤  SPF    PA    _0,알로에 워터리 선 워터젤  SPF    PA    _1,셀러스 선 젤  SPF    PA    _0,셀러스 선 젤  SPF    PA    _1,UV 프로텍터 데일리 선스크린 젤_0,UV 프로텍터 데일리 선스크린 젤_1,에코 어스 파워 아쿠아 선 젤  SPF    PA     _0,에코 어스 파워 아쿠아 선 젤  SPF    PA     _1,프로 엑스트라 프로텍티브 선베이스  SPF    PA    _0,프로 엑스트라 프로텍티브 선베이스  SPF    PA    _1,에브리 선데이_0,에브리 선데이_1,유브이 퍼펙션 멀티베이스  SPF    PA    _0,유브이 퍼펙션 멀티베이스  SPF    PA    _1,피토 아쿠아 워터 선 베이스  SPF    PA    _0,피토 아쿠아 워터 선 베이스  SPF    PA    _1,유비데아 XL 멜트 인 틴티드 크림  SPF    PA     _0,유비데아 XL 멜트 인 틴티드 크림  SPF    PA     _1,포어 애플 선블록  SPF    PA    _0,포어 애플 선블록  SPF    PA    _1,선 파우더 로션  SPF   PA    _0,선 파우더 로션  SPF   PA    _1,멀티 톤 업 에센셜 선크림  SPF    PA     _0,멀티 톤 업 에센셜 선크림  SPF    PA     _1,메이크업 선 크림  SPF    PA    _0,메이크업 선 크림  SPF    PA    _1,UV 엑스퍼트 GN 쉴드 메이크업 베이스  SPF   PA    _0,UV 엑스퍼트 GN 쉴드 메이크업 베이스  SPF   PA    _1,글로우  선 베이스  SPF    PA     _0,글로우  선 베이스  SPF    PA     _1,아티파이 에어 선 프라이머  SPF    PA    _0,아티파이 에어 선 프라이머  SPF    PA    _1,퓨어 블록 톤업 선 베이스  SPF    PA    _0,퓨어 블록 톤업 선 베이스  SPF    PA    _1,선프라이즈 내추럴 코렉터  SPF    PA    _0,선프라이즈 내추럴 코렉터  SPF    PA    _1,스테이지 퍼포머 글로우 크리에이터_0,스테이지 퍼포머 글로우 크리에이터_1,포어 필 프라이머 선크림  SPF    PA     _0,포어 필 프라이머 선크림  SPF    PA     _1,퍼펙트 선프로 블랙  SPF    PA     _0,퍼펙트 선프로 블랙  SPF    PA     _1,블랑 드 펄 UV 베이스  SPF   PA    _0,블랑 드 펄 UV 베이스  SPF   PA    _1,선프라이즈 내추럴 코렉터 라이트  SPF    PA     _0,선프라이즈 내추럴 코렉터 라이트  SPF    PA     _1,스킨 프로텍터_0,스킨 프로텍터_1,산소수 아이스 선 스프레이  SPF    PA    _0,산소수 아이스 선 스프레이  SPF    PA    _1,크리스탈 선 스프레이 AD  SPF    PA    _0,크리스탈 선 스프레이 AD  SPF    PA    _1,내추럴 리프레쉬 선스프레이_0,내추럴 리프레쉬 선스프레이_1,산소수 워터프루프 선 스프레이  SPF    PA    _0,산소수 워터프루프 선 스프레이  SPF    PA    _1,칙칙 썬스프레이_0,칙칙 썬스프레이_1,투명 쿨링 선스프레이_0,투명 쿨링 선스프레이_1,포토덤 맥스 스프레이  SPF    _0,포토덤 맥스 스프레이  SPF    _1,시카딘 센텔라 선 스프레이  SPF    PA     _0,시카딘 센텔라 선 스프레이  SPF    PA     _1,데이블럭 선 쉴드 미스트  SPF    PA    _0,데이블럭 선 쉴드 미스트  SPF    PA    _1,선 프로텍션 벨벳 미스트 선 스프레이 EX  SPF    PA    _0,선 프로텍션 벨벳 미스트 선 스프레이 EX  SPF    PA    _1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90342,36.50793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64174,58.73015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.33021,49.20634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09968,76.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03426,30.15873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23052,52.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65732,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.78816,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62616,39.68253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46105,74.60317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
