,태닝 오일 스프레이  SPF  _0,태닝 오일 스프레이  SPF  _1,다크 태닝 오일_0,다크 태닝 오일_1,쥬시 디자이어   X 브론저 태닝로션_0,쥬시 디자이어   X 브론저 태닝로션_1,딥 태닝오일_0,딥 태닝오일_1,엑셀러레이터 다크 태닝스프레이젤_0,엑셀러레이터 다크 태닝스프레이젤_1,인텐시파이어 브론징 드라이 태닝오일 스프레이_0,인텐시파이어 브론징 드라이 태닝오일 스프레이_1,매직 브론즈 셀프태닝 오일 미스트_0,매직 브론즈 셀프태닝 오일 미스트_1,블랙 누아르   X 태닝로션_0,블랙 누아르   X 태닝로션_1,셀프 태닝로션_0,셀프 태닝로션_1,일루시브   X 다크 태닝로션_0,일루시브   X 다크 태닝로션_1,엑셀레이터 다크 태닝로션 브론저_0,엑셀레이터 다크 태닝로션 브론저_1,글램 슬램 듀얼 브론징 태닝로션_0,글램 슬램 듀얼 브론징 태닝로션_1,디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_0,디바인리 쥬시 저자극성 인텐시파이어 얼굴 태닝로션_1,  캐럿 골드러쉬   X 브론저 태닝로션_0,  캐럿 골드러쉬   X 브론저 태닝로션_1,  X 브론저 VIP 앳 더 맨션_0,  X 브론저 VIP 앳 더 맨션_1,DARK ANGEL    X 다크 엔젤 BLACK BRONZER 다크 태닝로션_0,DARK ANGEL    X 다크 엔젤 BLACK BRONZER 다크 태닝로션_1,OOH LA LA At The Mansion Extreme Hot Tingle Bronzer_0,OOH LA LA At The Mansion Extreme Hot Tingle Bronzer_1,그래쥬얼 태너_0,그래쥬얼 태너_1,다크 태닝오일 선스크린 스프레이  SPF  _0,다크 태닝오일 선스크린 스프레이  SPF  _1,다크태닝 스프레이 오일_0,다크태닝 스프레이 오일_1,세라마이드 아토 수딩 젤_0,세라마이드 아토 수딩 젤_1,알로에     수딩젤_0,알로에     수딩젤_1,유기농 알로에 베라 젤_0,유기농 알로에 베라 젤_1,알로젤_0,알로젤_1,알로에     촉촉 수딩젤_0,알로에     촉촉 수딩젤_1,캘리포니안 네이처 스킨 수딩겔_0,캘리포니안 네이처 스킨 수딩겔_1,알로에    수딩젤  프레쉬 _0,알로에    수딩젤  프레쉬 _1,제주 대나무 수딩젤_0,제주 대나무 수딩젤_1,알로에 에센셜_0,알로에 에센셜_1,알로에     수딩로션 인텐시브 모이스쳐라이징_0,알로에     수딩로션 인텐시브 모이스쳐라이징_1,프레시 카밍 퀵 모닝 마스크_0,프레시 카밍 퀵 모닝 마스크_1,신선한 제주 알로에 수딩젤_0,신선한 제주 알로에 수딩젤_1,허니 촉촉 보습 젤   _0,허니 촉촉 보습 젤   _1,티트리 에센셜_0,티트리 에센셜_1,순정 수분 진정 올인원 젤_0,순정 수분 진정 올인원 젤_1,제주 생생 알로에 수딩 젤    _0,제주 생생 알로에 수딩 젤    _1,알로에 베라     수딩겔_0,알로에 베라     수딩겔_1,이초이스 알로에베라 수딩 젤_0,이초이스 알로에베라 수딩 젤_1,프리미엄 알로에 수딩젤_0,프리미엄 알로에 수딩젤_1,알로에 수딩 젤_0,알로에 수딩 젤_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.42857,76.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16598,30.88301,67.85714,58.42696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16598,30.88301
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,53.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,55.55555,51.71467,53.29448,49.10714,75.28089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.71467,53.29448
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.85714,72.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.75445,55.35634,81.25,79.77528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.75445,55.35634
3,0.0,0.0,0.0,42.10526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.57142,81.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.66117,48.4536,62.5,52.80898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.66117,48.4536
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71428,86.95652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,40.60356,42.17839,63.39285,56.17977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60356,42.17839
5,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71428,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40054,42.40251,57.14285,68.53932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40054,42.40251
6,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.20164,41.95428,78.57142,46.06741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.20164,41.95428
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.85714,79.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63511,35.81353,62.5,71.91011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63511,35.81353
8,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14285,71.30434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,47.3251,45.62976,77.67857,69.66292,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3251,45.62976
9,0.0,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.28571,68.69565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71879,50.82922,100.0,67.41573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71879,50.82922
