,데일리 모이스춰라이징 로션_0,데일리 모이스춰라이징 로션_1,굳세라 아토릴리프 오일 로션_0,굳세라 아토릴리프 오일 로션_1,아토덤 크림_0,아토덤 크림_1,슬리피_0,슬리피_1,하이드레이팅 핸드 앤 바디로션_0,하이드레이팅 핸드 앤 바디로션_1,그린티 허니 드롭스 바디크림_0,그린티 허니 드롭스 바디크림_1,노르웨이젼 포뮬러 바디 에멀젼_0,리뉴 인텐시브 스킨 로션_0,리뉴 인텐시브 스킨 로션_1,울트라 리페어 로션_0,울트라 리페어 로션_1,스트레스 릴리프 모이스처라이징 로션_0,스트레스 릴리프 모이스처라이징 로션_1,퓨어 스킨 젤리 오리지널_0,퓨어 스킨 젤리 오리지널_1,바디 오일 모로칸 가드너_0,바디 오일 모로칸 가드너_1,레미디얼 크림_0,레미디얼 크림_1,데일리 모이스처 바디 오일_0,데일리 모이스처 바디 오일_1,마일드 모이스처 밀크 오일_0,마일드 모이스처 밀크 오일_1,큐어 플러스 크림_0,큐어 플러스 크림_1,포포크림_0,포포크림_1,토닉 바디 트리트먼트 오일_0,토닉 바디 트리트먼트 오일_1,수딩 오인트먼트_0,수딩 오인트먼트_1,로즈버드살브 오리지널_0,로즈버드살브 오리지널_1,센텔라 멀티 밤_0,센텔라 멀티 밤_1,로즈페탈 살브_0,로즈페탈 살브_1,퓨어 시어 버터 EFT  에코서트_0,퓨어 시어 버터 EFT  에코서트_1,모링가 뷰티파잉 오일_0,모링가 뷰티파잉 오일_1,레몬 앤 비타민 E 바스 앤 바디 오일_0,레몬 앤 비타민 E 바스 앤 바디 오일_1,딥 모이스처 바디 오일_0,딥 모이스처 바디 오일_1,민트 로즈 튜브_0,민트 로즈 튜브_1,수딩 스킨 밤_0,수딩 스킨 밤_1,아몬드 서플 스킨 오일_0,아몬드 서플 스킨 오일_1,디바인 오일_0,디바인 오일_1,딥 모이스처 바디 미스트_0,딥 모이스처 바디 미스트_1,트와일라잇_0,트와일라잇_1,스톡홀름로즈 파인프라그란스 헤어   바디미스트_0,스톡홀름로즈 파인프라그란스 헤어   바디미스트_1,바디미스트  화이트포션 _0,바디미스트  화이트포션 _1,바디미스트 아쿠아키스_0,바디미스트 아쿠아키스_1,웨딩데이 판타지 바디 스프레이_0,웨딩데이 판타지 바디 스프레이_1,핑크 포션_0,핑크 포션_1,화이트 머스크 후레그런스 미스트_0,화이트 머스크 후레그런스 미스트_1,시트러스 버베나 바디 스플래쉬_0,시트러스 버베나 바디 스플래쉬_1,바디 오 드 뚜왈렛   _0,바디 오 드 뚜왈렛   _1
0,0.0,0.0,0.0,0.0,28.0,62.96296,0.40917,0.29398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0625,67.60563,80.22049,71.57296,0.0,0.0,0.0,0.0,0.0,0.0,15.08379,16.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,48.15033,40.94047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66037,40.0,0.0,100.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,34.66666,55.55555,0.55184,0.25585,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3125,78.87323,76.39429,68.47757,0.0,0.0,0.0,0.0,0.0,0.0,10.61452,8.93854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.23415,42.75618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71698,33.33333,0.0,92.85714,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,18.66666,92.59259,0.62122,0.16294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1875,76.05633,82.36057,75.04737,0.0,0.0,0.0,0.0,0.0,0.0,16.20111,15.64245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,54.25029,41.75047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71698,66.66666,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,26.66666,88.88888,0.4416,0.16935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5625,60.56338,85.79766,84.58622,0.0,0.0,0.0,0.0,0.0,0.0,8.93854,20.11173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,36.0,100.0,0.45975,0.21165,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6875,42.25352,90.66147,77.76373,0.0,0.0,0.0,0.0,0.0,0.0,15.64245,10.05586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.11491,45.25686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26415,40.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,34.66666,48.14814,100.0,0.18062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9375,49.29577,89.1699,78.90082,0.0,0.0,0.0,0.0,0.0,0.0,20.11173,13.96648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.01613,53.29709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,24.0,88.88888,2.51797,0.30126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1875,100.0,88.19714,72.45735,0.0,0.0,0.0,0.0,0.0,0.0,10.05586,10.61452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.83392,88.6817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.30188,60.0,0.0,57.14285,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,25.33333,59.25925,1.16528,0.1645,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9375,71.83098,70.29831,71.95198,0.0,0.0,0.0,0.0,0.0,0.0,13.96648,10.61452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.31877,79.33677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.54716,73.33333,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,34.66666,85.18518,0.68088,0.16242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.625,42.25352,67.12062,69.74099,0.0,0.0,0.0,0.0,0.0,0.0,10.61452,5.58659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79653,73.16662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79245,46.66666,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,28.0,55.55555,0.67829,0.37199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,46.47887,66.92607,74.66835,0.0,0.0,0.0,0.0,0.0,0.0,10.61452,7.26256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76426,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.07547,33.33333,0.0,0.0,0.0,0.0,100.0,0.0
