,굳세라 수퍼 세라마이드 미스트_0,굳세라 수퍼 세라마이드 미스트_1,굳세라 수퍼 세라마이드 미스트_2,크림 스킨 미스트_0,크림 스킨 미스트_1,크림 스킨 미스트_2,더마 인텐시브 판테놀 크림 미스트_0,더마 인텐시브 판테놀 크림 미스트_1,더마 인텐시브 판테놀 크림 미스트_2,프로폴리스 앰플 미스트_0,프로폴리스 앰플 미스트_1,프로폴리스 앰플 미스트_2,티트리 카밍 미스트_0,티트리 카밍 미스트_1,티트리 카밍 미스트_2,워터-풀 타임리스 워터 젤 미스트_0,워터-풀 타임리스 워터 젤 미스트_1,워터-풀 타임리스 워터 젤 미스트_2,펀더멘탈 앰플 미스트_0,펀더멘탈 앰플 미스트_1,펀더멘탈 앰플 미스트_2,보떼 이니샬 에너자이징 멀티 프로텍션 컨센트레이트 스프레이 쎄럼_0,보떼 이니샬 에너자이징 멀티 프로텍션 컨센트레이트 스프레이 쎄럼_1,보떼 이니샬 에너자이징 멀티 프로텍션 컨센트레이트 스프레이 쎄럼_2,오우썸 하이드레이팅 오가닉 더블미스트_0,오우썸 하이드레이팅 오가닉 더블미스트_1,오우썸 하이드레이팅 오가닉 더블미스트_2,뮤제너 앰플 미스트_0,뮤제너 앰플 미스트_1,뮤제너 앰플 미스트_2,아쿠아포린 액티브 미스트 스프레이_0,아쿠아포린 액티브 미스트 스프레이_1,아쿠아포린 액티브 미스트 스프레이_2,히아루론산 워터 미스트_0,히아루론산 워터 미스트_1,히아루론산 워터 미스트_2,모이스춰 바운드 스킨 에너지 미스트_0,모이스춰 바운드 스킨 에너지 미스트_1,모이스춰 바운드 스킨 에너지 미스트_2,안티더스트 배리어 미스트_0,안티더스트 배리어 미스트_1,안티더스트 배리어 미스트_2,허니풀 오일 미스트_0,허니풀 오일 미스트_1,허니풀 오일 미스트_2,닥터솔루션 노르데나우 워터 미스트_0,닥터솔루션 노르데나우 워터 미스트_1,닥터솔루션 노르데나우 워터 미스트_2,씨워터 알게 미스트_0,씨워터 알게 미스트_1,씨워터 알게 미스트_2,퓨어 워터 미스트_0,퓨어 워터 미스트_1,퓨어 워터 미스트_2,프로폴리스 50볼륨 미스트_0,프로폴리스 50볼륨 미스트_1,프로폴리스 50볼륨 미스트_2,아토베리어 365 크림 미스트_0,아토베리어 365 크림 미스트_1,아토베리어 365 크림 미스트_2,호호바 오일_0,호호바 오일_1,호호바 오일_2,100% 퓨어 유기농 호호바 오일_0,100% 퓨어 유기농 호호바 오일_1,100% 퓨어 유기농 호호바 오일_2,오가닉 호호바 오일_0,오가닉 호호바 오일_1,오가닉 호호바 오일_2,자연산 냉압착 호호바 오일_0,자연산 냉압착 호호바 오일_1,자연산 냉압착 호호바 오일_2,굳세라 수퍼 세라마이드 에센셜 오일_0,굳세라 수퍼 세라마이드 에센셜 오일_1,굳세라 수퍼 세라마이드 에센셜 오일_2,골든 글로우 페이스 오일_0,골든 글로우 페이스 오일_1,골든 글로우 페이스 오일_2,프리미엄 호호바 오일_0,프리미엄 호호바 오일_1,프리미엄 호호바 오일_2,화이트 트러플 세럼 인 오일 드롭_0,화이트 트러플 세럼 인 오일 드롭_1,화이트 트러플 세럼 인 오일 드롭_2,슈퍼 12 바운스 씬 오일_0,슈퍼 12 바운스 씬 오일_1,슈퍼 12 바운스 씬 오일_2,냉압착 호호바 오일_0,냉압착 호호바 오일_1,냉압착 호호바 오일_2,스킨 이센셜즈 배리어 리페어 페이스 오일_0,스킨 이센셜즈 배리어 리페어 페이스 오일_1,스킨 이센셜즈 배리어 리페어 페이스 오일_2,액티브-브이 퍼스트 오일_0,액티브-브이 퍼스트 오일_1,액티브-브이 퍼스트 오일_2,아베이 로얄 유쓰 워터리 오일_0,아베이 로얄 유쓰 워터리 오일_1,아베이 로얄 유쓰 워터리 오일_2,아쿠아수르스 매직 젤 오일_0,아쿠아수르스 매직 젤 오일_1,아쿠아수르스 매직 젤 오일_2,스킨소스 타마누 오일_0,스킨소스 타마누 오일_1,스킨소스 타마누 오일_2,윌 프로디쥬스 멀티 리치 오일_0,윌 프로디쥬스 멀티 리치 오일_1,윌 프로디쥬스 멀티 리치 오일_2,프로폴리스 페이스오일_0,프로폴리스 페이스오일_1,프로폴리스 페이스오일_2,굳세라 수퍼 세라마이드 모이스춰 밤_0,굳세라 수퍼 세라마이드 모이스춰 밤_1,굳세라 수퍼 세라마이드 모이스춰 밤_2,페이스 트리트먼트 플랜트 오일 블루 오키드_0,페이스 트리트먼트 플랜트 오일 블루 오키드_1,페이스 트리트먼트 플랜트 오일 블루 오키드_2
0,46.15384,0.0,0.0,0.0,24.0,50.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89655,0.0,11.03448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82706,100.0,49.72957,0.0,0.0,0.0,36.8421,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.61403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61.53846,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,11.03448,0.0,6.89655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8421,92.43607,51.15286,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64912,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,6.89655,0.0,8.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.15037,95.0284,55.33731,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.98245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,2.6178,20.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96551,37.5,15.17241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78947,84.48153,58.07002,0.0,0.0,0.0,78.94736,35.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.91228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,100.0,0.0,0.0,56.0,20.83333,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,15.17241,0.0,13.7931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.79699,88.21022,58.09849,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,73.33333,70.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,40.0,0.0,6.28272,28.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7931,37.5,11.72413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.68421,81.96022,100.0,0.0,0.0,0.0,36.8421,0.0,65.38461,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,49.1228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,100.0,0.0,0.0,3.66492,20.0,41.66666,0.0,0.0,0.0,57.14285,0.0,1.30548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72413,0.0,16.55172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5639,76.06534,75.74722,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.49122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,38.46153,86.66666,0.0,6.28272,40.0,37.5,0.0,0.0,0.0,0.0,0.0,2.61096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,83.33333,0.0,0.0,0.0,16.55172,0.0,12.41379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.89473,77.8409,79.56162,0.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.50877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,40.0,0.0,7.32984,20.0,29.16666,0.0,0.0,0.0,0.0,35.0,1.56657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.92307,0.0,0.0,0.0,0.0,12.41379,0.0,13.7931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75939,73.65056,81.81041,0.0,0.0,0.0,36.8421,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.50877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,61.53846,53.33333,0.0,10.99476,44.0,100.0,0.0,0.0,0.0,0.0,85.0,1.30548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61538,0.0,0.0,0.0,0.0,13.7931,0.0,8.27586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.47368,75.21306,80.1594,0.0,0.0,0.0,52.63157,0.0,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
