,셀다운 너리싱 크림_0,셀다운 너리싱 크림_1,타이거밤 넥앤숄더 크림_0,타이거밤 넥앤숄더 크림_1,바디슬리밍 핫 테라피 크림_0,바디슬리밍 핫 테라피 크림_1,피곤하지 마사지 볼_0,피곤하지 마사지 볼_1,야간용 슈퍼 롱 압박 스타킹_0,야간용 슈퍼 롱 압박 스타킹_1,바디 핏 엑스퍼트 카피톤_0,바디 핏 엑스퍼트 카피톤_1,뷔스트 뷰티 로션_0,뷔스트 뷰티 로션_1,갈바닉 스파 시스템 에이지락바디_0,갈바닉 스파 시스템 에이지락바디_1,크렘 마스벨트_0,크렘 마스벨트_1,팻 걸 식스팩_0,팻 걸 식스팩_1,버치 셀룰라이트 오일_0,버치 셀룰라이트 오일_1,바디 리프트 컨트롤_0,바디 리프트 컨트롤_1,마사지 핫볼_0,마사지 핫볼_1,리얼 쿨 바디_0,리얼 쿨 바디_1,날씬 미녀 크림_0,날씬 미녀 크림_1,더 바디 슬림 이펙터_0,더 바디 슬림 이펙터_1,더 바디 슬림 젤_0,더 바디 슬림 젤_1,레그 리커버리 수면쉐이퍼_0,레그 리커버리 수면쉐이퍼_1,리커버리 크림_0,리커버리 크림_1,미네랄 데오드란트 스틱_0,미네랄 데오드란트 스틱_1,미네랄 데오드란트 롤온  무향 _0,미네랄 데오드란트 롤온  무향 _1,데오드란트 바디 스프레이_0,데오드란트 바디 스프레이_1,사라사라 파우더시트_0,사라사라 파우더시트_1,데오프레쉬 바디 프라이머_0,데오프레쉬 바디 프라이머_1,바디 데오 스틱  무향 _0,바디 데오 스틱  무향 _1,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_0,틴 스피릿 솔리드 핑크 크러쉬 데오드란트_1,바디 데오 스틱  바닐라 파우더리향 _0,바디 데오 스틱  바닐라 파우더리향 _1,데오드란트 롤온 드라이 컴포트_0,데오드란트 롤온 드라이 컴포트_1,데오도란트_0,데오도란트_1,엑스트라 화이트  스틱 _0,엑스트라 화이트  스틱 _1,데오드란트 미스트_0,데오드란트 미스트_1,데오도란트 두세르_0,데오도란트 두세르_1,슈퍼 쿨링 파우더 시트 클린 솝 향_0,슈퍼 쿨링 파우더 시트 클린 솝 향_1,데오드란트 스틱드라이콤포트_0,데오드란트 스틱드라이콤포트_1,데오드란트 스프레이 패뷸러스 플라워_0,데오드란트 스프레이 패뷸러스 플라워_1,안티 퍼스피런트 데오드란트 스틱 패션_0,안티 퍼스피런트 데오드란트 스틱 패션_1,슈퍼쿨링파우더시트_0,슈퍼쿨링파우더시트_1,엑스트라 화이트  롤온 _0,엑스트라 화이트  롤온 _1,롤온 데오드란트  뱀부 _0,롤온 데오드란트  뱀부 _1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.54901,75.90361,0.0,0.0,0.0,0.0,0.0,0.0,79.66101,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.60396,78.18627,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29357,56.98924,0.0,0.0,0.0,70.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,58.33333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5098,96.38554,0.0,0.0,0.0,0.0,0.0,0.0,86.44067,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0792,64.46078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.31182,0.0,0.0,0.0,60.0
2,1.68918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47058,72.28915,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69306,71.56862,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.18279,0.0,0.0,0.0,60.0
3,2.36486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.72549,31.3253,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.0,0.91743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73267,84.31372,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.08602,0.0,0.0,0.0,50.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.49019,68.67469,0.0,0.0,0.0,0.0,0.0,0.0,71.18644,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0297,79.16666,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0
5,0.0,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,58.33333,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.92156,55.42168,0.0,0.0,0.0,0.0,0.0,0.0,71.18644,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.62376,78.67647,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75229,59.13978,0.0,0.0,0.0,70.0
6,2.36486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52941,63.85542,0.0,0.0,0.0,0.0,0.0,0.0,69.49152,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.16831,87.74509,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80645,0.0,0.0,60.0,0.0
7,2.36486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.78431,55.42168,0.0,0.0,0.0,0.0,0.0,0.0,47.45762,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73267,65.93137,0.0,0.0,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.211,30.10752,0.0,0.0,0.0,80.0
8,2.36486,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66666,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56862,71.08433,0.0,0.0,0.0,0.0,0.0,0.0,47.45762,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.64356,54.65686,0.0,0.0,94.73684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80645,0.0,0.0,100.0,60.0
9,2.02702,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.94186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.86274,84.33734,0.0,0.0,0.0,0.0,0.0,0.0,71.18644,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65346,56.86274,0.0,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4301,0.0,0.0,60.0,50.0
