,레시피 롤링 스틱 조이풀 스페셜 에디션_0,레시피 롤링 스틱 조이풀 스페셜 에디션_1,가슴크림_0,가슴크림_1,아쿠아데스톡 소프트 바디 솔루션 크림_0,아쿠아데스톡 소프트 바디 솔루션 크림_1,진저 플라이트 테라피_0,진저 플라이트 테라피_1,레시피 롤링 스틱 해피 스페셜 에디션_0,레시피 롤링 스틱 해피 스페셜 에디션_1,아로마테라피롤온  웨이크닝 _0,아로마테라피롤온  웨이크닝 _1,그린티 라벤더 마사지 오일_0,그린티 라벤더 마사지 오일_1,라벤더 앤 로즈마리 배스 마사지 오일_0,라벤더 앤 로즈마리 배스 마사지 오일_1,아로마 슬리밍 마사지 오일_0,아로마 슬리밍 마사지 오일_1,티트리 에센셜 오일_0,티트리 에센셜 오일_1,레져렉션 아로마틱 핸드 워시_0,레져렉션 아로마틱 핸드 워시_1,핸드N네일 인텐시브 플러스_0,핸드N네일 인텐시브 플러스_1,티 룸 핸드크림  플라워티 _0,티 룸 핸드크림  플라워티 _1,센서티브 핸드 리페어 앤 케어 크림_0,센서티브 핸드 리페어 앤 케어 크림_1,핸드 릴리프 _0,핸드 릴리프 _1,카밀 핸드크림 튜브_0,카밀 핸드크림 튜브_1,손소독제_0,손소독제_1,클래식 핸드크림 딥 모이스처_0,클래식 핸드크림 딥 모이스처_1,핸드앤 네일크림 바이탈 큐텐_0,핸드앤 네일크림 바이탈 큐텐_1,제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_0,제주 라이프 퍼퓸드 핸드크림    월 햇살 아래 산딸기_1,제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_0,제주 라이프 퍼퓸드 핸드크림    월 핑크 코랄_1,핸드 앤 네이처 핸드 크림   릴리_0,핸드 앤 네이처 핸드 크림   릴리_1,인텐스 릴리프 핸드크림_0,인텐스 릴리프 핸드크림_1,스트롱 프로텍션 크림 튜브형_0,스트롱 프로텍션 크림 튜브형_1,레저렉션 아로마틱 핸드 밤_0,레저렉션 아로마틱 핸드 밤_1,자연을 닮은 핸드크림   서리태_0,자연을 닮은 핸드크림   서리태_1,시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _0,시어 드라이 스킨 핸드 크림 시어버터 핸드크림 _1,핸드 크림_0,핸드 크림_1,퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _0,퍼퓸드 핸드 라이트 에센스  그레이프프루츠 _1,아이깨끗해 항균 폼 핸드솝 순 파우더향 _0,아이깨끗해 항균 폼 핸드솝 순 파우더향 _1,노르웨이젼 포뮬러 풋 크림_0,노르웨이젼 포뮬러 풋 크림_1,발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _0,발을씻자 코튼풋샴푸  프레쉬 레몬 민트 _1,시어 버터 풋 크림_0,시어 버터 풋 크림_1,풋 케어 크림_0,풋 케어 크림_1,샤이니 풋 슈퍼 필링 리퀴드_0,샤이니 풋 슈퍼 필링 리퀴드_1,수드 쿨링 풋 스프레이_0,수드 쿨링 풋 스프레이_1,발샴푸_0,발샴푸_1,풋크림 프리미엄_0,풋크림 프리미엄_1,얼음샷 발샴푸_0,얼음샷 발샴푸_1,파라핀 풋마스크_0,파라핀 풋마스크_1
0,0.0,0.0,54.76923,92.62295,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,18.64406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.17708,0.28974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.19298,0.0,0.0,0.0,0.0,82.05225,48.60027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.60869,35.2459,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,52.0,95.90163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94817,0.27506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52631,0.0,0.0,0.0,0.0,85.91442,43.98806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,92.30769,0.0,0.0,0.0,0.0,58.26086,24.18032,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,61.53846,90.57377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,10.16949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.10527,0.25863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.24561,0.0,0.0,0.0,0.0,70.50359,33.5016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,38.46153,0.0,0.0,0.0,0.0,66.95652,34.83606,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,63.07692,83.19672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06574,0.20061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157,0.0,0.0,0.0,0.0,59.86368,33.89169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,72.17391,38.11475,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,56.92307,67.21311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70909,0.20621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0707,64.91228,0.0,0.0,0.0,0.0,57.51609,49.21982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.60869,44.67213,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,66.46153,70.90163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01263,0.29393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0505,69.29824,0.0,0.0,0.0,0.0,60.46951,46.30564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.30434,38.93442,0.0,0.0,0.0,71.42857,0.0,0.0
6,0.0,0.0,53.23076,81.96721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25423,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48405,0.27681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12121,77.19298,0.0,0.0,0.0,0.0,78.41726,46.78751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.13043,46.72131,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,60.0,83.19672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58217,0.24989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31313,91.22807,0.0,0.0,0.0,0.0,78.30367,45.18127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.73913,34.42622,0.0,0.0,0.0,100.0,0.0,0.0
8,0.0,0.0,55.38461,86.4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5409,0.26387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25252,71.92982,0.0,0.0,0.0,0.0,90.68534,39.49059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.60869,36.88524,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,55.38461,84.01639,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9394,0.25688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13131,64.03508,0.0,0.0,0.0,0.0,93.44945,33.38687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,60.0,27.45901,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,52.30769,84.42622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67918,0.19887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,74.5614,0.0,0.0,0.0,0.0,85.15713,40.50022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.60869,35.65573,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,60.0,72.54098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.14965,0.22822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19191,70.17543,0.0,0.0,0.0,0.0,79.47747,60.76181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,42.21311,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,75.07692,87.70491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.69015,0.44457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15151,56.14035,0.0,0.0,0.0,0.0,62.09769,59.06379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.56521,50.40983,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,79.07692,90.16393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.62981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,70.17543,0.0,0.0,0.0,0.0,82.24157,61.86324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,0.0,0.0,0.0,57.3913,36.88524,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,74.46153,79.50819,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,13.55932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.70795,1.01706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29292,71.05263,0.0,0.0,0.0,0.0,83.79401,59.08673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,50.43478,39.34426,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,100.0,78.68852,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,60.88842,1.30541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.20202,51.75438,0.0,0.0,0.0,0.0,83.07459,55.36943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52173,47.54098,0.0,0.0,0.0,0.0,0.0,0.0
