,유노하나 파우더_0,유노하나 파우더_1,더 컴포터_0,더 컴포터_1,바디 밸런스 스크럽_0,바디 밸런스 스크럽_1,토탈 리커버리 샤워크림_0,토탈 리커버리 샤워크림_1,바디 밸런스 더 프리미엄 에디션_0,바디 밸런스 더 프리미엄 에디션_1,섹스 밤_0,섹스 밤_1,바디스크럽   로즈티_0,바디스크럽   로즈티_1,브라이트사이드_0,브라이트사이드_1,벨먼 내추럴 스파 사해소금 스크럽 바디워시_0,벨먼 내추럴 스파 사해소금 스크럽 바디워시_1,딥 모이스처 샤워 크림_0,딥 모이스처 샤워 크림_1,스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_0,스파 내추럴 테라피 블랙로즈 사해소금 스크럽 바디워시_1,써니사이드_0,써니사이드_1,스킨유 스킨에멀전 샤워젤_0,스킨유 스킨에멀전 샤워젤_1,인터갈락틱_0,인터갈락틱_1,바디스크럽   딜리케이트 자스민_0,바디스크럽   딜리케이트 자스민_1,리모델링 스크럽_0,리모델링 스크럽_1,세라마이드 아토     탑투토워시_0,세라마이드 아토     탑투토워시_1,이몰리언트 바디스크럽_0,이몰리언트 바디스크럽_1,핑크 그레이프후룻 샤워젤_0,핑크 그레이프후룻 샤워젤_1,피치코코 스크럽_0,피치코코 스크럽_1,화이트 톤업 바디 세럼  SPF   _0,화이트 톤업 바디 세럼  SPF   _1,꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_0,꼬끄 도르 퍼퓸드 쉬머 파우더 바디   헤어_1,샤이닝 드레스 크림_0,샤이닝 드레스 크림_1,코나커피 태닝로션 브론저  SPF   _0,코나커피 태닝로션 브론저  SPF   _1,보데나 렉스 스프레이_0,보데나 렉스 스프레이_1,훌라 제로 탠 라인 바디 브론저_0,훌라 제로 탠 라인 바디 브론저_1,피브완 플로라 쉬머링 오일_0,피브완 플로라 쉬머링 오일_1,원더렉스_0,원더렉스_1,쉼미 쉼미_0,쉼미 쉼미_1,더 샤인 바디밤_0,더 샤인 바디밤_1,테이크 어 픽쳐 잇 래스트 롱거_0,테이크 어 픽쳐 잇 래스트 롱거_1,스파클링 바디쿠션_0,스파클링 바디쿠션_1,   아워 브론저_0,   아워 브론저_1,그래듀얼 셀프 태닝 바디 로션_0,그래듀얼 셀프 태닝 바디 로션_1,그래주얼 선레스 셀프태닝 로션_0,그래주얼 선레스 셀프태닝 로션_1,글리터 하이라이터 글리터 젤_0,글리터 하이라이터 글리터 젤_1,드 솔레일 브론징 페이스 바디 스프레이_0,드 솔레일 브론징 페이스 바디 스프레이_1,모노이 바디 글로우 브론징 바디 오일_0,모노이 바디 글로우 브론징 바디 오일_1,바디 라바 바디 루미나이저_0,바디 라바 바디 루미나이저_1,블랙 스타킹스_0,블랙 스타킹스_1
0,100.0,68.42105,30.76923,0.0,0.0,5.15463,0.0,0.0,0.0,0.0,37.22943,86.55913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52071,30.76923,0.0,0.0,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44.44444,63.15789,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.97835,88.70967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.94082,31.31868,0.0,0.0,27.27272,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.0,57.89473,0.0,70.0,77.77777,0.0,0.0,0.0,0.0,0.0,51.94805,77.95698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75739,34.06593,0.0,0.0,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,66.66666,44.73684,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.21645,82.25806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.94082,34.43223,0.0,0.0,30.30303,29.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,55.55555,47.36842,30.76923,0.0,0.0,5.15463,0.0,0.0,0.0,0.0,30.73593,87.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.97041,26.92307,62.5,0.0,48.48484,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,55.55555,21.05263,19.23076,50.0,66.66666,9.27835,0.0,0.0,0.0,0.0,40.69264,81.72043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19526,26.92307,0.0,0.0,42.42424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,33.33333,36.8421,19.23076,0.0,0.0,8.24742,0.0,0.0,0.0,0.0,45.02164,75.80645,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.05917,24.17582,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,83.33333,23.68421,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75324,81.72043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.49112,30.21978,0.0,0.0,30.30303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,77.77777,39.47368,26.92307,0.0,0.0,5.15463,0.0,0.0,0.0,0.0,56.27705,82.25806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.13609,31.68498,0.0,0.0,42.42424,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,100.0,26.92307,0.0,0.0,5.15463,0.0,0.0,0.0,0.0,50.21645,65.05376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2781,35.53113,0.0,0.0,48.48484,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
