,제모젤 클래식_0,제모젤 클래식_1,비너스 스파 면도기_0,비너스 스파 면도기_1,바디 면도기_0,바디 면도기_1,비너스 앤 올레이 면도기_0,비너스 앤 올레이 면도기_1,전자렌지용 왁스_0,전자렌지용 왁스_1,퓨어 코마치 여성 면도기_0,퓨어 코마치 여성 면도기_1,비너스 임브레이스 스냅 면도기_0,비너스 임브레이스 스냅 면도기_1,브라질리안 비키니 왁스_0,브라질리안 비키니 왁스_1,내추럴 헤어 리무버 젤_0,내추럴 헤어 리무버 젤_1, 중날 휴대용 면도기_0, 중날 휴대용 면도기_1,프로바이오틱스 탈모증상완화 샴푸  두피강화 _0,프로바이오틱스 탈모증상완화 샴푸  두피강화 _1,안티 댄드러프 샴푸_0,안티 댄드러프 샴푸_1,녹차실감 샴푸  지성용 _0,녹차실감 샴푸  지성용 _1,녹차실감 샴푸  중건성 _0,녹차실감 샴푸  중건성 _1,새티니크 글로시 리페어 샴푸_0,새티니크 글로시 리페어 샴푸_1,프리즈 이즈 미라큘러스 리커버리 샴푸_0,프리즈 이즈 미라큘러스 리커버리 샴푸_1,클리닉 샴푸_0,클리닉 샴푸_1,씨솔트 스케일러_0,씨솔트 스케일러_1,씨닉_0,씨닉_1,피토테라피 샴푸_0,피토테라피 샴푸_1,빅_0,빅_1,새티니크 스무드 모이스처 샴푸_0,새티니크 스무드 모이스처 샴푸_1,프리미엄 샴푸_0,프리미엄 샴푸_1,칼라포스 프로텍티브 샴푸_0,칼라포스 프로텍티브 샴푸_1,프로페셔널 디펜스 샴푸_0,프로페셔널 디펜스 샴푸_1,핑크브리즈 퍼퓸드 헤어 샴푸_0,핑크브리즈 퍼퓸드 헤어 샴푸_1,알베르 헤어 샴푸_0,알베르 헤어 샴푸_1,너리싱 샴푸_0,너리싱 샴푸_1,리햅_0,리햅_1,NEW 아로마 리페어 샴푸_0,NEW 아로마 리페어 샴푸_1,프리즈 이즈 미라큘러스 리커버리 컨디셔너_0,프리즈 이즈 미라큘러스 리커버리 컨디셔너_1,컨디셔닝 린스 극손상 케어_0,컨디셔닝 린스 극손상 케어_1,풀리페어 하이드레이트 레스큐 딥 컨디셔너_0,풀리페어 하이드레이트 레스큐 딥 컨디셔너_1,프로페셔널 디펜스 컨디셔너_0,프로페셔널 디펜스 컨디셔너_1,실크리페어 리커버리 컨디셔너_0,실크리페어 리커버리 컨디셔너_1,실크 리페어 컨디셔너  시그니처 _0,실크 리페어 컨디셔너  시그니처 _1,내추럴 모로코 아르간 오일 컨디셔너_0,내추럴 모로코 아르간 오일 컨디셔너_1,토탈 리페어  컨디셔너_0,토탈 리페어  컨디셔너_1,안티에이징 린스_0,안티에이징 린스_1,퍼펙트 리페어 린스_0,퍼펙트 리페어 린스_1
0,0.0,0.0,0.0,21.29629,60.9756,60.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.47619,88.37209,60.34482,43.75,0.0,0.0,19.54022,72.72727,4.32215,39.77327,0.0,0.0,13.15789,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,92.09876,56.41547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,23.14814,36.58536,53.65853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,55.81395,51.72413,34.375,0.0,0.0,18.96551,22.72727,4.43533,43.15789,0.0,0.0,55.26315,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,90.12345,46.84317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,30.55555,34.14634,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.39682,69.76744,58.62068,54.6875,0.0,0.0,55.74712,0.0,4.04074,43.83805,0.0,0.0,42.10526,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.74074,37.88187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,18.51851,56.09756,31.70731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,74.4186,55.17241,70.3125,0.0,0.0,28.73563,0.0,3.94286,32.38866,0.0,0.0,13.15789,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,69.1358,50.30549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,19.44444,63.41463,51.21951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07936,88.37209,32.75862,45.3125,0.0,0.0,14.94252,0.0,4.80239,36.53441,0.0,0.0,73.68421,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.44444,51.73116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,7.4074,58.53658,58.53658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.23809,72.09302,58.62068,78.125,0.0,62.5,14.94252,0.0,5.59464,100.0,0.0,0.0,23.68421,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,91.60493,72.91242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,16.66666,26.82926,85.36585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,88.37209,34.48275,50.0,50.0,0.0,29.88505,27.27272,5.8057,90.02429,0.0,0.0,21.05263,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,60.69246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,20.37037,68.29268,68.29268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,67.44186,37.93103,32.8125,0.0,0.0,31.03448,0.0,6.57959,64.82591,0.0,0.0,39.47368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,66.66666,82.71604,52.13849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,19.44444,60.9756,34.14634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,55.81395,60.34482,42.1875,0.0,0.0,0.0,0.0,7.15159,68.01619,0.0,0.0,26.31578,57.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,78.02469,58.24847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,25.92592,56.09756,53.65853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.25396,60.46511,44.82758,42.1875,57.14285,0.0,4.02298,22.72727,6.15441,63.17408,0.0,0.0,55.26315,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,66.66666,50.50916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
