,리페어포스 키토 트리트먼트_0,리페어포스 키토 트리트먼트_1,리페어포스 키토 트리트먼트 CMC_0,리페어포스 키토 트리트먼트 CMC_1,프리미엄 리페어 마스크_0,프리미엄 리페어 마스크_1,퍼펙트  분 살롱 마스크팩_0,퍼펙트  분 살롱 마스크팩_1,토탈 리페어   인스턴트 미라클 헤어팩_0,토탈 리페어   인스턴트 미라클 헤어팩_1,리커버리 밤 B_0,리커버리 밤 B_1,프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_0,프리즈이즈 미라큘러스 리커버리 딥 컨디셔너_1,칼라포스 리브 인 트리트먼트_0,칼라포스 리브 인 트리트먼트_1,아쿠아큐링 헤어트리트먼트_0,아쿠아큐링 헤어트리트먼트_1,데미지 리페어 헤어 마스크_0,데미지 리페어 헤어 마스크_1,트리트먼트_0,트리트먼트_1,릴렉스 헤어마스크_0,릴렉스 헤어마스크_1,에그 레미디 헤어 팩_0,에그 레미디 헤어 팩_1,딥 모이스트 리페어 헤어 마스크_0,딥 모이스트 리페어 헤어 마스크_1,모이스처 헤어 마스크 와이_0,모이스처 헤어 마스크 와이_1,카올린 스칼프 팩_0,카올린 스칼프 팩_1,골든미라클 트리트먼트  극손상케어 _0,골든미라클 트리트먼트  극손상케어 _1,리얼시어 프로틴 리차징 리브인 트리트먼트_0,리얼시어 프로틴 리차징 리브인 트리트먼트_1,헤어 트리트먼트 미라클  X_0,헤어 트리트먼트 미라클  X_1,I 트리트먼트_0,I 트리트먼트_1,루트 레미디 스칼프 토닉_0,루트 레미디 스칼프 토닉_1,티테라피 두피팅처_0,티테라피 두피팅처_1,스위스 허벌 헤어 토닉_0,스위스 허벌 헤어 토닉_1,녹차실감 인텐시브 토닉_0,녹차실감 인텐시브 토닉_1,프리미엄 토탈 헤어토닉_0,프리미엄 토탈 헤어토닉_1,클로렐라 베러 루트 헤어토닉_0,클로렐라 베러 루트 헤어토닉_1,애터미 액 탈모케어 _0,애터미 액 탈모케어 _1,닥터트럽 스칼프 토닉_0,닥터트럽 스칼프 토닉_1,인바티 어드밴스드  스칼프 리바이탈라이저_0,인바티 어드밴스드  스칼프 리바이탈라이저_1,로즈마리 루트 인핸서_0,로즈마리 루트 인핸서_1,오리지널 헤어 팅크처_0,오리지널 헤어 팅크처_1,프로페셔널 디펜스 스캘프 토닉_0,프로페셔널 디펜스 스캘프 토닉_1,RECLE AP 데일리 스칼프 토닉  리클리 토닉 _0,RECLE AP 데일리 스칼프 토닉  리클리 토닉 _1,세범 컨트롤 토닉_0,세범 컨트롤 토닉_1,데일리 안티 헤어로스 허브 헤어토닉_0,데일리 안티 헤어로스 허브 헤어토닉_1,스칼프 클리어센트 스틱  프리지아 그린부케 향 _0,스칼프 클리어센트 스틱  프리지아 그린부케 향 _1,블랙씨드 스칼프 릴리프 헤어 토닉_0,블랙씨드 스칼프 릴리프 헤어 토닉_1,클로렐라 베러 루트 쿨링 스프레이_0,클로렐라 베러 루트 쿨링 스프레이_1,폴리젠 스팟 이펙터_0,폴리젠 스팟 이펙터_1,프리미엄 히든 테라피 토닉_0,프리미엄 히든 테라피 토닉_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.51963,70.28571,0.0,83.33333,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.71794,0.0,0.0,42.6282,21.73038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.68437,70.61224,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82051,76.92307,0.0,0.0,38.78205,26.96177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5204,76.08163,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38461,33.33333,0.0,0.0,36.3782,26.35814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44444,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.90146,93.87755,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.28205,0.0,0.0,34.13461,29.17505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.89838,100.0,0.0,0.0,10.86956,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,46.15384,0.0,0.0,32.6923,27.56539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5943,94.12244,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,35.89743,25.64102,0.0,0.0,34.61538,30.7847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.35873,86.12244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.07692,41.02564,0.0,0.0,39.90384,23.13883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.06389,82.77551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.94871,33.33333,0.0,0.0,37.17948,20.72434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.21709,87.59183,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38461,41.02564,0.0,0.0,46.3141,16.7002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.22222,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.90454,90.77551,0.0,0.0,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,12.82051,0.0,0.0,77.08333,16.29778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
