,드라이샴푸 브라이트 라이브리 플로랄_0,드라이샴푸 브라이트 라이브리 플로랄_1,자연의 올리브  분 드라이 샴푸_0,자연의 올리브  분 드라이 샴푸_1,아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_0,아몬드 앤 린시드 샴푸 포 드라이 앤 데미지드 헤어_1,클릭 프릭 리프레싱 드라이 샴푸_0,클릭 프릭 리프레싱 드라이 샴푸_1,드라이 샴푸_0,드라이 샴푸_1,드라이 샴푸 레즐리 핑크_0,드라이 샴푸 레즐리 핑크_1,드라이 샴푸   엑소틱_0,드라이 샴푸   엑소틱_1,오트밀크 드라이샴푸_0,오트밀크 드라이샴푸_1,피스트 웨이비 컬리 헤어 드라이 샴푸_0,피스트 웨이비 컬리 헤어 드라이 샴푸_1,노웨이팅 드라이샴푸   스위트_0,노웨이팅 드라이샴푸   스위트_1,트리트먼트 오리지날_0,트리트먼트 오리지날_1,헤어 테라피_0,헤어 테라피_1,라이트 오일 트리트먼트_0,라이트 오일 트리트먼트_1,리페어포스 헤어BB크림_0,리페어포스 헤어BB크림_1,컬링 에센스  X_0,컬링 에센스  X_1,미스 디올 헤어 미스트_0,미스 디올 헤어 미스트_1,엑스트라 오디네리 오일 엑스트라 리치_0,엑스트라 오디네리 오일 엑스트라 리치_1,엑스트라 오디네리 오일 리치_0,엑스트라 오디네리 오일 리치_1,토탈리페어  세럼 프로엑스_0,토탈리페어  세럼 프로엑스_1,소프트닝 컨디셔너_0,소프트닝 컨디셔너_1,레지스턴스 시몽 테르미크_0,레지스턴스 시몽 테르미크_1,데미지 케어 컨센트레이트_0,데미지 케어 컨센트레이트_1,헤어비타민 헤어 트리트먼트_0,헤어비타민 헤어 트리트먼트_1,울트라 프로틴 헤어오일 리치_0,울트라 프로틴 헤어오일 리치_1,실키 오일 세럼_0,실키 오일 세럼_1,아르간 헤어 트리트먼트 오일_0,아르간 헤어 트리트먼트 오일_1,샹스 오 땅드르 헤어 미스트_0,샹스 오 땅드르 헤어 미스트_1,리페어포스 테라피 에센셜 오일_0,리페어포스 테라피 에센셜 오일_1,아로마 리페어 오일_0,아로마 리페어 오일_1,엑스트라 오디네리 보태니컬 오일_0,엑스트라 오디네리 보태니컬 오일_1,에르네뜨 스프레이_0,에르네뜨 스프레이_1,카멜리아 에센셜 잔머리 스틱 왁스_0,카멜리아 에센셜 잔머리 스틱 왁스_1,글로발 체리 미러클 휘니쉬_0,글로발 체리 미러클 휘니쉬_1,컬 셋 로션 EX_0,컬 셋 로션 EX_1,볼륨 미스트_0,볼륨 미스트_1,스프레이 수퍼하드_0,스프레이 수퍼하드_1,슈퍼하드 워터스프레이_0,슈퍼하드 워터스프레이_1,알앤비_0,알앤비_1,프리즈 앤 샤인 슈퍼 스프레이_0,프리즈 앤 샤인 슈퍼 스프레이_1,허브 스타일링 헤어 스프레이_0,허브 스타일링 헤어 스프레이_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.44927,3.06667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,47.87234,13.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,35.71428,0.0,0.0,44.73684,24.44444,0.0,0.0,51.85185,61.90476,56.81818,83.90804,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.15942,3.13274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,34.61538,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,46.80851,26.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,47.36842,37.77777,0.0,0.0,22.22222,38.09523,55.11363,70.11494,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.48792,3.36398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,55.55555,0.0,0.0,0.0,36.8421,48.88888,0.0,0.0,48.14814,52.38095,55.11363,77.5862,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.88888,3.45757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.53846,12.5,0.0,0.0,0.0,0.0,0.0,0.0,54.25531,15.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,57.77777,0.0,0.0,29.62962,52.38095,62.5,81.60919,50.0,55.55555,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.58937,2.94004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.07692,13.54166,0.0,0.0,0.0,0.0,0.0,0.0,63.82978,25.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,45.45454,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,36.8421,64.44444,0.0,0.0,55.55555,0.0,61.36363,62.64367,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.54106,2.8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92307,22.91666,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,19.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.15789,37.77777,0.0,0.0,33.33333,23.80952,59.65909,72.41379,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.69565,2.56565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769,18.75,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,32.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.51724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,44.73684,28.88888,0.0,0.0,29.62962,0.0,57.38636,77.5862,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.25603,2.78588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.84615,11.45833,0.0,0.0,0.0,0.0,0.0,0.0,58.51063,25.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,42.10526,51.11111,0.0,0.0,33.33333,80.95238,45.45454,66.09195,60.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.02898,2.86296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.15384,21.875,0.0,0.0,0.0,0.0,0.0,0.0,35.10638,18.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,0.0,55.26315,37.77777,0.0,0.0,33.33333,95.23809,53.40909,71.26436,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.77294,3.69982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.45833,0.0,0.0,0.0,0.0,0.0,0.0,32.97872,8.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,28.88888,0.0,0.0,44.44444,33.33333,52.27272,60.34482,0.0,66.66666,0.0,0.0
