,블론더 멀티 블론드 파우더 탈색약 탈색제_0,블론더 멀티 블론드 파우더 탈색약 탈색제_1,마지렐 쿨커버_0,마지렐 쿨커버_1,마지렐 염색약_0,마지렐 염색약_1,팡팡 헤어 섀도우_0,팡팡 헤어 섀도우_1,안토시아닌 헤어 매니큐어_0,안토시아닌 헤어 매니큐어_1,흑모비책 크림 염색_0,흑모비책 크림 염색_1,퀵 헤어 섀도우_0,퀵 헤어 섀도우_1,씨리얼 헤어컬러_0,씨리얼 헤어컬러_1,퀵 헤어 퍼프_0,퀵 헤어 퍼프_1,콜레스톤 퍼펙트 염모제_0,콜레스톤 퍼펙트 염모제_1,리얼 헤어 메이크업 젤리 컨실러_0,리얼 헤어 메이크업 젤리 컨실러_1,메이크 에이치디 헤어 블리치_0,메이크 에이치디 헤어 블리치_1,컬러라이즈 헤어 블리치_0,컬러라이즈 헤어 블리치_1,컬러 트리트먼트 페인트_0,컬러 트리트먼트 페인트_1,헤어쿠션_0,헤어쿠션_1,크리스탈라이징 스트레이트_0,크리스탈라이징 스트레이트_1,투톤 트리트먼트 헤어 컬러_0,투톤 트리트먼트 헤어 컬러_1,시크릿 헤어 라이너_0,시크릿 헤어 라이너_1,크림 헤어 블리치_0,크림 헤어 블리치_1,엑셀랑스 크림_0,엑셀랑스 크림_1,WET 브러쉬_0,WET 브러쉬_1,오리지널_0,오리지널_1,우든 패들 브러시_0,우든 패들 브러시_1,컴팩트 스타일러_0,컴팩트 스타일러_1,레인보우 볼륨 S 브러시_0,레인보우 볼륨 S 브러시_1,브러시형 두피 마사지기_0,브러시형 두피 마사지기_1,헤어고정시트_0,헤어고정시트_1,살롱 엘리트_0,살롱 엘리트_1,영국런던 헤어 브러시_0,영국런던 헤어 브러시_1,집게형헤어컬_0,집게형헤어컬_1,레인보우 볼륨 S 브러쉬 컴팩트_0,레인보우 볼륨 S 브러쉬 컴팩트_1,앞머리 헤어롤_0,앞머리 헤어롤_1,Wet앤탱글 쿠션브러시_0,Wet앤탱글 쿠션브러시_1,레인보우 반달 브러쉬_0,레인보우 반달 브러쉬_1,리본형 헤어고정시트_0,리본형 헤어고정시트_1,두피마사지 샴푸 브러쉬_0,두피마사지 샴푸 브러쉬_1,샴푸 브러쉬_0,샴푸 브러쉬_1,마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_0,마이뷰티툴 러블리에띠 스탠딩 헤어브러쉬_1,올리브영알루미늄헤어롤_0,올리브영알루미늄헤어롤_1,집게 헤어롤_0,집게 헤어롤_1
0,0.0,0.0,44.44444,0.0,90.90909,0.0,0.0,0.0,61.22448,56.08974,0.0,0.0,42.85714,0.0,0.0,0.0,18.64406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43556,95.75871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,32.0,42.32558,34.64052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.93939,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57831,51.63398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.59296,91.16279,0.0,0.0,0.0,83.33333,42.85714,0.0
1,0.0,0.0,0.0,28.0,0.0,50.0,53.33333,0.0,74.60317,54.80769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6321,62.29971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,32.09302,37.90849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.84848,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.87951,80.39215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.83919,78.60465,0.0,0.0,0.0,0.0,60.71428,50.0
2,0.0,0.0,0.0,20.0,45.45454,46.42857,40.0,0.0,81.17913,73.39743,0.0,0.0,42.85714,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,28.07775,54.19415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,36.27906,27.01525,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,84.84848,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67469,83.00653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.92462,65.89147,0.0,0.0,0.0,0.0,32.14285,34.61538
3,0.0,0.0,44.44444,40.0,0.0,0.0,0.0,0.0,71.65532,60.89743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,22.3902,39.39679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,45.11627,30.50108,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,100.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6265,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.62814,83.87596,0.0,0.0,0.0,0.0,25.0,73.07692
4,0.0,0.0,0.0,28.0,0.0,25.0,40.0,0.0,73.24263,56.41025,0.0,0.0,0.0,0.0,0.0,0.0,10.16949,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,18.28653,71.34778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,56.0,61.86046,38.34422,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,45.45454,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.31325,86.9281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63316,90.69767,0.0,0.0,0.0,0.0,32.14285,0.0
5,0.0,0.0,33.33333,40.0,100.0,17.85714,0.0,21.73913,73.24263,68.91025,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.37437,47.69085,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.39534,35.72984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.93939,22.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.74698,78.43137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.15577,81.55038,0.0,0.0,0.0,0.0,60.71428,61.53846
6,0.0,0.0,0.0,52.0,0.0,0.0,0.0,26.08695,74.37641,62.17948,0.0,0.0,0.0,45.45454,0.0,0.0,18.64406,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,18.28653,64.37323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,24.0,77.2093,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78787,24.07407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.90361,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3819,77.51937,0.0,0.0,0.0,0.0,57.14285,34.61538
7,0.0,0.0,0.0,48.0,0.0,32.14285,33.33333,21.73913,66.21315,52.88461,0.0,0.0,0.0,0.0,0.0,0.0,10.16949,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,15.55075,36.00377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,77.67441,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48484,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6024,72.54901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.62814,71.6279,0.0,0.0,0.0,0.0,53.57142,30.76923
8,0.0,0.0,27.77777,20.0,45.45454,28.57142,0.0,0.0,65.30612,54.48717,0.0,0.0,0.0,0.0,0.0,0.0,13.55932,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,15.76673,78.51083,0.0,0.0,0.0,0.0,0.0,63.63636,66.66666,0.0,0.0,0.0,40.0,80.0,44.18604,38.77995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,37.03703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92771,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06532,64.34108,0.0,0.0,0.0,0.0,25.0,30.76923
9,0.0,0.0,0.0,60.0,0.0,64.28571,40.0,0.0,73.46938,57.37179,0.0,0.0,0.0,45.45454,0.0,0.0,11.8644,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,18.43052,51.46088,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,68.0,51.6279,28.97603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,35.18518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.28915,76.47058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.71356,63.10077,0.0,0.0,0.0,0.0,53.57142,0.0
