,모디 컬러 네일즈_0,모디 컬러 네일즈_1,네일건_0,네일건_1,코드네일_0,코드네일_1,플레이 네일_0,플레이 네일_1,리얼 컬러 네일_0,리얼 컬러 네일_1,글리터 네일폴리쉬_0,글리터 네일폴리쉬_1,젤라틱 네일 폴리쉬_0,젤라틱 네일 폴리쉬_1,젤네일 컬러_0,젤네일 컬러_1,워너비 네일즈_0,워너비 네일즈_1,생과일 네일  플럼 멜로우 _0,생과일 네일  플럼 멜로우 _1,네일 웨어 젤 탑코트_0,네일 웨어 젤 탑코트_1,네일 탑코트_0,네일 탑코트_1,Seche Vite 드라이 패스트 탑코트_0,Seche Vite 드라이 패스트 탑코트_1,허니 젤네일 탑코트_0,허니 젤네일 탑코트_1,탑코트_0,탑코트_1,네일건 탑코트_0,네일건 탑코트_1,매트 탑코트_0,매트 탑코트_1,젤라틱 네일 폴리쉬  탑코트 _0,젤라틱 네일 폴리쉬  탑코트 _1,모디 메가 탑코트_0,모디 메가 탑코트_1,베이스 코트_0,베이스 코트_1,지젤리 베이스젤_0,지젤리 베이스젤_1,모디 탑 젤_0,모디 탑 젤_1,네일 베이스 코트_0,네일 베이스 코트_1,컬러 앤 네이처 네일 케어 베이스 코트_0,컬러 앤 네이처 네일 케어 베이스 코트_1,플레이 네일 스무딩 베이스 코트_0,플레이 네일 스무딩 베이스 코트_1,인스타드라이 탑코트_0,인스타드라이 탑코트_1,토니네일 젤광 젤탑코트_0,토니네일 젤광 젤탑코트_1,돼지탑_0,돼지탑_1,네일 젤탑코트_0,네일 젤탑코트_1,라라네일탑 베이스코트_0,라라네일탑 베이스코트_1,세미 큐어 젤  네일 _0,세미 큐어 젤  네일 _1, 네일 팔레트 컬렉션  글로스 젤네일 스트립_0, 네일 팔레트 컬렉션  글로스 젤네일 스트립_1,모디 쥬얼 스티커_0,모디 쥬얼 스티커_1, 빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_0, 빅스톤 컬렉션  매직프레스 슈퍼 슬림핏_1, 글램무브 컬렉션  글로스 젤네일 스트립_0, 글램무브 컬렉션  글로스 젤네일 스트립_1,매직프레스 프리미엄_0,매직프레스 프리미엄_1,하또하또핏 PRO 네일_0,하또하또핏 PRO 네일_1,셀프 네일 스티커   디자인_0,셀프 네일 스티커   디자인_1,모디 젤 네일 디자인 팁_0,모디 젤 네일 디자인 팁_1,프렌치네일 팁 라이너_0,프렌치네일 팁 라이너_1
0,14.14141,0.0,93.22033,93.22033,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,32.03883,0.0,0.0,0.0,0.0,0.0,0.0,50.66079,10.50724,0.0,0.0,0.0,0.0,64.92753,51.24555,0.0,0.0,75.90361,48.18181,0.0,0.0,15.38461,0.0,51.85185,50.0,45.0,66.42857,52.17391,50.0,52.25225,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83408,37.83783,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,43.16546,0.0,0.0
1,13.13131,88.88888,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.54545,33.98058,0.0,0.0,0.0,0.0,0.0,0.0,43.1718,5.43478,0.0,0.0,0.0,0.0,57.3913,45.5516,0.0,0.0,60.24096,32.72727,0.0,0.0,0.0,22.58064,45.67901,58.16326,55.0,51.42857,47.82608,57.14285,40.54054,93.65079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17937,37.83783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10638,39.08872,0.0,0.0
2,19.19191,38.88888,81.35593,81.35593,62.5,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.72727,35.92233,0.0,0.0,0.0,0.0,0.0,0.0,34.80176,5.43478,0.0,0.0,0.0,0.0,64.34782,42.70462,0.0,0.0,66.26506,39.0909,0.0,0.0,0.0,25.80645,54.32098,51.0204,56.42857,62.85714,30.43478,82.14285,37.83783,47.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.426,28.37837,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,3.31914,31.53477,0.0,0.0
3,21.21212,66.66666,76.27118,76.27118,0.0,100.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,78.18181,33.98058,0.0,0.0,0.0,0.0,0.0,0.0,41.85022,7.97101,0.0,0.0,0.0,0.0,55.65217,49.46619,0.0,0.0,56.6265,25.45454,0.0,0.0,12.82051,22.58064,66.66666,64.28571,57.85714,50.0,47.82608,85.71428,53.15315,68.25396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97309,43.24324,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,4.76595,31.53477,0.0,0.0
4,18.18181,38.88888,54.23728,54.23728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,31.06796,0.0,0.0,0.0,0.0,0.0,0.0,47.13656,8.33333,0.0,0.0,0.0,0.0,60.86956,43.06049,0.0,0.0,73.49397,46.36363,0.0,0.0,0.0,25.80645,49.38271,69.38775,58.57142,46.42857,52.17391,64.28571,58.55855,95.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6278,29.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04255,32.25419,0.0,0.0
5,44.44444,61.11111,42.37288,42.37288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.36363,43.68932,0.0,0.0,0.0,0.0,0.0,0.0,44.93392,4.34782,0.0,0.0,0.0,0.0,55.36231,45.19572,0.0,0.0,53.01204,40.0,0.0,0.0,0.0,19.35483,59.25925,64.28571,55.71428,80.71428,34.7826,53.57142,63.96396,96.82539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59192,41.89189,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,3.23404,39.32853,0.0,0.0
6,30.30303,50.0,52.54237,52.54237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,56.31067,0.0,0.0,0.0,0.0,0.0,0.0,63.43612,7.60869,0.0,0.0,0.0,0.0,51.88405,58.00711,0.0,0.0,75.90361,35.45454,0.0,0.0,0.0,25.80645,60.49382,62.24489,46.42857,62.14285,43.47826,53.57142,52.25225,73.01587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76233,33.78378,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,8.85106,31.29496,0.0,0.0
7,39.39393,50.0,67.79661,67.79661,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,50.90909,38.83495,0.0,0.0,0.0,0.0,0.0,0.0,48.01762,5.43478,0.0,0.0,0.0,0.0,51.88405,51.24555,0.0,0.0,62.6506,22.72727,0.0,0.0,0.0,45.16129,44.44444,71.42857,47.85714,61.42857,39.13043,85.71428,41.44144,84.12698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.66666,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24663,35.13513,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,10.7234,27.45803,0.0,0.0
8,10.10101,44.44444,74.57627,74.57627,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,70.90909,26.21359,0.0,0.0,0.0,0.0,0.0,0.0,49.77973,7.60869,0.0,0.0,0.0,0.0,61.15942,45.5516,0.0,0.0,66.26506,73.63636,0.0,0.0,0.0,32.25806,58.02469,62.24489,66.42857,57.85714,78.26086,35.71428,50.45045,84.12698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.59192,35.13513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.29787,27.21822,0.0,0.0
9,17.17171,33.33333,55.9322,55.9322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.90909,38.83495,0.0,0.0,0.0,0.0,0.0,0.0,60.35242,5.43478,0.0,0.0,0.0,0.0,50.72463,45.5516,0.0,0.0,68.67469,71.81818,0.0,0.0,0.0,45.16129,56.79012,73.46938,72.14285,47.85714,43.47826,71.42857,45.94594,61.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24663,20.27027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0851,32.85371,0.0,0.0
