,매직프레스 페디큐어_0,매직프레스 페디큐어_1,하또하또핏 패디_0,하또하또핏 패디_1,매직프레스 페디큐어 슈퍼 슬림핏_0,매직프레스 페디큐어 슈퍼 슬림핏_1,세미 큐어 젤  페디 _0,세미 큐어 젤  페디 _1, 빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0, 빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1,띠부띠부팁 패디_0,띠부띠부팁 패디_1,띠부띠부팁 패디 프리미엄_0,띠부띠부팁 패디 프리미엄_1, 에뛰드 에디션  매직프레스 페디큐어_0, 에뛰드 에디션  매직프레스 페디큐어_1, 이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_0, 이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_1, 하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0, 하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1, 빅스톤 컬렉션  프리미엄 글로스 페디_0, 빅스톤 컬렉션  프리미엄 글로스 페디_1, 팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1,글로스 페디 스트립_0,글로스 페디 스트립_1, 더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1, 보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0, 보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1, 보노보노컬렉션  글로스 페디_0, 보노보노컬렉션  글로스 페디_1, 빅스톤 컬렉션  글로스 페디_0, 빅스톤 컬렉션  글로스 페디_1, 빅플레져컬렉션  글로스 페디  터키 스톤 _0, 빅플레져컬렉션  글로스 페디  터키 스톤 _1, 소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_0, 소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_1, 오  캘리포니아 컬렉션  글로스 페디_0, 오  캘리포니아 컬렉션  글로스 페디_1,네일건 케어  핑크 영양제 _0,네일건 케어  핑크 영양제 _1,이레이저_0,이레이저_1,오리지널 엔비_0,오리지널 엔비_1,네일 바이탈_0,네일 바이탈_1,레몬 버터 큐티클 크림_0,레몬 버터 큐티클 크림_1,호호바 오일 네일에센스_0,호호바 오일 네일에센스_1,헬프 마이 핑거 에센스 스파_0,헬프 마이 핑거 에센스 스파_1,네일 강화제_0,네일 강화제_1,모디 에센셜 오일_0,모디 에센셜 오일_1,큐티클 오일_0,큐티클 오일_1,파인 넛 큐티클 오일_0,파인 넛 큐티클 오일_1,네일건 케어  핑크 강화제 _0,네일건 케어  핑크 강화제 _1,모디 하드너_0,모디 하드너_1,아보플렉스 큐티클 오일_0,아보플렉스 큐티클 오일_1,인텐시브 테라피 II_0,인텐시브 테라피 II_1,컬러 앤 네이처 네일 케어 에센스 펜_0,컬러 앤 네이처 네일 케어 에센스 펜_1,레드테라피 데미지 릴리프  매직프레스 전용 _0,레드테라피 데미지 릴리프  매직프레스 전용 _1,네일콘 네일케어_0,네일콘 네일케어_1,민중기 KGF 손톱 영양 앰플_0,민중기 KGF 손톱 영양 앰플_1,쇼킹구해줘네일밤_0,쇼킹구해줘네일밤_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.17647,35.09933,0.0,0.0,19.51219,66.66666,77.77777,77.77777,0.0,0.0,0.0,0.0,85.0,87.03703,100.0,0.0,64.66346,82.11143,0.0,0.0,0.0,0.0,69.01408,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.88235,32.45033,0.0,0.0,46.34146,40.74074,0.0,66.66666,0.0,0.0,0.0,0.0,76.66666,77.77777,0.0,0.0,75.96153,75.65982,0.0,0.0,0.0,0.0,64.78873,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.20529,0.0,0.0,19.51219,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,60.0,94.44444,0.0,0.0,67.0673,77.41935,0.0,0.0,0.0,0.0,60.56338,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,8.04597,17.24137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.88235,21.19205,0.0,0.0,31.70731,40.74074,0.0,0.0,0.0,0.0,0.0,0.0,51.66666,64.81481,0.0,0.0,63.70192,70.38123,0.0,0.0,0.0,0.0,74.64788,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,25.16556,0.0,0.0,12.19512,40.74074,0.0,77.77777,0.0,0.0,0.0,0.0,50.0,70.37037,75.0,0.0,73.55769,70.96774,0.0,0.0,0.0,0.0,40.84507,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54022,16.09195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.94117,24.50331,0.0,0.0,56.09756,55.55555,0.0,55.55555,0.0,0.0,0.0,0.0,70.0,90.74074,62.5,0.0,67.30769,59.82404,0.0,0.0,0.0,0.0,40.84507,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.41176,39.73509,0.0,0.0,36.58536,70.37037,0.0,0.0,0.0,0.0,0.0,0.0,68.33333,77.77777,75.0,0.0,61.77884,55.71847,0.0,0.0,0.0,0.0,30.98591,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34482,16.09195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64705,25.16556,0.0,0.0,34.14634,59.25925,0.0,0.0,0.0,0.0,0.0,0.0,63.33333,59.25925,0.0,87.5,61.77884,85.63049,0.0,0.0,0.0,0.0,46.47887,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,18.3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82352,19.86754,0.0,0.0,75.60975,44.44444,0.0,55.55555,0.0,0.0,0.0,0.0,91.66666,90.74074,0.0,0.0,56.00961,83.57771,0.0,0.0,0.0,0.0,57.74647,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52941,16.55629,0.0,0.0,26.82926,29.62962,0.0,0.0,0.0,0.0,0.0,0.0,48.33333,59.25925,0.0,0.0,63.22115,100.0,0.0,0.0,0.0,0.0,46.47887,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
