,수퍼 파워 네일 리무버_0,수퍼 파워 네일 리무버_1,넌 아세톤 리무버_0,넌 아세톤 리무버_1,스위트 네일 리무버_0,스위트 네일 리무버_1,세라믹 포켓 루즈스킨 리무버_0,세라믹 포켓 루즈스킨 리무버_1,셀프 네일 살롱 리무버  아세톤 프리 _0,셀프 네일 살롱 리무버  아세톤 프리 _1,매직 오프   케어_0,매직 오프   케어_1,엑스퍼트터치 리무버_0,엑스퍼트터치 리무버_1,토니네일 리무버_0,토니네일 리무버_1,퍼펙트 네일 리무버_0,퍼펙트 네일 리무버_1,비타민 네일 리무버_0,비타민 네일 리무버_1,젤램프_0,젤램프_1,루비푸셔_0,루비푸셔_1,네일아트 스틱_0,네일아트 스틱_1,UV gel lamp  sup    _0,UV gel lamp  sup    _1, WAY네일버퍼 오목형 _0, WAY네일버퍼 오목형 _1,우드 파일_0,우드 파일_1,프로 젤램프_0,프로 젤램프_1,세라믹 양면 네일푸셔 파일_0,세라믹 양면 네일푸셔 파일_1,핀셋 무광블랙 _0,핀셋 무광블랙 _1,꾹꾹이_0,꾹꾹이_1,뷰티툴 네일 에모리 보드_0,뷰티툴 네일 에모리 보드_1,UV LED 젤램프_0,UV LED 젤램프_1,하또하또 젤램프_0,하또하또 젤램프_1,네일 푸셔_0,네일 푸셔_1, 단계 사각 버퍼_0, 단계 사각 버퍼_1,네일 컬러 쉐이킹 볼_0,네일 컬러 쉐이킹 볼_1,손톱깎이  소 _0,손톱깎이  소 _1,뷰티 툴 에모리 보드_0,뷰티 툴 에모리 보드_1,이피다 램프_0,이피다 램프_1,셀프 네일 살롱 큐티클 푸셔_0,셀프 네일 살롱 큐티클 푸셔_1,입는 오버나이트_0,입는 오버나이트_1,중형_0,중형_1,후아 내추럴 순면커버 생리대 대형_0,후아 내추럴 순면커버 생리대 대형_1,타임 레볼루션 개똥쑥 약산성 여성청결제_0,타임 레볼루션 개똥쑥 약산성 여성청결제_1,수퍼롱 오버나이트_0,수퍼롱 오버나이트_1,플레이텍스 젠틀 글라이드      수퍼 _0,플레이텍스 젠틀 글라이드      수퍼 _1,후리 앤 후리 티슈_0,후리 앤 후리 티슈_1,후리 앤 후리_0,후리 앤 후리_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19607,42.98531,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,83.5443,35.45454,0.0,0.0,70.0,0.0,37.03703,41.93548,59.18367,38.77551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.48168,57.38068,50.0,71.57894,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,41.66666,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.60962,35.97063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,96.20253,37.27272,0.0,0.0,0.0,0.0,55.55555,29.03225,48.97959,53.06122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.93229,48.83462,56.94444,86.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,58.33333,22.72727
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.05704,52.85481,33.33333,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,93.67088,45.45454,0.0,0.0,0.0,0.0,59.25925,35.48387,50.0,52.04081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24972,79.0233,65.27777,55.78947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.32952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28571,60.71428,0.0,0.0,0.0,0.0,0.0,0.0,100.0,57.27272,0.0,0.0,0.0,0.0,18.51851,0.0,47.95918,61.22448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13873,71.92008,75.0,57.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,50.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.87878,48.12398,0.0,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,64.28571,0.0,0.0,0.0,0.0,0.0,0.0,96.20253,51.81818,0.0,0.0,0.0,0.0,0.0,45.16129,64.28571,55.10204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,74.58379,63.88888,56.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,54.16666,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.36185,61.90864,0.0,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,89.87341,41.81818,0.0,0.0,0.0,0.0,0.0,22.58064,46.93877,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.25638,77.80244,62.5,67.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,31.81818
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.76114,60.76672,33.33333,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,82.14285,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,59.49367,60.90909,0.0,0.0,0.0,0.0,18.51851,25.80645,63.2653,51.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.79578,77.13651,79.16666,73.68421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,31.81818
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61319,67.7814,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71428,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,56.96202,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,56.12244,58.16326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.47946,62.04217,68.05555,71.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,31.81818
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.73975,62.88743,0.0,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,53.57142,53.57142,0.0,0.0,0.0,0.0,0.0,0.0,91.13924,63.63636,0.0,0.0,0.0,0.0,0.0,22.58064,38.77551,38.77551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14761,50.8324,52.77777,67.36842,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,55.55555,58.33333,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15686,50.81566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,39.28571,0.0,0.0,0.0,0.0,0.0,0.0,68.35443,59.0909,0.0,0.0,80.0,0.0,0.0,16.12903,53.06122,55.10204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.70033,67.81354,58.33333,50.52631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,31.81818
