,레이어드 커버 파운데이션 [SPF35/PA++]_0,레이어드 커버 파운데이션 [SPF35/PA++]_1,레이어드 커버 파운데이션 [SPF35/PA++]_2,윙크 파운데이션 팩트 [SPF50+/PA+++]_0,윙크 파운데이션 팩트 [SPF50+/PA+++]_1,윙크 파운데이션 팩트 [SPF50+/PA+++]_2,인텐시브 스킨 세럼 파운데이션 [SPF40/PA+++]_0,인텐시브 스킨 세럼 파운데이션 [SPF40/PA+++]_1,인텐시브 스킨 세럼 파운데이션 [SPF40/PA+++]_2,자생 퍼펙트 쿠션 [SPF50+/PA++++]_0,자생 퍼펙트 쿠션 [SPF50+/PA++++]_1,자생 퍼펙트 쿠션 [SPF50+/PA++++]_2,매트 벨벳 스킨 블러링 파우더 파운데이션_0,매트 벨벳 스킨 블러링 파우더 파운데이션_1,매트 벨벳 스킨 블러링 파우더 파운데이션_2,아우라 워터 글로우 쿠션 [SPF50+/PA+++]_0,아우라 워터 글로우 쿠션 [SPF50+/PA+++]_1,아우라 워터 글로우 쿠션 [SPF50+/PA+++]_2,퓨처리스트 아쿠아 브릴리언스 파운데이션 [SPF20/PA+++]_0,퓨처리스트 아쿠아 브릴리언스 파운데이션 [SPF20/PA+++]_1,퓨처리스트 아쿠아 브릴리언스 파운데이션 [SPF20/PA+++]_2,새틴 핏 레이어 쿠션 [SPF50/PA++++]_0,새틴 핏 레이어 쿠션 [SPF50/PA++++]_1,새틴 핏 레이어 쿠션 [SPF50/PA++++]_2,뗑 이돌 롱라스팅 파운데이션 [SPF38/PA++]_0,뗑 이돌 롱라스팅 파운데이션 [SPF38/PA++]_1,뗑 이돌 롱라스팅 파운데이션 [SPF38/PA++]_2,퍼펙팅 파운데이션 [SPF17/PA+]_0,퍼펙팅 파운데이션 [SPF17/PA+]_1,퍼펙팅 파운데이션 [SPF17/PA+]_2,커버리셔스 파워 핏 파운데이션 [SPF45/PA++]_0,커버리셔스 파워 핏 파운데이션 [SPF45/PA++]_1,커버리셔스 파워 핏 파운데이션 [SPF45/PA++]_2,래디언스 퍼펙트핏 파운데이션 [SPF30/PA++]_0,래디언스 퍼펙트핏 파운데이션 [SPF30/PA++]_1,래디언스 퍼펙트핏 파운데이션 [SPF30/PA++]_2,글로우 래스팅 파운데이션 [SPF25/PA++]_0,글로우 래스팅 파운데이션 [SPF25/PA++]_1,글로우 래스팅 파운데이션 [SPF25/PA++]_2,더블 웨어 스테이 인 플레이스 메이크업 [SPF10/PA++]_0,더블 웨어 스테이 인 플레이스 메이크업 [SPF10/PA++]_1,더블 웨어 스테이 인 플레이스 메이크업 [SPF10/PA++]_2,포에버 스킨 글로우 24H 웨어 스킨-케어링 파운데이션 [SPF35/PA++]_0,포에버 스킨 글로우 24H 웨어 스킨-케어링 파운데이션 [SPF35/PA++]_1,포에버 스킨 글로우 24H 웨어 스킨-케어링 파운데이션 [SPF35/PA++]_2,에센셜 스킨 누더 쿠션 [SPF50/PA++]_0,에센셜 스킨 누더 쿠션 [SPF50/PA++]_1,에센셜 스킨 누더 쿠션 [SPF50/PA++]_2,아쿠아 글로우 쿠션 파운데이션 [SPF23/PA++]_0,아쿠아 글로우 쿠션 파운데이션 [SPF23/PA++]_1,아쿠아 글로우 쿠션 파운데이션 [SPF23/PA++]_2,리부트 파운데이션_0,리부트 파운데이션_1,리부트 파운데이션_2,마이크로 글래시핏 쿠션 [SPF50+/PA++++]_0,마이크로 글래시핏 쿠션 [SPF50+/PA++++]_1,마이크로 글래시핏 쿠션 [SPF50+/PA++++]_2,더 퍼스트 파운데이션 [SPF20/PA++]_0,더 퍼스트 파운데이션 [SPF20/PA++]_1,더 퍼스트 파운데이션 [SPF20/PA++]_2,울트라 HD 프레스드 파우더_0,울트라 HD 프레스드 파우더_1,울트라 HD 프레스드 파우더_2,울트라 HD 파우더_0,울트라 HD 파우더_1,울트라 HD 파우더_2,코튼 베일 파우더_0,코튼 베일 파우더_1,코튼 베일 파우더_2,라이트 리플렉팅 루스 세팅 파우더_0,라이트 리플렉팅 루스 세팅 파우더_1,라이트 리플렉팅 루스 세팅 파우더_2,포어 블러 파우더_0,포어 블러 파우더_1,포어 블러 파우더_2,루스 세팅 파우더_0,루스 세팅 파우더_1,루스 세팅 파우더_2,프라임 프라이머 피니시 파우더_0,프라임 프라이머 피니시 파우더_1,프라임 프라이머 피니시 파우더_2,피치뽀송 멀티 피니시 파우더_0,피치뽀송 멀티 피니시 파우더_1,피치뽀송 멀티 피니시 파우더_2,노세범 미네랄 파우더_0,노세범 미네랄 파우더_1,노세범 미네랄 파우더_2,미네랄 피니싱 파우더_0,미네랄 피니싱 파우더_1,미네랄 피니싱 파우더_2,시크릿 뷰티 파우더_0,시크릿 뷰티 파우더_1,시크릿 뷰티 파우더_2,미네랄 100 HD 파우더_0,미네랄 100 HD 파우더_1,미네랄 100 HD 파우더_2,샘물 퍼펙트 포어 팩트_0,샘물 퍼펙트 포어 팩트_1,샘물 퍼펙트 포어 팩트_2,닥터트럽 피지제로 센텔라파우더_0,닥터트럽 피지제로 센텔라파우더_1,닥터트럽 피지제로 센텔라파우더_2,프리즘 리브르_0,프리즘 리브르_1,프리즘 리브르_2,미네랄 파우더 [SPF15]_0,미네랄 파우더 [SPF15]_1,미네랄 파우더 [SPF15]_2,퍼펙트 오일 컨트롤 프레스드 파우더_0,퍼펙트 오일 컨트롤 프레스드 파우더_1,퍼펙트 오일 컨트롤 프레스드 파우더_2,프레스트 포어 커버_0,프레스트 포어 커버_1,프레스트 포어 커버_2,세범 컷 파우더 팩트_0,세범 컷 파우더 팩트_1,세범 컷 파우더 팩트_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.50197,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92307,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.52569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,60.0,50.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.52569,0.0,0.0,0.0,11.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87747,0.0,0.0,0.0,9.25925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.43243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.99209,0.0,0.0,0.0,96.29629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90909,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51351,9.94152,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,100.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.03952,0.0,0.0,0.0,100.0,0.0,0.0,26.31578,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81027,14.70588,0.0,0.0,74.07407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6245,14.70588,66.66666,83.33333,55.55555,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21621,5.84795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,24.50592,0.0,100.0,0.0,53.7037,0.0,0.0,36.8421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.83783,22.80701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.01976,17.64705,0.0,0.0,31.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
