,케어플러스 상처커버 스팟패치_0,케어플러스 상처커버 스팟패치_1,이지덤 뷰티_0,이지덤 뷰티_1,프레쉬덤 안티 블레미쉬 패치_0,프레쉬덤 안티 블레미쉬 패치_1,하이드로 도트_0,하이드로 도트_1,블레미쉬 패치 케어_0,블레미쉬 패치 케어_1,케어플러스 잘라쓰는 사각패치_0,케어플러스 잘라쓰는 사각패치_1,스팟 케어 패치 키트_0,스팟 케어 패치 키트_1,위드덤 스킨커버 프렌드 실속형_0,위드덤 스킨커버 프렌드 실속형_1,닥터트럽 트러블 클리어 패치_0,닥터트럽 트러블 클리어 패치_1,에이씨 컬렉션 아크네 패치_0,에이씨 컬렉션 아크네 패치_1,하이맘 밴드_0,하이맘 밴드_1,트러블 큐어_0,트러블 큐어_1,아크네 핌플 마스터 패치_0,아크네 핌플 마스터 패치_1,티트리 솔루션 스팟 클리어 패치_0,티트리 솔루션 스팟 클리어 패치_1,이지케어 스팟패치_0,이지케어 스팟패치_1,스피디 솔루션  안티 트러블 패치 _0,스피디 솔루션  안티 트러블 패치 _1,원더패치_0,원더패치_1,클래리파잉 스팟 패치 키트_0,클래리파잉 스팟 패치 키트_1,매디큐어 하이드 밴드_0,매디큐어 하이드 밴드_1,스팟 패치_0,스팟 패치_1,지압자극 쿨링시트_0,지압자극 쿨링시트_1,휴족휴면_0,휴족휴면_1,쿨링시트_0,쿨링시트_1,수액시트_0,수액시트_1,종아리 알패치_0,종아리 알패치_1,스팀 아이마스크_0,스팀 아이마스크_1,더마 릴렉스 힐링 패치_0,더마 릴렉스 힐링 패치_1,컴포트 레스트 아이워머_0,컴포트 레스트 아이워머_1,데일리 아이마스크_0,데일리 아이마스크_1,아이워머_0,아이워머_1,꿀잠안대_0,꿀잠안대_1,휴식시간_0,휴식시간_1,베어 스팀 아이마스크_0,베어 스팀 아이마스크_1,수면 온열안대_0,수면 온열안대_1,쿨링풋_0,쿨링풋_1,호박 종아리패치_0,호박 종아리패치_1,히팅 아이 마스크_0,히팅 아이 마스크_1,데이리어 링거 오리발 팩_0,데이리어 링거 오리발 팩_1,스팀 아이 마스크_0,스팀 아이 마스크_1,아이온팩_0,아이온팩_1
0,53.33333,0.0,0.61812,18.12921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11544,6.36604,100.0,8.10185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,69.53642,0.0,0.0,0.0,0.0,76.31578,62.94117,0.0,0.0,34.79999,40.4,10.67264,100.0,46.80851,75.55555,0.0,0.0,52.83018,50.87719,52.1197,73.94366,0.0,0.0,43.13725,0.0,22.58064,21.875,68.75,0.0,92.52336,62.58064,0.0,16.66666,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.83018,50.87719,18.75,100.0
1,40.0,0.0,2.62148,15.04339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43633,9.44297,80.0,9.02777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.36754,0.0,0.0,0.0,0.0,60.52631,61.17647,0.0,0.0,35.2,77.2,12.73542,80.95238,44.68085,31.11111,0.0,0.0,32.07547,71.92982,48.12967,97.18309,0.0,0.0,39.21568,0.0,20.0,26.5625,0.0,0.0,79.43925,56.77419,0.0,16.66666,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.07547,71.92982,56.25,43.33333
2,0.0,0.0,2.21891,11.57184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47028,7.21485,86.66666,10.41666,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,78.06291,0.0,0.0,0.0,0.0,78.07017,59.41176,0.0,0.0,31.2,63.2,12.28699,73.94957,74.46808,31.11111,0.0,0.0,47.16981,52.63157,52.61845,88.73239,0.0,0.0,46.07843,0.0,29.67741,20.3125,29.16666,0.0,53.27102,64.51612,0.0,14.28571,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.16981,52.63157,68.75,43.33333
3,46.66666,0.0,1.32183,8.48601,0.0,0.0,55.55555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96095,6.89655,40.0,8.10185,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,35.71428,64.81788,0.0,0.0,0.0,0.0,99.1228,71.17647,0.0,0.0,29.2,53.6,13.90134,91.03641,70.21276,44.44444,0.0,0.0,30.18867,44.73684,67.33167,73.59154,0.0,0.0,26.96078,0.0,20.0,15.625,14.58333,14.70588,56.07476,100.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.18867,44.73684,81.25,40.0
4,100.0,0.0,0.97949,9.0646,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.19694,8.22281,0.0,6.25,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.67218,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,40.4,55.2,23.31838,76.47058,87.23404,35.55555,0.0,0.0,41.50943,62.2807,67.58104,66.9014,0.0,0.0,14.21568,0.0,27.09677,15.625,22.91666,0.0,100.0,83.2258,0.0,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.50943,62.2807,31.25,46.66666
5,0.0,0.0,0.82733,6.26808,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88455,8.16976,0.0,4.86111,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48675,0.0,0.0,0.0,0.0,73.68421,91.7647,0.0,0.0,77.2,48.8,24.30493,75.07002,63.82978,20.0,0.0,0.0,54.71698,72.80701,74.56359,67.95774,0.0,0.0,24.0196,0.0,24.51612,34.375,0.0,0.0,62.61682,69.03225,0.0,14.28571,0.0,39.13043,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,54.71698,72.80701,25.0,63.33333
6,0.0,0.0,0.79563,12.82545,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94567,6.31299,0.0,7.63888,0.0,12.76595,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,80.7947,0.0,0.0,0.0,0.0,69.29824,55.88235,0.0,0.0,63.2,50.0,31.65919,68.90756,100.0,37.77777,55.55555,0.0,39.62264,62.2807,80.54862,81.33802,0.0,0.0,23.52941,0.0,10.96774,20.3125,0.0,14.70588,71.02803,65.80645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62264,62.2807,31.25,86.66666
7,60.0,0.0,0.83684,35.58341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47028,6.25994,40.0,8.10185,0.0,14.89361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75496,0.0,0.0,0.0,0.0,55.26315,58.23529,0.0,0.0,53.6,62.0,37.84753,66.94677,42.55319,37.77777,0.0,0.0,26.41509,64.91228,73.56608,80.98591,0.0,0.0,26.47058,100.0,18.70967,7.8125,0.0,0.0,71.96261,76.12903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41509,64.91228,15.625,65.0
8,46.66666,0.0,0.99851,58.91996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31918,8.22281,0.0,6.48148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,85.01655,0.0,0.0,0.0,0.0,62.2807,58.82352,0.0,0.0,55.2,50.0,29.50672,40.89635,53.19148,20.0,100.0,0.0,32.07547,65.78947,99.50124,89.0845,0.0,0.0,33.33333,100.0,23.87096,9.375,29.16666,0.0,68.22429,47.09677,0.0,0.0,50.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.07547,65.78947,37.5,100.0
9,0.0,0.0,0.989,49.85535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35314,8.22281,73.33333,8.79629,0.0,21.27659,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,82.86423,0.0,0.0,0.0,0.0,78.07017,78.82352,0.0,0.0,48.8,49.6,31.21076,37.2549,74.46808,53.33333,88.88888,0.0,24.5283,95.61403,95.01246,100.0,0.0,0.0,34.31372,0.0,21.29032,25.0,33.33333,0.0,33.64485,60.64516,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,24.5283,95.61403,0.0,66.66666
