,오랄린스 아이시 민트_0,오랄린스 아이시 민트_1,오랄린스 아이시 민트_2,치약 플러스_0,치약 플러스_1,치약 플러스_2,  cm 스프레이_0,  cm 스프레이_1,  cm 스프레이_2,치약_0,치약_1,치약_2,덴탈튜브 라임만다린 치약_0,덴탈튜브 라임만다린 치약_1,덴탈튜브 라임만다린 치약_2,덴탈튜브 패츌리머스크 치약_0,덴탈튜브 패츌리머스크 치약_1,덴탈튜브 패츌리머스크 치약_2,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _0,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _1,히말라야 핑크솔트 담은치약  아이스 카밍 민트 _2,칸디데 치약_0,칸디데 치약_1,칸디데 치약_2,동의청은차고은진 치약_0,동의청은차고은진 치약_1,칫솔_0,칫솔_1,칫솔_2,스페니쉬 리얼그레이_0,스페니쉬 리얼그레이_1,스페니쉬 리얼그레이_2,스페니쉬 리얼올리브_0,스페니쉬 리얼올리브_1,스페니쉬 리얼올리브_2,시크리스  콘 내츄럴 그레이_0,시크리스  콘 내츄럴 그레이_1,시크리스  콘 내츄럴 그레이_2,시크리스  콘 코랄 그레이_0,시크리스  콘 코랄 그레이_1,시크리스  콘 코랄 그레이_2,크리스탈  콘 그레이_0,크리스탈  콘 그레이_1,크리스탈  콘 그레이_2,시크리스  콘 내츄럴 브라운_0,시크리스  콘 내츄럴 브라운_1,시크리스  콘 내츄럴 브라운_2,안나수이 돌리걸 틴트 브라운_0,안나수이 돌리걸 틴트 브라운_1,안나수이 돌리걸 틴트 브라운_2,스페니쉬 써클그레이_0,스페니쉬 써클그레이_1,스페니쉬 써클그레이_2,츄잉  콘 그레이_0,츄잉  콘 그레이_1,츄잉  콘 그레이_2,아이스 골드_0,아이스 골드_1,아이스 골드_2,샤이닝퓨어 초코_0,샤이닝퓨어 초코_1,샤이닝퓨어 초코_2,라벤더 골드_0,라벤더 골드_1,라벤더 골드_2,미스티 내츄럴초코_0,미스티 내츄럴초코_1,미스티 내츄럴초코_2,스페니쉬 써클브라운_0,스페니쉬 써클브라운_1,스페니쉬 써클브라운_2,비비링 브라운_0,비비링 브라운_1,비비링 브라운_2,오션골드_0,오션골드_1,오션골드_2,아이블랑 틴트 그레이_0,아이블랑 틴트 그레이_1,아이블랑 틴트 그레이_2,워터앰플 쵸코_0,워터앰플 쵸코_1,워터앰플 쵸코_2,썸데이 그레이_0,썸데이 그레이_1,썸데이 그레이_2,카리브  콘 그레이_0,카리브  콘 그레이_1,카리브  콘 그레이_2,데일리스 토탈원 워터렌즈_0,데일리스 토탈원 워터렌즈_1,데일리스 토탈원 워터렌즈_2,바이오피니티_0,바이오피니티_1,바이오피니티_2,클래리티 원데이_0,클래리티 원데이_1,클래리티 원데이_2,오아시스 난시용_0,오아시스 난시용_1,오아시스 난시용_2,에어옵틱스 나이트 앤 데이 아쿠아_0,에어옵틱스 나이트 앤 데이 아쿠아_1,에어옵틱스 나이트 앤 데이 아쿠아_2,오아시스 원데이 난시용_0,오아시스 원데이 난시용_1,오아시스 원데이 난시용_2,원데이 모이스트_0,원데이 모이스트_1,원데이 모이스트_2,비타_0,비타_1,비타_2,오아시스_0,오아시스_1,오아시스_2,원데이 모이스트 난시용_0,원데이 모이스트 난시용_1,원데이 모이스트 난시용_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.48877,70.74253,59.5868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4965,59.99055,69.38653,0.0,100.0,9.42408,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8372,26.02739,0.0,58.33333,0.0,28.86597,0.0,0.0,0.0,35.55555,64.44444,36.46408,0.0,62.5,0.0,0.0,0.0,31.81818,34.0909,0.0,0.0,31.25,6.18556,0.0,58.82352,43.28358,100.0,0.0,56.75675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.95238,57.14285,23.80952,0.0,0.0,0.0,0.0,72.22222,0.0,66.77419,74.05063,29.60893,18.47826,63.01369,79.01234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.59668,84.7826,90.81632,33.98831,42.28214,96.0895,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.65604,83.5351,53.96882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.98601,61.40765,66.34901,0.0,51.72413,4.71204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4186,35.61643,61.53846,58.33333,0.0,22.68041,0.0,0.0,0.0,42.22222,64.44444,30.38674,100.0,0.0,0.0,50.0,60.0,59.0909,28.78787,0.0,0.0,37.5,0.0,0.0,61.7647,65.67164,79.41176,0.0,70.27027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,59.74025,35.71428,0.0,0.0,0.0,0.0,77.77777,16.66666,56.12903,54.43037,29.60893,41.30434,84.9315,49.38271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61878,73.91304,84.69387,31.12055,43.88432,65.91353,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.22013,78.97497,70.35157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45454,51.01558,53.54377,26.31578,58.62068,14.13612,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44186,26.48401,46.15384,75.0,0.0,30.92783,0.0,0.0,0.0,66.66666,44.44444,38.12154,0.0,62.5,0.0,90.0,60.0,61.36363,46.21212,0.0,0.0,31.25,5.15463,0.0,86.7647,49.25373,67.64705,0.0,100.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,30.95238,62.33766,35.71428,0.0,0.0,0.0,0.0,44.44444,33.33333,56.45161,54.43037,21.22905,35.86956,75.34246,85.18518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.61878,86.95652,84.69387,62.53319,43.25908,87.13882,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56915,77.28006,84.59586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.64335,43.59943,53.78201,34.21052,51.72413,8.90052,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11627,35.15981,19.23076,0.0,0.0,40.20618,0.0,0.0,0.0,82.22222,68.88888,32.59668,0.0,87.5,0.0,0.0,0.0,53.40909,37.12121,0.0,0.0,0.0,5.15463,0.0,73.52941,67.16417,67.64705,0.0,40.54054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,53.24675,30.95238,0.0,0.0,0.0,0.0,61.11111,22.22222,50.96774,57.59493,35.75418,20.65217,58.9041,76.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.17127,76.08695,74.48979,41.95432,53.73192,99.23962,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.64808,73.44632,81.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.68531,58.19555,48.12388,23.68421,55.17241,10.99476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.39534,43.37899,30.76923,41.66666,0.0,40.20618,0.0,0.0,0.0,57.77777,53.33333,35.35911,100.0,75.0,0.0,90.0,80.0,55.68181,28.78787,0.0,0.0,0.0,0.0,88.88888,42.64705,35.82089,73.52941,0.0,54.05405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,64.93506,38.09523,0.0,0.0,0.0,0.0,66.66666,27.77777,58.06451,65.18987,22.90502,21.73913,69.86301,50.61728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67403,69.56521,91.83673,36.6171,49.58968,89.39821,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.27299,61.25907,76.51322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.11188,59.23476,49.43418,21.05263,55.17241,8.37696,46.15384,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13953,29.22374,38.46153,41.66666,0.0,68.04123,0.0,0.0,0.0,44.44444,66.66666,100.0,0.0,100.0,0.0,50.0,0.0,40.90909,21.21212,0.0,50.0,31.25,0.0,0.0,72.05882,56.71641,54.41176,0.0,86.48648,100.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23809,51.94805,11.90476,0.0,0.0,0.0,0.0,77.77777,16.66666,84.51612,65.82278,22.34636,27.17391,64.38356,76.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.83425,67.3913,76.53061,31.62506,49.39429,95.02498,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.62128,52.58272,69.11924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.45454,55.21965,43.24002,0.0,41.37931,5.75916,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16279,48.40182,30.76923,0.0,0.0,46.39175,0.0,0.0,0.0,73.33333,51.11111,89.50276,0.0,0.0,0.0,0.0,0.0,50.0,21.96969,0.0,0.0,37.5,0.0,0.0,57.35294,58.20895,66.17647,0.0,51.35135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,74.02597,30.95238,0.0,0.0,0.0,0.0,88.88888,19.44444,68.38709,52.53164,22.90502,28.26086,65.75342,56.79012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.88397,83.69565,100.0,28.91662,73.58343,74.51661,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.37146,61.98547,64.55237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.97202,50.82664,47.70696,15.78947,55.17241,6.28272,46.15384,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.69767,40.63926,23.07692,0.0,0.0,29.8969,0.0,0.0,0.0,64.44444,40.0,60.77348,0.0,0.0,71.42857,0.0,50.0,53.40909,27.27272,0.0,90.0,37.5,0.0,0.0,54.41176,49.25373,67.64705,0.0,75.67567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,53.24675,40.47619,0.0,0.0,0.0,0.0,72.22222,47.22222,61.6129,44.30379,29.05027,21.73913,78.08219,60.49382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.33149,71.73913,58.16326,29.60701,52.55959,61.22094,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.71976,80.71025,52.77274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40559,64.80869,75.46158,0.0,55.17241,3.14136,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11627,29.68036,30.76923,0.0,0.0,36.08247,0.0,0.0,0.0,40.0,82.22222,39.22651,0.0,75.0,0.0,0.0,0.0,47.72727,28.78787,0.0,0.0,31.25,0.0,0.0,48.52941,47.76119,42.64705,0.0,70.27027,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,83.11688,57.14285,0.0,0.0,0.0,0.0,33.33333,25.0,70.64516,56.32911,18.43575,33.69565,83.56164,69.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.19889,89.13043,66.32653,28.49176,45.09574,77.10189,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.65097,69.45117,64.47988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.72027,53.56636,91.89994,0.0,51.72413,5.2356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2093,24.65753,34.61538,75.0,0.0,42.26804,0.0,0.0,0.0,64.44444,60.0,58.01104,0.0,0.0,0.0,60.0,50.0,63.63636,15.90909,0.0,0.0,0.0,0.0,0.0,75.0,37.31343,64.70588,0.0,83.78378,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,61.03896,61.90476,0.0,0.0,0.0,0.0,27.77777,36.11111,74.51612,57.59493,34.63687,33.69565,71.23287,79.01234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.30386,94.56521,79.59183,28.67764,41.34427,77.57983,0.0,0.0,0.0
