,에이오셉 플러스_0,에이오셉 플러스_1,에이오셉 플러스_2,옵티프리 익스프레스_0,옵티프리 익스프레스_1,옵티프리 익스프레스_2,옵티프리 리플레니시_0,옵티프리 리플레니시_1,옵티프리 리플레니시_2,옵티프리 퓨어모이스트_0,옵티프리 퓨어모이스트_1,옵티프리 퓨어모이스트_2,바이오트루 다목적 렌즈관리용액_0,바이오트루 다목적 렌즈관리용액_1,바이오트루 다목적 렌즈관리용액_2,드롭드림아이 _0,드롭드림아이 _1,드롭드림아이 _2,보스톤 세척액 어드밴스 클리너_0,보스톤 세척액 어드밴스 클리너_1,보스톤 세척액 어드밴스 클리너_2,오퓨러스 습윤액_0,오퓨러스 습윤액_1,오퓨러스 습윤액_2,휴먼바이오 세척 식염수_0,휴먼바이오 세척 식염수_1,휴먼바이오 세척 식염수_2,프리미엄 퓨어클 습윤액_0,프리미엄 퓨어클 습윤액_1,프리미엄 퓨어클 습윤액_2,드림아이 소프트렌즈 용액_0,드림아이 소프트렌즈 용액_1,드림아이 소프트렌즈 용액_2,컴플릿 멀티 퍼포스 솔루션_0,컴플릿 멀티 퍼포스 솔루션_1,컴플릿 멀티 퍼포스 솔루션_2,더 뷰 소프트 콘택트 렌즈 전용 용액_0,더 뷰 소프트 콘택트 렌즈 전용 용액_1,더 뷰 소프트 콘택트 렌즈 전용 용액_2,보스톤 심플러스_0,보스톤 심플러스_1,보스톤 심플러스_2,프렌즈 프로 B  sol _0,프렌즈 프로 B  sol _1,프렌즈 프로 B  sol _2,프로젠트_0,프로젠트_1,프로젠트_2,클리어 케어_0,클리어 케어_1,클리어 케어_2,메니케어 플러스_0,메니케어 플러스_1,메니케어 플러스_2,메디렌즈 멀티액_0,메디렌즈 멀티액_1,메디렌즈 멀티액_2,프렌즈 드롭_0,프렌즈 드롭_1,프렌즈 드롭_2,블루 드 샤넬 오 드 빠르펭_0,블루 드 샤넬 오 드 빠르펭_1,블루 드 샤넬 오 드 빠르펭_2,어메이징 그레이스 발레 로즈 프레그런스 EDT_0,어메이징 그레이스 발레 로즈 프레그런스 EDT_1,어메이징 그레이스 발레 로즈 프레그런스 EDT_2,오 로즈 오 드 뚜왈렛_0,오 로즈 오 드 뚜왈렛_1,오 로즈 오 드 뚜왈렛_2,끌로에 오 드 퍼퓸_0,끌로에 오 드 퍼퓸_1,끌로에 오 드 퍼퓸_2,로즈 드 끌로에 우먼 오드뚜왈렛_0,로즈 드 끌로에 우먼 오드뚜왈렛_1,로즈 드 끌로에 우먼 오드뚜왈렛_2,라이트 에센스 오 드 뚜왈렛_0,라이트 에센스 오 드 뚜왈렛_1,라이트 에센스 오 드 뚜왈렛_2,모던 프린세스 오 드 퍼퓸_0,모던 프린세스 오 드 퍼퓸_1,모던 프린세스 오 드 퍼퓸_2,럭키위시_0,럭키위시_1,럭키위시_2,미스 디올 블루밍 부케 오 드 뚜왈렛_0,미스 디올 블루밍 부케 오 드 뚜왈렛_1,미스 디올 블루밍 부케 오 드 뚜왈렛_2,알뤼르 옴므 스포츠 오 드 뚜왈렛 스프레이_0,알뤼르 옴므 스포츠 오 드 뚜왈렛 스프레이_1,알뤼르 옴므 스포츠 오 드 뚜왈렛 스프레이_2,플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛_0,플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛_1,플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛_2,뿌르 옴므 익스트림 오드뚜왈렛_0,뿌르 옴므 익스트림 오드뚜왈렛_1,뿌르 옴므 익스트림 오드뚜왈렛_2,오 프레쉬 맨 오드뚜왈렛_0,오 프레쉬 맨 오드뚜왈렛_1,오 프레쉬 맨 오드뚜왈렛_2,위크엔드 오드트왈렛_0,위크엔드 오드트왈렛_1,위크엔드 오드트왈렛_2,플로라 바이 구찌 글로리어스 만다린 우먼 오드뚜왈렛_0,플로라 바이 구찌 글로리어스 만다린 우먼 오드뚜왈렛_1,플로라 바이 구찌 글로리어스 만다린 우먼 오드뚜왈렛_2,라 튤립 오 드 퍼퓸_0,라 튤립 오 드 퍼퓸_1,라 튤립 오 드 퍼퓸_2,샹스 오 땅드르 오 드 뚜왈렛 스프레이_0,샹스 오 땅드르 오 드 뚜왈렛 스프레이_1,샹스 오 땅드르 오 드 뚜왈렛 스프레이_2,로빠 겐조 뿌르 옴므 오드뚜왈렛_0,로빠 겐조 뿌르 옴므 오드뚜왈렛_1,로빠 겐조 뿌르 옴므 오드뚜왈렛_2,가브리엘 샤넬 오 드 빠르펭_0,가브리엘 샤넬 오 드 빠르펭_1,가브리엘 샤넬 오 드 빠르펭_2,플라워 인 디 에어 오 드 퍼퓸_0,플라워 인 디 에어 오 드 퍼퓸_1,플라워 인 디 에어 오 드 퍼퓸_2
0,5.13133,72.09302,72.09302,50.54347,52.17391,80.18867,58.33333,62.74509,97.7528,41.73228,74.64788,63.81578,0.0,0.0,0.0,86.11111,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,45.11278,50.33557,72.48322,0.0,0.0,0.0,80.0,0.0,0.0,1.24826,41.66666,0.0,37.5,62.5,81.81818,0.0,0.0,0.0,81.94444,54.65116,14.94845,33.33333,50.0,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,58.88157,42.9022,84.7619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.17647,38.37209,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.76481,68.60465,72.09302,60.86956,52.89855,100.0,96.66666,62.74509,51.68539,44.88188,84.50704,51.31578,0.0,0.0,0.0,50.0,77.19298,17.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.93984,63.75838,48.32214,0.0,0.0,0.0,0.0,0.0,0.0,0.48543,0.0,0.0,37.5,68.75,45.45454,0.0,0.0,0.0,70.83333,73.25581,19.07216,36.66666,45.45454,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,58.22368,39.43217,83.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52941,50.0,97.29729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2,46.91508,53.48837,68.60465,60.32608,32.60869,76.41509,100.0,52.94117,48.3146,53.937,66.19718,51.31578,0.0,0.0,0.0,69.44444,78.94736,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.19548,88.5906,43.62416,0.0,0.0,0.0,0.0,0.0,0.0,1.31761,0.0,41.66666,0.0,37.5,0.0,0.0,0.0,0.0,80.55555,81.39534,31.95876,90.0,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.78947,51.1041,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,13.04347,0.0,39.70588,33.72093,86.48648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,46.48747,89.53488,53.48837,49.45652,44.20289,73.5849,88.33333,61.7647,53.93258,50.7874,68.30985,63.15789,0.0,0.0,0.0,72.22222,59.64912,32.60869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.43609,87.91946,53.02013,0.0,0.0,0.0,40.0,85.71428,0.0,0.83217,41.66666,0.0,37.5,50.0,45.45454,0.0,0.0,0.0,75.0,62.79069,31.95876,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.82894,32.49211,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,52.94117,58.13953,70.27027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.12461,86.04651,89.53488,44.56521,75.36231,41.50943,42.5,50.98039,84.26966,34.25196,71.12676,83.55263,0.0,0.0,0.0,52.77777,35.08771,41.30434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.45112,89.26174,91.27516,0.0,0.0,0.0,0.0,0.0,0.0,1.10957,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,84.72222,75.58139,24.74226,46.66666,22.72727,20.0,0.0,0.0,0.0,0.0,0.0,0.0,64.80263,51.41955,79.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46153,0.0,100.0,50.0,36.04651,85.13513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.49114,100.0,86.04651,34.23913,57.97101,68.86792,41.66666,51.96078,66.29213,34.64566,67.60563,80.92105,0.0,0.0,0.0,36.11111,49.1228,47.82608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842,72.48322,79.19463,0.0,0.0,0.0,0.0,0.0,0.0,0.41608,41.66666,0.0,37.5,0.0,0.0,0.0,0.0,0.0,55.55555,61.6279,23.71134,83.33333,22.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.61842,38.4858,99.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.84615,0.0,0.0,72.05882,62.79069,66.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.45265,94.18604,100.0,34.7826,42.02898,57.54716,50.0,47.05882,56.17977,43.30708,73.23943,77.63157,0.0,0.0,0.0,58.33333,49.1228,63.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0827,48.32214,55.03355,0.0,0.0,0.0,100.0,0.0,0.0,0.90152,0.0,0.0,0.0,31.25,0.0,71.42857,0.0,0.0,47.22222,34.88372,21.13402,63.33333,68.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.32894,43.84858,87.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,0.0,0.0,60.29411,48.8372,64.86486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.19242,43.02325,94.18604,44.56521,76.08695,67.92452,75.0,64.70588,56.17977,58.66141,76.05633,73.68421,0.0,0.0,0.0,50.0,50.87719,45.65217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1203,43.62416,56.37583,0.0,0.0,0.0,0.0,100.0,0.0,0.41608,0.0,0.0,0.0,56.25,72.72727,0.0,0.0,0.0,50.0,53.48837,15.97938,20.0,68.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.28947,31.23028,83.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,36.7647,46.51162,63.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.33048,63.95348,43.02325,57.60869,47.82608,84.90566,68.33333,55.88235,50.56179,53.5433,58.4507,67.10526,0.0,0.0,0.0,55.55555,94.73684,39.13043,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92481,53.02013,39.59731,0.0,0.0,0.0,53.33333,0.0,0.0,0.62413,0.0,0.0,43.75,0.0,45.45454,0.0,0.0,0.0,52.77777,73.25581,25.77319,40.0,59.0909,42.85714,0.0,0.0,0.0,0.0,100.0,0.0,59.86842,39.11671,97.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769,10.86956,0.0,29.41176,54.65116,56.75675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.19242,62.79069,63.95348,51.08695,46.37681,78.30188,66.66666,62.74509,35.95505,62.20472,61.97183,64.47368,0.0,0.0,0.0,36.11111,42.10526,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89473,91.27516,42.28187,0.0,0.0,0.0,0.0,35.71428,71.42857,0.62413,0.0,0.0,0.0,43.75,45.45454,0.0,0.0,0.0,66.66666,61.6279,25.25773,63.33333,31.81818,17.14285,0.0,0.0,0.0,0.0,0.0,0.0,54.93421,47.94952,84.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,0.0,0.0,47.05882,51.16279,68.91891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0
