,라벤더_0,라벤더_1,라벤더_2,퍼퓸드 디퓨저        작약_0,퍼퓸드 디퓨저        작약_1,퍼퓸드 디퓨저        작약_2,꽃담초 섬유탈취제   연꽃_0,꽃담초 섬유탈취제   연꽃_1,꽃담초 섬유탈취제   연꽃_2,섬유향수 로제_0,섬유향수 로제_1,섬유향수 로제_2,비치워크_0,비치워크_1,비치워크_2,섬유향수 그레이프향_0,섬유향수 그레이프향_1,섬유향수 그레이프향_2,미드나잇 쟈스민_0,미드나잇 쟈스민_1,미드나잇 쟈스민_2,잉글리쉬 페어 앤 프리지아 디퓨저_0,잉글리쉬 페어 앤 프리지아 디퓨저_1,잉글리쉬 페어 앤 프리지아 디퓨저_2,퍼퓸드 디퓨저        삼나무_0,퍼퓸드 디퓨저        삼나무_1,퍼퓸드 디퓨저        삼나무_2,퍼퓸드 디퓨저        한란_0,퍼퓸드 디퓨저        한란_1,퍼퓸드 디퓨저        한란_2,루나 미니  _0,루나 미니  _1,루나 미니  _2,미아 _0,미아 _1,미아 _2,클렌징 인핸서_0,클렌징 인핸서_1,럭스 캐시미어 페이셜 브러쉬_0,럭스 캐시미어 페이셜 브러쉬_1,럭스 캐시미어 페이셜 브러쉬_2,스마트 프로파일_0,스마트 프로파일_1,스마트 프로파일_2,더마 LED 마스크 BWJ _0,더마 LED 마스크 BWJ _1,더마 LED 마스크 BWJ _2,피부관리기_0,피부관리기_1,피부관리기_2,에이지락 루미스파_0,에이지락 루미스파_1,에이지락 루미스파_2,딥 포어 브러시 헤드_0,딥 포어 브러시 헤드_1,딥 포어 브러시 헤드_2,갈바닉 미세진동 마사지기_0,갈바닉 미세진동 마사지기_1,갈바닉 미세진동 마사지기_2,갈바닉 이온 부스터_0,갈바닉 이온 부스터_1,갈바닉 이온 부스터_2,루메아 에센셜 IPL 제모기_0,루메아 에센셜 IPL 제모기_1,루메아 에센셜 IPL 제모기_2,울트라 리프팅 트리니티_0,울트라 리프팅 트리니티_1,울트라 리프팅 트리니티_2,화산석 미세모 회전 클렌징기_0,화산석 미세모 회전 클렌징기_1,화산석 미세모 회전 클렌징기_2,브라이트 소닉 브러시 헤드_0,브라이트 소닉 브러시 헤드_1,아리아_0,아리아_1,아리아_2,플래시앤고 프리덤_0,플래시앤고 프리덤_1,플래시앤고 프리덤_2,초음파 클렌저_0,초음파 클렌저_1,초음파 클렌저_2,커버앤클린핏_0,커버앤클린핏_1,커버앤클린핏_2,에그디바이스 _0,에그디바이스 _1,에그디바이스 _2,플랫형 GP   _0,플랫형 GP   _1,플랫형 GP   _2,헤어 드라이어 HP     _0,헤어 드라이어 HP     _1,헤어 드라이어 HP     _2,슈퍼소닉 헤어 드라이어_0,슈퍼소닉 헤어 드라이어_1,슈퍼소닉 헤어 드라이어_2, M    A  전문가용 헤어드라이어_0, M    A  전문가용 헤어드라이어_1, M    A  전문가용 헤어드라이어_2,글램웨이브 봉고데기   mm_0,글램웨이브 봉고데기   mm_1,글램웨이브 봉고데기   mm_2,MA   A  토네이도 드라이기 _0,MA   A  토네이도 드라이기 _1,MA   A  토네이도 드라이기 _2,드라이기 리스펙트 무빙에어 HV    KO_0,드라이기 리스펙트 무빙에어 HV    KO_1,드라이기 리스펙트 무빙에어 HV    KO_2,소프트바 판고데기_0,소프트바 판고데기_1,소프트바 판고데기_2,미니고데기_0,미니고데기_1,미니고데기_2
0,75.02742,60.77278,44.68007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.88888,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,15.30612,57.4468,31.04726,84.38177,41.69096,57.57575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75103,45.64315,49.39759,31.57894,11.3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.16129,25.26315,63.97058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8387,78.88762,48.74815,0.0,0.0,30.2583,18.90547,70.68062,60.9075,0.0,0.0,0.0,24.91648,100.0,49.46236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.60115,65.51339,66.03951
1,85.30164,52.03695,43.80255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47058,50.0,47.82608,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30612,20.40816,34.04255,38.83225,75.9219,48.97959,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.41078,46.05809,60.24096,36.8421,9.49367,35.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51612,24.21052,57.35294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,58.67315,75.14188,47.79086,0.0,0.0,32.47232,21.39303,60.9075,75.74171,0.0,0.0,21.73913,17.84521,37.64072,48.50657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.10982,66.40625,63.5936
2,79.85374,48.59302,44.75319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.40816,17.34693,36.87943,31.04726,92.4078,44.02332,45.45454,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,50.20746,49.37759,40.96385,28.07017,3.16455,45.0,0.0,0.0,0.0,0.0,0.0,0.0,43.87096,37.19298,66.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,53.25623,65.15323,62.44477,0.0,0.0,100.0,17.91044,75.74171,100.0,0.0,0.0,34.7826,15.72939,24.18012,59.02031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.76878,77.00892,63.49952
3,78.93967,45.56908,41.82815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34693,6.12244,46.09929,36.32993,87.63557,51.0204,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.69709,51.45228,45.18072,22.80701,6.96202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51612,25.61403,55.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.54351,62.99659,70.10309,0.0,0.0,33.57933,17.41293,100.0,63.17626,0.0,0.0,34.7826,21.68708,20.99853,42.7718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.16763,76.00446,79.11571
4,71.70018,44.8551,44.20475,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,70.58823,33.33333,56.52173,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12244,9.18367,34.04255,34.84708,84.59869,51.31195,90.90909,100.0,0.0,0.0,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,84.23236,71.36929,60.84337,42.10526,9.49367,75.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87096,27.36842,36.02941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.10833,61.6345,69.1458,0.0,0.0,37.63837,19.90049,63.17626,50.08726,0.0,0.0,34.7826,16.87082,26.28487,35.84229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.25433,72.20982,74.22389
5,83.72943,40.90718,45.41133,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18367,15.30612,25.53191,27.8962,72.01735,42.56559,42.42424,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,85.89211,60.58091,100.0,49.1228,12.65822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.32258,27.36842,68.38235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.55203,76.04994,66.49484,0.0,0.0,29.88929,20.398,50.08726,50.4363,0.0,0.0,43.47826,16.53674,32.74596,43.01075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.63583,63.83928,68.57949
6,78.13528,41.95716,48.62888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647,38.88888,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30612,20.40816,24.82269,29.56441,77.65726,43.44023,27.27272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9336,71.36929,84.33734,42.10526,29.11392,25.0,0.0,0.0,0.0,0.0,0.0,0.0,53.54838,26.66666,59.55882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57821,85.01702,69.7349,0.0,0.0,26.19926,20.89552,50.4363,63.35078,0.0,0.0,69.56521,15.33964,46.59813,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3815,62.5,74.41204
7,90.34734,44.26711,48.26325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.40816,12.24489,19.14893,34.10565,67.24511,38.77551,24.24242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.81742,58.92116,65.06024,38.59649,22.78481,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77.41935,24.21052,55.14705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,51.73463,72.98524,58.76288,0.0,0.0,26.19926,12.93532,63.35078,51.13438,0.0,0.0,26.08695,15.25612,29.07488,54.24133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4104,62.83482,67.07431
8,92.28519,43.84712,52.65082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24489,6.12244,30.49645,100.0,78.52494,41.25364,18.18181,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,0.0,54.77178,30.29045,53.61445,36.8421,16.45569,65.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8387,32.63157,55.88235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36092,88.30874,58.98379,0.0,0.0,25.46125,8.45771,51.13438,41.01221,0.0,0.0,43.47826,10.99665,32.30543,71.20669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.39306,70.08928,63.78174
9,78.06215,42.96514,50.01828,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,35.29411,0.0,56.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12244,7.14285,39.00709,34.56904,72.45119,44.46064,93.93939,0.0,0.0,0.0,0.0,0.0,57.6923,0.0,0.0,0.0,0.0,51.03734,18.67219,36.74698,54.38596,15.18987,45.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45161,27.01754,49.2647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.24771,98.63791,73.34315,0.0,100.0,25.09225,14.92537,41.01221,77.83595,0.0,0.0,60.86956,11.97104,34.9486,72.5209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52023,84.93303,61.71213
