,멀티 비타민_0,멀티 비타민_1,멀티 비타민_2,뷰티업 필_0,뷰티업 필_1,뷰티업 필_2,홍삼정 에브리타임_0,홍삼정 에브리타임_1,홍삼정 에브리타임_2,얼라이브  우먼 구미 비타민_0,얼라이브  우먼 구미 비타민_1,얼라이브  우먼 구미 비타민_2,엽산    _0,엽산    _1,엽산    _2,프로바이오_0,프로바이오_1,프로바이오_2,자로우 도피러스 이피에스_0,자로우 도피러스 이피에스_1,자로우 도피러스 이피에스_2,엘 시스테인_0,엘 시스테인_1,엘 시스테인_2,비오틴 맥시멈 스트렝스      mcg_0,비오틴 맥시멈 스트렝스      mcg_1,비오틴 맥시멈 스트렝스      mcg_2,실리마린_0,실리마린_1,실리마린_2,베이비 수딩 오인트먼트_0,베이비 수딩 오인트먼트_1,베이비 수딩 오인트먼트_2,수딩젤 로션_0,수딩젤 로션_1,수딩젤 로션_2,마이키즈 얼굴로션_0,마이키즈 얼굴로션_1,마이키즈 얼굴로션_2,MLE 로션_0,MLE 로션_1,MLE 로션_2,데일리 모이스춰 로션_0,데일리 모이스춰 로션_1,데일리 모이스춰 로션_2,NEW 판테놀 크림_0,NEW 판테놀 크림_1,NEW 판테놀 크림_2,페이스 크림_0,페이스 크림_1,페이스 크림_2,뽀로로 베이비 립크린_0,뽀로로 베이비 립크린_1,뽀로로 베이비 립크린_2,판테놀 로션_0,판테놀 로션_1,판테놀 로션_2,마이키즈 로션_0,마이키즈 로션_1,마이키즈 로션_2,엑제마 테라피 모이스처라이징 크림_0,엑제마 테라피 모이스처라이징 크림_1,엑제마 테라피 모이스처라이징 크림_2,베이비 아토트리트 크림_0,베이비 아토트리트 크림_1,베이비 아토트리트 크림_2,   플러스 크림_0,   플러스 크림_1,   플러스 크림_2,페이스 수딩 로션_0,페이스 수딩 로션_1,페이스 수딩 로션_2,베이비 집중케어 크림_0,베이비 집중케어 크림_1,베이비 집중케어 크림_2,베이비 비 스킨 크림_0,베이비 비 스킨 크림_1,베이비 비 스킨 크림_2,자연담은 베이비 로션_0,자연담은 베이비 로션_1,자연담은 베이비 로션_2,옥시젠 베이비 수딩젤_0,옥시젠 베이비 수딩젤_1,옥시젠 베이비 수딩젤_2,스위트 스마일 수딩 모이스처라이징 크림_0,스위트 스마일 수딩 모이스처라이징 크림_1,스위트 스마일 수딩 모이스처라이징 크림_2,베이비 페이스크림_0,베이비 페이스크림_1,베이비 페이스크림_2,촉촉 선 팩트  SPF    PA    _0,촉촉 선 팩트  SPF    PA    _1,촉촉 선 팩트  SPF    PA    _2,수분 촉촉 데일리 선 로션  SPF   PA   _0,수분 촉촉 데일리 선 로션  SPF   PA   _1,수분 촉촉 데일리 선 로션  SPF   PA   _2,야외놀이 선크림  SPF   PA    _0,야외놀이 선크림  SPF   PA    _1,야외놀이 선크림  SPF   PA    _2,톡톡 페이셜 선팩트  SPF   PA    _0,톡톡 페이셜 선팩트  SPF   PA    _1,톡톡 페이셜 선팩트  SPF   PA    _2,해피 보 마일드 선 스크린_0,해피 보 마일드 선 스크린_1,해피 보 마일드 선 스크린_2,아임세이프 포 베이비 앤 실버  SPF   PA    _0,아임세이프 포 베이비 앤 실버  SPF   PA    _1,아임세이프 포 베이비 앤 실버  SPF   PA    _2,워셔블 선 크림  SPF    PA    _0,워셔블 선 크림  SPF    PA    _1,워셔블 선 크림  SPF    PA    _2,해피 보 선 메탈 쿠션  SPF   PA    _0,해피 보 선 메탈 쿠션  SPF   PA    _1,해피 보 선 메탈 쿠션  SPF   PA    _2,안뗄리오스 더모 키즈 로션  SPF    PA    _0,안뗄리오스 더모 키즈 로션  SPF    PA    _1,안뗄리오스 더모 키즈 로션  SPF    PA    _2,워터풀 선로션  SPF    PA     _0,워터풀 선로션  SPF    PA     _1,워터풀 선로션  SPF    PA     _2
0,50.95642,30.24193,46.69286,46.61016,1.80505,30.88235,77.32273,29.55064,36.71296,0.0,0.0,0.0,72.83261,53.82424,67.70833,18.53785,40.625,100.0,0.0,0.0,0.0,34.64052,31.78484,32.97872,0.0,0.0,0.0,88.58333,62.53164,52.40963,0.0,0.0,0.0,30.43478,23.80952,54.54545,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,32.0,20.0,0.0,0.0,0.0,0.0,0.0,50.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,58.02337,37.80241,58.48068,74.57627,4.69314,27.94117,65.89242,41.0891,40.60185,0.0,0.0,0.0,66.35193,58.05532,61.28472,14.09921,25.0,38.63636,0.0,0.0,0.0,62.74509,29.09535,39.3617,0.0,0.0,0.0,81.91666,64.64135,86.34538,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,100.0,0.0,41.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,40.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,62.22104,51.81451,65.68434,88.13559,2.88808,22.05882,62.59168,41.58415,46.75925,0.0,0.0,0.0,71.58798,75.87469,57.46527,19.06005,34.375,62.5,0.0,0.0,0.0,26.47058,24.93887,29.52127,0.0,0.0,0.0,86.75,92.15189,72.69076,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74074,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47.92773,46.77419,65.3569,58.47457,2.88808,23.52941,46.39364,45.2399,36.29629,0.0,0.0,0.0,100.0,74.69487,49.65277,19.84334,64.375,52.27272,0.0,0.0,0.0,34.96732,35.20782,31.38297,0.0,0.0,0.0,82.41666,96.3713,70.88353,0.0,0.0,0.0,26.08695,0.0,54.54545,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,40.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,59.08607,49.19354,68.1074,53.38983,2.88808,69.11764,51.95599,50.60929,44.30555,0.0,0.0,0.0,92.96137,76.68836,54.42708,22.9765,81.875,51.13636,0.0,0.0,0.0,41.17647,20.29339,35.10638,0.0,0.0,0.0,69.08333,96.96202,73.89558,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,32.0,44.0,0.0,0.0,62.5,0.0,100.0,0.0,100.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,70.35069,43.24596,54.35494,72.88135,6.49819,63.23529,58.6797,39.9086,36.43518,0.0,0.0,0.0,83.30472,77.74613,74.52256,21.40992,44.375,81.81818,0.0,0.0,0.0,46.07843,27.38386,30.5851,0.0,0.0,0.0,64.0,91.13924,58.73493,0.0,0.0,0.0,30.43478,28.57142,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.96296,36.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.40913,38.50806,49.24688,100.0,4.69314,25.0,62.77506,37.05255,32.36111,0.0,0.0,0.0,82.23175,68.2262,73.61111,18.01566,42.5,60.22727,0.0,0.0,0.0,34.64052,33.74083,35.10638,0.0,0.0,0.0,98.58333,81.26582,45.28112,0.0,0.0,0.0,43.47826,28.57142,0.0,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74074,24.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,58.9798,33.66935,45.71054,86.44067,5.77617,48.52941,72.55501,33.43488,35.78703,0.0,0.0,0.0,76.26609,55.24816,68.22916,17.49347,33.75,60.22727,0.0,0.0,0.0,35.94771,33.98533,55.5851,0.0,0.0,0.0,91.33333,63.88185,43.37349,0.0,0.0,0.0,30.43478,47.61904,90.90909,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592,60.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,68.65037,61.79435,52.91421,62.71186,2.88808,22.05882,64.6088,38.53769,47.4537,0.0,0.0,0.0,74.80686,61.96094,77.47395,16.71018,45.0,72.72727,0.0,0.0,0.0,32.02614,25.67237,28.7234,0.0,0.0,0.0,94.75,66.07594,69.77911,0.0,0.0,0.0,69.56521,28.57142,0.0,0.0,0.0,0.0,100.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85185,48.0,80.0,0.0,0.0,75.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,79.27736,71.27016,67.77996,75.42372,2.88808,44.11764,58.86308,47.48667,38.98148,0.0,0.0,0.0,70.04291,81.04149,65.7552,21.40992,55.0,64.77272,0.0,0.0,0.0,36.6013,35.20782,27.12765,0.0,0.0,0.0,82.16666,90.63291,62.34939,0.0,0.0,0.0,65.21739,0.0,0.0,55.55555,0.0,0.0,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,40.0,36.0,0.0,0.0,87.5,0.0,0.0,100.0,75.0,27.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,54.54545,69.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
