,촉촉한 자연보습 베이비로션_0,촉촉한 자연보습 베이비로션_1,촉촉한 자연보습 베이비로션_2,수딩내추럴 너리싱 로션_0,수딩내추럴 너리싱 로션_1,수딩내추럴 너리싱 로션_2,베드 타임 로션_0,베드 타임 로션_1,베드 타임 로션_2,MLE 크림_0,MLE 크림_1,MLE 크림_2,울트라 케어 크림_0,울트라 케어 크림_1,울트라 케어 크림_2,파우더_0,파우더_1,파우더_2,베드타임 오일_0,베드타임 오일_1,베드타임 오일_2,레귤러 오일_0,레귤러 오일_1,레귤러 오일_2,화이트 후레쉬 로션_0,화이트 후레쉬 로션_1,화이트 후레쉬 로션_2,바텀 밤_0,바텀 밤_1,바텀 밤_2,울트라 케어 로션_0,울트라 케어 로션_1,울트라 케어 로션_2,베이비 로션_0,베이비 로션_1,베이비 로션_2,촉촉한 자연보습 울트라크림_0,촉촉한 자연보습 울트라크림_1,촉촉한 자연보습 울트라크림_2,베드타임 파우더_0,베드타임 파우더_1,베드타임 파우더_2,크림 마사지 오일_0,크림 마사지 오일_1,크림 마사지 오일_2,힘센 보습 울트라 로션_0,힘센 보습 울트라 로션_1,힘센 보습 울트라 로션_2,베이비 퓨어 로션_0,베이비 퓨어 로션_1,베이비 퓨어 로션_2,카모마일 오일_0,카모마일 오일_1,카모마일 오일_2,수딩내추럴 수드 앤드 프로텍트 밤_0,수딩내추럴 수드 앤드 프로텍트 밤_1,수딩내추럴 수드 앤드 프로텍트 밤_2,탑투토 워시_0,탑투토 워시_1,탑투토 워시_2,앤젤베이비 바디워시앤삼푸_0,앤젤베이비 바디워시앤삼푸_1,앤젤베이비 바디워시앤삼푸_2,베이비 샴푸 바스_0,베이비 샴푸 바스_1,베이비 샴푸 바스_2,촉촉한 자연보습 베이비워시_0,촉촉한 자연보습 베이비워시_1,촉촉한 자연보습 베이비워시_2,베드타임 바스_0,베드타임 바스_1,베드타임 바스_2,카렌듈라 네츄럴 샴푸 앤 바디워시_0,카렌듈라 네츄럴 샴푸 앤 바디워시_1,카렌듈라 네츄럴 샴푸 앤 바디워시_2,젠틀 클렌징 젤_0,젠틀 클렌징 젤_1,젠틀 클렌징 젤_2,클래식 바스앤샤워 밀크_0,클래식 바스앤샤워 밀크_1,클래식 바스앤샤워 밀크_2,NB워시_0,NB워시_1,NB워시_2,마이키즈 워시_0,마이키즈 워시_1,마이키즈 워시_2,마이키즈 샴푸_0,마이키즈 샴푸_1,마이키즈 샴푸_2,약산성 베이비 바스 앤 샴푸_0,약산성 베이비 바스 앤 샴푸_1,약산성 베이비 바스 앤 샴푸_2,베이비 샴푸_0,베이비 샴푸_1,베이비 샴푸_2,워시 샴푸_0,워시 샴푸_1,워시 샴푸_2,베이비 헤어 바디 클렌저_0,베이비 헤어 바디 클렌저_1,베이비 헤어 바디 클렌저_2,베베 끄렘 라방떼_0,베베 끄렘 라방떼_1,베베 끄렘 라방떼_2,페이셜 폼 워시_0,페이셜 폼 워시_1,페이셜 폼 워시_2,키즈에코 바디 워시_0,키즈에코 바디 워시_1,키즈에코 바디 워시_2,베이비 워시_0,베이비 워시_1,베이비 워시_2
0,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.56049,61.15326,74.13793,26.92307,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,61.53846,0.0,0.0,85.71428,0.0,53.33333,43.90243,75.93052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80645,33.33333,0.0,0.0,0.0,66.07142,16.98113,30.95238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,88.23529,0.0,0.0,0.0,0.0,50.0,45.29262,41.86046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,44.06779,55.55555,60.31746
1,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,73.35375,62.9742,67.41379,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,45.45454,0.0,0.0,0.0,44.81481,47.73519,66.74937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.16129,20.83333,0.0,0.0,0.0,50.0,6.2893,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,66.66666,48.6005,40.69767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06779,48.88888,55.55555
2,0.0,100.0,0.0,0.0,0.0,0.0,47.61904,0.0,58.33333,0.0,0.0,16.98113,0.0,0.0,0.0,72.43491,68.13353,71.72413,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,54.54545,0.0,0.0,58.51851,74.91289,63.52357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,38.70967,25.0,0.0,0.0,0.0,67.85714,8.80503,17.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,66.66666,47.05882,0.0,0.0,0.0,0.0,76.04166,50.89058,82.55813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.71186,60.0,65.07936
3,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,28.0,20.75471,0.0,0.0,0.0,73.50689,70.40971,73.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,90.90909,45.45454,0.0,0.0,45.92592,59.23344,42.92803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.80645,37.5,0.0,0.0,0.0,60.71428,8.1761,22.61904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,45.29262,89.53488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67796,55.55555,42.85714
4,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,0.0,0.0,0.0,16.98113,0.0,0.0,0.0,71.05666,62.51896,77.24137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.45454,0.0,0.0,0.0,55.18518,50.52264,49.62779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,25.80645,54.16666,0.0,0.0,0.0,55.35714,11.94968,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,19.79166,45.54707,32.55813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.01694,40.0,52.38095
5,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,58.33333,0.0,0.0,32.07547,0.0,0.0,0.0,84.37978,63.88467,63.27586,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,63.63636,0.0,0.0,90.74074,41.11498,76.67493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,45.16129,41.66666,0.0,0.0,0.0,39.28571,7.54716,20.23809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.95833,49.61832,60.46511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.28813,60.0,41.26984
6,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,22.6415,0.0,0.0,0.0,87.13629,62.06373,58.7931,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,54.54545,0.0,23.80952,76.29629,34.14634,65.26054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6129,70.83333,0.0,0.0,0.0,41.07142,13.83647,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,51.14503,61.6279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06779,68.88888,36.50793
7,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,75.0,0.0,0.0,28.30188,0.0,0.0,0.0,90.50535,57.66312,74.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,63.63636,54.54545,0.0,28.57142,92.96296,44.94773,66.50124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14285,35.48387,37.5,0.0,0.0,0.0,48.21428,11.32075,27.38095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,36.45833,48.0916,38.37209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62711,80.0,69.84126
8,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,38.46153,40.0,32.07547,0.0,0.0,0.0,79.0199,60.39453,91.72413,38.46153,38.46153,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,54.54545,0.0,0.0,28.57142,71.85185,58.18815,51.86104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42857,41.93548,75.0,0.0,0.0,0.0,51.78571,7.54716,42.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,57.29166,45.80152,27.90697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64406,75.55555,55.55555
9,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0,0.0,0.0,20.0,16.98113,0.0,0.0,0.0,72.74119,66.61608,77.41379,0.0,19.23076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,53.84615,45.45454,0.0,0.0,0.0,66.66666,88.50174,37.22084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85714,32.25806,54.16666,0.0,0.0,0.0,46.42857,8.80503,40.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,58.82352,0.0,0.0,0.0,0.0,42.70833,39.4402,25.58139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.11864,66.66666,60.31746
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86792,0.0,0.0,0.0,61.56202,70.40971,79.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07407,88.85017,36.72456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333,83.33333,0.0,0.0,0.0,0.0,0.0,22.58064,50.0,0.0,0.0,0.0,32.14285,24.5283,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,54.16666,36.13231,16.27906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64406,91.11111,68.25396
11,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,0.0,0.0,0.0,45.28301,0.0,0.0,0.0,69.37212,72.68588,75.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,54.81481,73.86759,44.41687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42857,25.80645,37.5,0.0,0.0,0.0,73.21428,9.43396,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,22.91666,33.33333,26.74418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67796,71.11111,42.85714
