,퍼펙트 파워 크림_0,퍼펙트 파워 크림_1,퍼펙트 파워 크림_2,포레스트 포맨 프레시 올인원 에센스_0,포레스트 포맨 프레시 올인원 에센스_1,포레스트 포맨 프레시 올인원 에센스_2,포 맨 올 인 원 스킨_0,포 맨 올 인 원 스킨_1,포 맨 올 인 원 스킨_2,아쿠아파워 건성용_0,아쿠아파워 건성용_1,아쿠아파워 건성용_2,디 오리지널 올인원 퍼펙트 솔루션_0,디 오리지널 올인원 퍼펙트 솔루션_1,디 오리지널 올인원 퍼펙트 솔루션_2,오일 컨트롤 수분크림_0,오일 컨트롤 수분크림_1,오일 컨트롤 수분크림_2,베투스 그린보틀 올인원 워터 드롭 크림_0,베투스 그린보틀 올인원 워터 드롭 크림_1,베투스 그린보틀 올인원 워터 드롭 크림_2,옴므 올인_0,옴므 올인_1,옴므 올인_2,맨 오가니언스 트리트먼트 워터_0,맨 오가니언스 트리트먼트 워터_1,맨 오가니언스 트리트먼트 워터_2,남성 수분크림 페이스 차저_0,남성 수분크림 페이스 차저_1,남성 수분크림 페이스 차저_2,레벨업 파운데이션 포 히어로즈  SPF    PA     _0,레벨업 파운데이션 포 히어로즈  SPF    PA     _1,레벨업 파운데이션 포 히어로즈  SPF    PA     _2,프라이드 업 아이브로우 포 히어로즈_0,프라이드 업 아이브로우 포 히어로즈_1,프라이드 업 아이브로우 포 히어로즈_2,훼이셜 퓨얼 노 샤인 모이스처라이징 립밤_0,훼이셜 퓨얼 노 샤인 모이스처라이징 립밤_1,훼이셜 퓨얼 노 샤인 모이스처라이징 립밤_2,멀티 비비 스틱  SPF    PA     _0,멀티 비비 스틱  SPF    PA     _1,멀티 비비 스틱  SPF    PA     _2,익스트림 파워위장크림  SPF    PA    _0,익스트림 파워위장크림  SPF    PA    _1,익스트림 파워위장크림  SPF    PA    _2,비비 틴티드 모이스춰라이저  SPF   PA    _0,비비 틴티드 모이스춰라이저  SPF   PA    _1,비비 틴티드 모이스춰라이저  SPF   PA    _2,타임 리버싱 썬비비_0,타임 리버싱 썬비비_1,타임 리버싱 썬비비_2,블랙 밤_0,블랙 밤_1,블랙 밤_2,올디펜스 멀티 쿠션_0,올디펜스 멀티 쿠션_1,올디펜스 멀티 쿠션_2,트리플 핸섬 립_0,트리플 핸섬 립_1,트리플 핸섬 립_2,맨 에어쿠션   SPF    PA    _0,맨 에어쿠션   SPF    PA    _1,맨 에어쿠션   SPF    PA    _2,이피 펄 브라이트닝 밤  SPF   PA   _0,이피 펄 브라이트닝 밤  SPF   PA   _1,이피 펄 브라이트닝 밤  SPF   PA   _2,비비 로션  SPF    PA    _0,비비 로션  SPF    PA    _1,비비 로션  SPF    PA    _2,화이트 루미네어 씨씨크림 포맨_0,화이트 루미네어 씨씨크림 포맨_1,화이트 루미네어 씨씨크림 포맨_2,아르쌩뜨 에코테라피 포맨 위장크림  SPF    PA    _0,아르쌩뜨 에코테라피 포맨 위장크림  SPF    PA    _1,아르쌩뜨 에코테라피 포맨 위장크림  SPF    PA    _2,무드 업 음영 아이팔레트 포 히어로즈_0,무드 업 음영 아이팔레트 포 히어로즈_1,무드 업 음영 아이팔레트 포 히어로즈_2,엠 맨 립케어  SPF   _0,엠 맨 립케어  SPF   _1,엠 맨 립케어  SPF   _2,맨 액티브 케어_0,맨 액티브 케어_1,맨 액티브 케어_2,비비 겟 레디_0,비비 겟 레디_1,비비 겟 레디_2,포맨 액티브 비비크림_0,포맨 액티브 비비크림_1,포맨 액티브 비비크림_2,디 오리지널 스틱 워시 포 페이스 앤 바디_0,디 오리지널 스틱 워시 포 페이스 앤 바디_1,디 오리지널 스틱 워시 포 페이스 앤 바디_2,원 샷 오일 폼 클렌저 포 히어로즈_0,원 샷 오일 폼 클렌저 포 히어로즈_1,원 샷 오일 폼 클렌저 포 히어로즈_2,베투스 그린보틀 pH 밸런스 클렌징 젤_0,베투스 그린보틀 pH 밸런스 클렌징 젤_1,베투스 그린보틀 pH 밸런스 클렌징 젤_2,폼 앤 쉐이브 클렌저_0,폼 앤 쉐이브 클렌저_1,폼 앤 쉐이브 클렌저_2,멀티 액션 훼이스 워시_0,멀티 액션 훼이스 워시_1,멀티 액션 훼이스 워시_2,포레스트 포맨 프레시 클렌징 폼_0,포레스트 포맨 프레시 클렌징 폼_1,포레스트 포맨 프레시 클렌징 폼_2,오리지널 페이스 워시_0,오리지널 페이스 워시_1,오리지널 페이스 워시_2,아쿠아파워 클렌저_0,아쿠아파워 클렌저_1,아쿠아파워 클렌저_2,클렌징 폼 페이스 파이터_0,클렌징 폼 페이스 파이터_1,클렌징 폼 페이스 파이터_2,우노 휩 워시 스크럽_0,우노 휩 워시 스크럽_1,우노 휩 워시 스크럽_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6124,86.30136,61.36363,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.34108,100.0,70.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.56589,38.35616,48.86363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.44186,33.78995,35.22727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.96899,33.33333,57.95454,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,37.89954,42.04545,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.79069,31.50684,60.22727,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13953,23.28767,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.48401,56.81818,0.0,0.0,0.0,50.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.49612,27.39726,32.95454,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
