,센서티브 쉐이빙 폼_0,센서티브 쉐이빙 폼_1,센서티브 쉐이빙 폼_2,오리지널 쉐이브 젤_0,오리지널 쉐이브 젤_1,오리지널 쉐이브 젤_2,아쿠아틱 로션 애프터 쉐이브_0,아쿠아틱 로션 애프터 쉐이브_1,아쿠아틱 로션 애프터 쉐이브_2,실버 프로텍트 쉐이빙 젤_0,실버 프로텍트 쉐이빙 젤_1,실버 프로텍트 쉐이빙 젤_2,프린스_0,프린스_1,프린스_2,프로쉴드 옐로우 면도기_0,프로쉴드 옐로우 면도기_1,프로쉴드 옐로우 면도기_2,쿨 킥 쉐이빙 젤_0,쿨 킥 쉐이빙 젤_1,쿨 킥 쉐이빙 젤_2,햄프씨드 쉐이빙 오일_0,햄프씨드 쉐이빙 오일_1,햄프씨드 쉐이빙 오일_2,센서티브 쉐이빙 젤_0,센서티브 쉐이빙 젤_1,센서티브 쉐이빙 젤_2,센서티브 애프터 쉐이브 로션_0,센서티브 애프터 쉐이브 로션_1,센서티브 애프터 쉐이브 로션_2,포오미 레몬 라임 쉐이빙 크림_0,포오미 레몬 라임 쉐이빙 크림_1,포오미 레몬 라임 쉐이빙 크림_2,꺄드 애프터 쉐이브 밤_0,꺄드 애프터 쉐이브 밤_1,꺄드 애프터 쉐이브 밤_2,더티 쉐이빙 크림_0,더티 쉐이빙 크림_1,더티 쉐이빙 크림_2,더프레시 포맨 쉐이빙 폼_0,더프레시 포맨 쉐이빙 폼_1,더프레시 포맨 쉐이빙 폼_2,쉬크 하이드로 모이스춰폼_0,쉬크 하이드로 모이스춰폼_1,쉬크 하이드로 모이스춰폼_2,맨 수퍼 모이스처 애프터 쉐이브 에너자이저_0,맨 수퍼 모이스처 애프터 쉐이브 에너자이저_1,맨 수퍼 모이스처 애프터 쉐이브 에너자이저_2,오리지널 에프터 쉐이브 밤_0,오리지널 에프터 쉐이브 밤_1,오리지널 에프터 쉐이브 밤_2,프로글라이드 쉐이브젤 센서티브_0,프로글라이드 쉐이브젤 센서티브_1,프로글라이드 쉐이브젤 센서티브_2,블루 드 샤넬 애프터쉐이브 로션_0,블루 드 샤넬 애프터쉐이브 로션_1,블루 드 샤넬 애프터쉐이브 로션_2,해피 포 맨 애프터 쉐이브_0,해피 포 맨 애프터 쉐이브_1,해피 포 맨 애프터 쉐이브_2,무빙 락 스프레이 슈퍼하드_0,무빙 락 스프레이 슈퍼하드_1,무빙 락 스프레이 슈퍼하드_2,헤어 스터너 왁스 매트 하드 _0,헤어 스터너 왁스 매트 하드 _1,헤어 스터너 왁스 매트 하드 _2,카페인 샴푸 C _0,카페인 샴푸 C _1,카페인 샴푸 C _2,이지 헤어라이너_0,이지 헤어라이너_1,이지 헤어라이너_2,파 워스윙 스타일 킵 스프레이 _0,파 워스윙 스타일 킵 스프레이 _1,파 워스윙 스타일 킵 스프레이 _2,헤어 슬래머 포마드_0,헤어 슬래머 포마드_1,헤어 슬래머 포마드_2,스칼프샴푸_0,스칼프샴푸_1,스칼프샴푸_2,댄드러프 트리트먼트 샴푸_0,댄드러프 트리트먼트 샴푸_1,댄드러프 트리트먼트 샴푸_2,파워스윙왁스맥스하드M _0,파워스윙왁스맥스하드M _1,파워스윙왁스맥스하드M _2,머그샷 이블락킹 워터스프레이_0,머그샷 이블락킹 워터스프레이_1,머그샷 이블락킹 워터스프레이_2,스타일링 젤 슈퍼하드_0,스타일링 젤 슈퍼하드_1,스타일링 젤 슈퍼하드_2,마린브럴리티 포마드 왁스_0,마린브럴리티 포마드 왁스_1,마린브럴리티 포마드 왁스_2,맨 퓨어 포먼스  컨디셔너_0,맨 퓨어 포먼스  컨디셔너_1,맨 퓨어 포먼스  컨디셔너_2,홀드 포마드_0,홀드 포마드_1,홀드 포마드_2,다운 펌_0,다운 펌_1,다운 펌_2,칼라마주_0,칼라마주_1,칼라마주_2,헤어 스릴러 멘톨 샴푸_0,헤어 스릴러 멘톨 샴푸_1,헤어 스릴러 멘톨 샴푸_2,헤어 스터너 왁스 크림 타입  크리미 소프트 _0,헤어 스터너 왁스 크림 타입  크리미 소프트 _1,헤어 스터너 왁스 크림 타입  크리미 소프트 _2,해수 포마드_0,해수 포마드_1,해수 포마드_2,테크니아트 스티프 왁스_0,테크니아트 스티프 왁스_1,테크니아트 스티프 왁스_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01114,99.05882,59.09849,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.04819,53.87453,72.08121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.12734,97.92079,86.15232,0.0,26.92307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25925,44.44444,44.44444,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00998,91.52941,47.57929,0.0,0.0,0.0,0.0,0.0,0.0,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.44578,43.17343,54.82233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.07116,96.0396,93.07616,100.0,42.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.96296,77.77777,77.77777,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00998,80.23529,49.91652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6265,57.93357,77.15736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.74906,87.92079,90.00989,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,29.62962,29.62962,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01189,74.58823,54.59098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.49397,38.74538,64.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26217,92.67326,100.0,0.0,96.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,40.74074,40.74074,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01198,84.70588,48.08013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3012,48.33948,58.88324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.96629,86.63366,85.65776,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222,55.55555,55.55555,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01203,76.70588,46.74457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.1845,70.05076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5955,92.77227,89.71315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,59.25925,59.25925,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01345,91.05882,47.41235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.07228,56.45756,72.58883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.84269,93.46534,81.60237,0.0,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.96296,62.96296,62.96296,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00967,100.0,52.75459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.39759,64.20664,64.97461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09737,81.48514,77.05242,60.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,22.22222,22.22222,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01052,84.94117,49.74958,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.63855,49.07749,63.95939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5131,80.29702,74.08506,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,22.22222,22.22222,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,72.94117,62.93823,0.0,0.0,0.0,0.0,0.0,0.0,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.61445,46.49446,57.3604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.61423,81.58415,79.22848,0.0,30.76923,90.0,0.0,0.0,0.0,0.0,0.0,0.0,62.96296,22.22222,22.22222,0.0,0.0,0.0
