,남성 향수 샤워젤 룰브레이커_0,남성 향수 샤워젤 룰브레이커_1,남성 향수 샤워젤 룰브레이커_2,남성 향수 샤워젤 샷콜러_0,남성 향수 샤워젤 샷콜러_1,남성 향수 샤워젤 샷콜러_2,데오드란트 롤온 쿨 킥_0,데오드란트 롤온 쿨 킥_1,데오드란트 롤온 쿨 킥_2,패션 바디스프레이_0,패션 바디스프레이_1,패션 바디스프레이_2,퍼퓸 스프레이   코튼 허그_0,퍼퓸 스프레이   코튼 허그_1,퍼퓸 스프레이   코튼 허그_2,맨 블랙 앤 화이트 스프레이_0,맨 블랙 앤 화이트 스프레이_1,맨 블랙 앤 화이트 스프레이_2,남성청결제_0,남성청결제_1,남성청결제_2,데오드란트 바디워시_0,데오드란트 바디워시_1,데오드란트 바디워시_2,라스트 샷_0,라스트 샷_1,라스트 샷_2,블루 드 샤넬 샤워 젤_0,블루 드 샤넬 샤워 젤_1,블루 드 샤넬 샤워 젤_2,퍼펙트 아이 치크 팔레트_0,퍼펙트 아이 치크 팔레트_1,퍼펙트 아이 치크 팔레트_2,잉크 피팅 컬러 팔레트_0,잉크 피팅 컬러 팔레트_1,잉크 피팅 컬러 팔레트_2,아임 멀티 큐브_0,아임 멀티 큐브_1,아임 멀티 큐브_2,마이 매거진_0,마이 매거진_1,마이 매거진_2,저스트 팔레트_0,저스트 팔레트_1,저스트 팔레트_2,글로우  컬러 필터 섀도우 팔레트_0,글로우  컬러 필터 섀도우 팔레트_1,글로우  컬러 필터 섀도우 팔레트_2,내추럴룩키트_0,내추럴룩키트_1,내추럴룩키트_2,데일리 팔레트_0,데일리 팔레트_1,데일리 팔레트_2, 토이스토리 컬렉션  로지 피기 팔레트_0, 토이스토리 컬렉션  로지 피기 팔레트_1, 토이스토리 컬렉션  로지 피기 팔레트_2,플레이 컬러 멀티 팔레트_0,플레이 컬러 멀티 팔레트_1,플레이 컬러 멀티 팔레트_2,백톡 아이 치크 멀티 팔레트_0,백톡 아이 치크 멀티 팔레트_1,백톡 아이 치크 멀티 팔레트_2,파티 투 고 립   아이_0,파티 투 고 립   아이_1,파티 투 고 립   아이_2,아이 앤드 치크 팔레드 아토믹 블론드_0,아이 앤드 치크 팔레드 아토믹 블론드_1,아이 앤드 치크 팔레드 아토믹 블론드_2,     S S 룩북 팔레트  허니멜로우 _0,     S S 룩북 팔레트  허니멜로우 _1,     S S 룩북 팔레트  허니멜로우 _2,미스치프 밍스 팔레트_0,미스치프 밍스 팔레트_1,미스치프 밍스 팔레트_2,치키 스토어웨이즈_0,치키 스토어웨이즈_1,치키 스토어웨이즈_2,인스턴트 프리티 아이 앤 치크 팔레트_0,인스턴트 프리티 아이 앤 치크 팔레트_1,인스턴트 프리티 아이 앤 치크 팔레트_2,   S S 룩북_0,   S S 룩북_1,   S S 룩북_2,데어 컬렉션 페어리 비즈_0,데어 컬렉션 페어리 비즈_1,데어 컬렉션 페어리 비즈_2,클래식 멀티 팔레트_0,클래식 멀티 팔레트_1,클래식 멀티 팔레트_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7422,48.24561,35.1609,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81609,17.81609,26.96629,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.15248,66.66666,36.59117,0.0,0.0,0.0,0.0,0.0,60.41666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,27.5862,6.89655,41.57303,0.0,0.0,73.91304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,4.38596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62089,61.8421,49.22526,0.0,0.0,0.0,0.0,0.0,85.41666,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,10.91954,20.68965,22.47191,0.0,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.37719,47.31823,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551,10.91954,17.97752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.40775,63.15789,47.55661,0.0,0.0,100.0,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.88505,17.81609,20.22471,0.0,0.0,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56613,54.16666,55.06555,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3908,13.21839,28.08988,0.0,0.0,56.52173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.98736,57.89473,55.6615,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.64367,20.11494,16.85393,0.0,17.07317,52.17391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.18112,48.24561,45.05363,0.0,0.0,0.0,0.0,0.0,79.16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28735,13.7931,14.60674,0.0,19.51219,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.85509,72.14912,36.3528,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.86206,27.5862,100.0,0.0,17.07317,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,72.72727,0.0,0.0,0.0,0.0,34.21052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19208,72.36842,38.73659,0.0,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83908,17.24137,44.94382,0.0,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65711,68.85964,49.9404,0.0,0.0,0.0,0.0,0.0,89.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.11494,35.05747,37.07865,0.0,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38596,0.0,9.64912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.68997,51.75438,39.33253,0.0,0.0,0.0,0.0,0.0,83.33333,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3908,30.45977,33.70786,0.0,17.07317,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,45.45454,0.0,0.0,0.0,0.0,4.38596,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.73125,59.42982,43.98092,0.0,0.0,0.0,0.0,0.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75862,37.93103,44.94382,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,31.57894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56613,49.7807,76.40047,85.71428,0.0,0.0,0.0,0.0,89.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66666,31.03448,39.32584,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.78947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8989,65.13157,92.13349,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,25.0,21.83908,27.5862,21.34831,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26315,100.0,24.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
