,탑 시크릿 메이크업 세팅 스프레이_0,탑 시크릿 메이크업 세팅 스프레이_1,미스트 앤 픽스_0,미스트 앤 픽스_1,페이스 프라임 글로우 픽스 미스트_0,페이스 프라임 글로우 픽스 미스트_1,칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_0,칠 쿨링 앤 하이드레이팅 메이크업 세팅 스프레이_1,메이크업 피니싱 스프레이_0,메이크업 피니싱 스프레이_1,울트라 세팅 진짜 픽서_0,울트라 세팅 진짜 픽서_1,여행용 체리 올나이터_0,여행용 체리 올나이터_1,아트클래스 익스트림 세팅 픽서_0,아트클래스 익스트림 세팅 픽서_1,프로방스 스마트 베리어 메이크업 픽서_0,프로방스 스마트 베리어 메이크업 픽서_1,올데이 필터 픽서_0,올데이 필터 픽서_1,럭스 립 칼라_0,럭스 립 칼라_1,글램락 미스티 로즈_0,글램락 미스티 로즈_1,압솔뤼 루즈_0,압솔뤼 루즈_1,글램락 허쉬 브라운_0,글램락 허쉬 브라운_1,매드 매트 립_0,매드 매트 립_1,르 루즈_0,르 루즈_1,너리싱 립 칼라_0,너리싱 립 칼라_1,데어 루즈 벨벳_0,데어 루즈 벨벳_1,누드롭 듀이스틱_0,누드롭 듀이스틱_1,루즈 아르마니_0,루즈 아르마니_1,립컷 루즈 벨벳_0,립컷 루즈 벨벳_1,스무스 매트 립스틱_0,스무스 매트 립스틱_1,루즈 건 제로_0,루즈 건 제로_1,압솔뤼 루즈 드라마 마뜨_0,압솔뤼 루즈 드라마 마뜨_1,루쥬 알뤼르_0,루쥬 알뤼르_1,아티스트 루즈 매트_0,아티스트 루즈 매트_1,매드 매트 스테인 립_0,매드 매트 스테인 립_1,페이드 매트 립스틱_0,페이드 매트 립스틱_1,루쥬 코코_0,루쥬 코코_1,루쥬 코코 플래쉬_0,루쥬 코코 플래쉬_1,라스트 벨벳 립 틴트 _0,라스트 벨벳 립 틴트 _1,라스트 벨벳 립 틴트  _0,라스트 벨벳 립 틴트  _1,에어 핏 벨벳틴트 _0,에어 핏 벨벳틴트 _1,센슈얼 스파이시 누드 글로스_0,센슈얼 스파이시 누드 글로스_1,에어 핏 벨벳틴트_0,에어 핏 벨벳틴트_1,베르니 아 레브르 바이닐 크림_0,베르니 아 레브르 바이닐 크림_1,과즙팡 무스 틴트_0,과즙팡 무스 틴트_1,에버라스팅 리퀴드 립스틱_0,에버라스팅 리퀴드 립스틱_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,69.23076,26.2295,42.85714,0.0,34.45945,18.51851,26.08695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.77777,43.58974,0.0,0.0,0.0,0.0,0.0,47.51381,0.0,20.0,23.07692,29.62962,66.66666,0.0,0.0,94.28571,0.0,0.0,26.92307,0.0,0.0,0.0,0.0,21.25,0.0,21.25,16.43835,46.80851,0.0,17.64705,16.43835,46.80851,59.47136,24.13793,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,23.07692,61.11111,0.0,38.46153,13.11475,61.90476,0.0,26.35135,22.22222,21.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,53.84615,0.0,0.0,0.0,0.0,0.0,35.35911,62.5,20.0,23.07692,0.0,0.0,0.0,0.0,77.14285,0.0,0.0,0.0,0.0,15.38461,0.0,0.0,15.0,0.0,15.0,13.01369,44.68085,0.0,72.2689,13.01369,44.68085,59.91189,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,19.04761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,27.77777,0.0,61.53846,9.83606,57.14285,0.0,15.54054,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22222,58.97435,0.0,0.0,0.0,0.0,0.0,39.22651,0.0,0.0,42.30769,40.74074,0.0,0.0,0.0,88.57142,0.0,0.0,23.07692,0.0,0.0,0.0,0.0,18.75,0.0,18.75,17.12328,24.11347,0.0,85.71428,17.12328,24.11347,70.04405,41.37931,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,16.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,100.0,0.0,53.84615,24.59016,40.47619,0.0,16.21621,25.92592,39.13043,0.0,0.0,0.0,0.0,3.64963,0.0,0.0,38.88888,58.97435,0.0,0.0,0.0,0.0,0.0,24.30939,75.0,0.0,57.6923,0.0,0.0,0.0,0.0,92.85714,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,16.25,72.72727,16.25,56.16438,17.73049,0.0,91.59663,56.16438,17.73049,75.33039,27.5862,0.0,32.65306,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,46.15384,29.50819,30.95238,0.0,12.83783,33.33333,0.0,0.0,0.0,0.0,0.0,31.38686,0.0,0.0,27.77777,56.41025,0.0,0.0,0.0,0.0,0.0,28.72928,87.5,40.0,0.0,40.74074,100.0,0.0,0.0,100.0,0.0,0.0,23.07692,0.0,21.15384,11.53846,0.0,11.25,0.0,11.25,53.42465,31.20567,0.0,71.42857,53.42465,31.20567,63.87665,31.03448,0.0,12.24489,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,21.31147,80.95238,0.0,15.54054,25.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88888,15.38461,0.0,100.0,0.0,0.0,0.0,32.04419,0.0,0.0,53.84615,55.55555,0.0,60.0,0.0,100.0,0.0,0.0,19.23076,53.84615,25.0,0.0,45.45454,16.25,45.45454,16.25,39.04109,68.0851,0.0,76.47058,39.04109,68.0851,100.0,37.93103,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,39.34426,64.28571,0.0,22.29729,25.92592,21.73913,0.0,0.0,0.0,0.0,3.64963,0.0,0.0,44.44444,28.20512,0.0,0.0,0.0,0.0,0.0,30.38674,87.5,44.0,30.76923,25.92592,0.0,0.0,0.0,51.42857,0.0,0.0,19.23076,0.0,19.23076,0.0,0.0,23.75,0.0,23.75,49.31506,77.30496,4.20168,36.13445,49.31506,77.30496,95.59471,51.72413,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.14814,21.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,38.46153,0.0,0.0,46.15384,0.0,78.57142,10.52631,16.21621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,23.07692,0.0,0.0,0.0,0.0,0.0,18.78453,75.0,76.0,34.61538,59.25925,0.0,70.0,0.0,58.57142,0.0,0.0,34.61538,0.0,19.23076,11.53846,0.0,28.75,0.0,28.75,47.9452,29.07801,5.88235,13.44537,47.9452,29.07801,79.73568,44.82758,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,27.77777,0.0,0.0,34.42622,80.95238,31.57894,20.27027,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11111,56.41025,0.0,77.77777,0.0,0.0,0.0,100.0,87.5,60.0,26.92307,25.92592,0.0,0.0,0.0,30.0,0.0,0.0,23.07692,0.0,25.0,0.0,0.0,100.0,0.0,100.0,39.04109,35.46099,0.0,36.97478,39.04109,35.46099,72.68722,58.62068,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74074,11.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78688,42.85714,5.26315,14.86486,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.07692,41.17647,0.0,0.0,0.0,0.0,31.49171,0.0,100.0,0.0,0.0,0.0,70.0,0.0,40.0,0.0,0.0,26.92307,0.0,17.30769,0.0,72.72727,98.75,72.72727,98.75,100.0,34.75177,0.0,14.28571,100.0,34.75177,65.19823,48.27586,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,38.46153,24.59016,54.7619,4.38596,19.59459,51.85185,65.21739,0.0,0.0,0.0,0.0,100.0,0.0,0.0,69.44444,17.94871,0.0,0.0,0.0,0.0,0.0,24.30939,0.0,48.0,30.76923,22.22222,0.0,0.0,0.0,38.57142,0.0,0.0,0.0,26.92307,0.0,0.0,0.0,43.75,0.0,43.75,72.60273,36.17021,4.20168,21.0084,72.60273,36.17021,62.55506,37.93103,32.65306,16.32653,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51851,40.47619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23076,0.0,0.0,0.0,73.77049,33.33333,7.01754,17.56756,18.51851,86.95652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11111,46.15384,0.0,0.0,0.0,0.0,2.48447,27.07182,0.0,28.0,23.07692,22.22222,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,34.61538,15.38461,54.54545,25.0,54.54545,25.0,58.21917,52.48226,0.0,23.52941,58.21917,52.48226,74.44933,27.5862,12.24489,22.44897,0.0,0.0
