,새틴 립 펜슬_0,새틴 립 펜슬_1,벨벳 매트 립 펜슬_0,벨벳 매트 립 펜슬_1,아티스트 립 블러쉬_0,아티스트 립 블러쉬_1,크리미 터치 립라이너_0,크리미 터치 립라이너_1,페이턴트폴리쉬 립 펜슬_0,페이턴트폴리쉬 립 펜슬_1,크리미 틴트 컬러 밤 인텐스_0,크리미 틴트 컬러 밤 인텐스_1,립 펜슬_0,립 펜슬_1,크리미 틴트 컬러밤 글라이드_0,크리미 틴트 컬러밤 글라이드_1,철벽 컬러 립 초크_0,철벽 컬러 립 초크_1,플랫 벨벳 스틱_0,플랫 벨벳 스틱_1,컬러버스트 매트밤_0,컬러버스트 매트밤_1,소프트 터치 오토 립 라이너 AD_0,소프트 터치 오토 립 라이너 AD_1,컬러 립 펜슬  매트 _0,컬러 립 펜슬  매트 _1,립펜슬 이탈프리즘   매트_0,립펜슬 이탈프리즘   매트_1,크리미 틴트 컬러 밤 라이트_0,크리미 틴트 컬러 밤 라이트_1,써니스틱_0,써니스틱_1,립펜슬 이탈프리즘   멜티_0,립펜슬 이탈프리즘   멜티_1,비타 컬러 딜리셔스 스트로 벨벳 _0,비타 컬러 딜리셔스 스트로 벨벳 _1,샘물 스머지 립 크레용_0,샘물 스머지 립 크레용_1,립 크레용_0,립 크레용_1,글래스팅 워터 글로스_0,글래스팅 워터 글로스_1,립 젤리 글로스_0,립 젤리 글로스_1,립매터_0,립매터_1,앵두알 촉촉 립 글로우_0,앵두알 촉촉 립 글로우_1,샘물 세럼 립글로스_0,샘물 세럼 립글로스_1,립 글로스_0,립 글로스_1,루쥬 코코 글로스_0,루쥬 코코 글로스_1,어딕트 립 맥시마이저_0,어딕트 립 맥시마이저_1,샤인 샤인 샤인 립글로스_0,샤인 샤인 샤인 립글로스_1,크림쉰 글라스_0,크림쉰 글라스_1,압솔뤼 글로스 크림_0,압솔뤼 글로스 크림_1,멀티 글로이 부스터_0,멀티 글로이 부스터_1,퓨어 칼라 엔비 립 글로스_0,퓨어 칼라 엔비 립 글로스_1,뷰티 보스 립 글로스_0,뷰티 보스 립 글로스_1,어딕트 울트라 글로스_0,어딕트 울트라 글로스_1,와사비야 립 플럼퍼_0,와사비야 립 플럼퍼_1,플럼핑 펄 시럽_0,플럼핑 펄 시럽_1,펄 인 러브 글로스_0,펄 인 러브 글로스_1,립 베놈 시리즈_0,립 베놈 시리즈_1,어딕트 립 글로스_0,어딕트 립 글로스_1
0,0.0,0.0,0.0,0.0,46.37681,0.0,0.0,0.0,0.0,0.0,100.0,0.0,52.11267,37.34177,0.0,0.0,0.0,0.0,0.0,18.23056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.61963,0.0,0.0,0.0,0.0,15.84158,0.0,12.5,0.0,0.0,0.0,91.54228,84.32835,0.0,39.85507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,79.41176,30.0,80.28169,34.81012,0.0,0.0,0.0,80.0,2.14477,11.26005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,95.70552,0.0,0.0,0.0,0.0,20.79207,0.0,5.20833,0.0,0.0,0.0,98.00995,88.80597,0.0,28.26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,40.57971,0.0,0.0,0.0,0.0,0.0,77.94117,0.0,71.83098,44.9367,0.0,0.0,0.0,70.0,0.0,5.89812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36585,19.51219,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,76.07361,0.0,0.0,0.0,0.0,46.53465,0.0,7.29166,0.0,0.0,0.0,90.54726,89.30348,0.0,35.50724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,44.92753,0.0,0.0,0.0,0.0,0.0,48.52941,40.0,67.60563,29.74683,0.0,0.0,0.0,0.0,0.0,3.48525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04878,5.4878,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,19.80198,0.0,7.29166,0.0,0.0,0.0,86.06965,87.06467,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,36.23188,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,67.60563,31.01265,0.0,0.0,0.0,0.0,0.0,1.60857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75609,9.14634,0.0,0.0,0.0,0.0,72.22222,0.0,0.0,0.0,70.0,89.57055,0.0,0.0,0.0,0.0,18.81188,0.0,17.70833,0.0,0.0,0.0,77.61194,91.54228,0.0,39.85507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,34.7826,62.5,0.0,0.0,0.0,0.0,55.88235,95.0,63.38028,36.07594,0.0,0.0,0.0,80.0,0.0,2.94906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92682,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,77.5,78.5276,0.0,0.0,0.0,0.0,21.78217,0.0,10.41666,0.0,100.0,0.0,81.84079,98.00995,0.0,38.40579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,36.7647,30.0,80.28169,33.5443,20.0,0.0,0.0,50.0,0.0,16.62198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87804,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,55.0,84.66257,0.0,0.0,0.0,0.0,31.68316,0.0,8.33333,0.0,0.0,0.0,83.33333,90.54726,0.0,28.26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,37.68115,62.5,0.0,0.0,0.0,0.0,42.64705,30.0,85.91549,29.11392,0.0,16.88311,0.0,0.0,0.0,28.95442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65853,3.04878,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,65.0,61.96319,0.0,0.0,0.0,0.0,15.84158,0.0,10.41666,0.0,0.0,0.0,90.79601,86.06965,0.0,98.55072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,44.11764,0.0,77.46478,45.56962,0.0,7.7922,0.0,0.0,3.48525,70.24128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,79.1411,0.0,0.0,0.0,0.0,20.79207,8.47457,0.0,0.0,0.0,0.0,100.0,77.61194,0.0,40.57971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,39.70588,0.0,100.0,41.13924,0.0,15.58441,0.0,0.0,20.10723,75.87131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04878,0.0,0.0,0.0,0.0,38.88888,0.0,0.0,0.0,60.0,69.93865,0.0,0.0,0.0,0.0,49.50495,0.0,12.5,0.0,0.0,0.0,75.37313,81.84079,0.0,37.68115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,34.7826,0.0,0.0,0.0,0.0,0.0,22.05882,0.0,87.32394,41.77215,0.0,14.28571,0.0,60.0,12.60053,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,68.09815,0.0,0.0,0.0,0.0,47.52475,0.0,14.58333,0.0,0.0,0.0,79.35323,83.33333,0.0,76.81159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,20.58823,0.0,52.11267,31.64556,0.0,0.0,0.0,0.0,8.57908,59.24932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53658,3.04878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,65.03067,0.0,0.0,0.0,0.0,37.62376,0.0,43.75,0.0,0.0,0.0,82.08955,90.79601,0.0,78.26086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,0.0,0.0,0.0,33.82352,60.0,57.74647,41.13924,0.0,6.4935,0.0,60.0,24.12868,48.25737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04878,3.04878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,62.57668,0.0,0.0,0.0,0.0,20.79207,0.0,16.66666,0.0,0.0,0.0,85.57213,100.0,0.0,75.36231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
