,바이 플라워 립 컨실러_0,바이 플라워 립 컨실러_1,매트 립 부스팅 프라이머_0,매트 립 부스팅 프라이머_1,커버 퍼펙션 립 컨실러_0,커버 퍼펙션 립 컨실러_1,페이스믹스 프라이머 립 컨실러_0,페이스믹스 프라이머 립 컨실러_1,립프라이머_0,립프라이머_1,키스키스 립 리프트_0,키스키스 립 리프트_1,미니 투 매치 립스틱  립 컨실러 _0,미니 투 매치 립스틱  립 컨실러 _1,톡톡 립 컨실러_0,톡톡 립 컨실러_1,CC 립 프라이머  SPF   PA  _0,CC 립 프라이머  SPF   PA  _1,CC 립 프라이머 틴트  SPF   PA  _0,CC 립 프라이머 틴트  SPF   PA  _1,퍼스트 립밤 리스토어 앤 수딩_0,퍼스트 립밤 리스토어 앤 수딩_1,모이스처라이징 립밤 클래식_0,모이스처라이징 립밤 클래식_1,그린티 립 슬리핑 마스크_0,그린티 립 슬리핑 마스크_1,호호바 립 에센스_0,호호바 립 에센스_1,메디케이티드 립젤_0,메디케이티드 립젤_1,배리어덤 시카 레브르_0,배리어덤 시카 레브르_1,진저 슈가 오버나이트 립 마스크_0,진저 슈가 오버나이트 립 마스크_1,립 슬리핑 마스크_0,립 슬리핑 마스크_1,센슈얼 스파이시 누드 밤_0,센슈얼 스파이시 누드 밤_1,블루베리 하이드레이팅 허니 립 밤_0,블루베리 하이드레이팅 허니 립 밤_1,미니 립테라피 오리지널_0,미니 립테라피 오리지널_1,아토덤 립스틱_0,아토덤 립스틱_1,엑스트라 립 틴트_0,엑스트라 립 틴트_1,데일리 립 컨디셔너 립밤_0,데일리 립 컨디셔너 립밤_1,미니 립 테라피 코코아버터_0,미니 립 테라피 코코아버터_1,립 리페어_0,립 리페어_1,립 메덱스_0,립 메덱스_1,모이스처라이징 립밤 체리 스틱_0,모이스처라이징 립밤 체리 스틱_1,인스턴트 라이트 립 컴포트 오일_0,인스턴트 라이트 립 컴포트 오일_1,모이스처라이징 립밤 체리 단지형_0,모이스처라이징 립밤 체리 단지형_1,리얼젤 핏 라이너_0,리얼젤 핏 라이너_1,원더프루프 펜 아이라이너_0,원더프루프 펜 아이라이너_1,히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_0,히로인 메이크 스무스 리퀴드 아이라이너 슈퍼 킵_1,브론즈 페인팅 워터프루프 아이 펜슬_0,브론즈 페인팅 워터프루프 아이 펜슬_1,샤프 쏘 심플 워터프루프 펜슬 라이너_0,샤프 쏘 심플 워터프루프 펜슬 라이너_1,리퀴드 아이라이너_0,리퀴드 아이라이너_1,리퀴드 디파인 라이너_0,리퀴드 디파인 라이너_1,히로인 메이크 스무스 리퀴드 아이라이너_0,히로인 메이크 스무스 리퀴드 아이라이너_1,프린세스 앙투아네트 리퀴드 아이라이너 브라운_0,프린세스 앙투아네트 리퀴드 아이라이너 브라운_1,라스트 오토 젤 아이라이너 슬림_0,라스트 오토 젤 아이라이너 슬림_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.18032,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41025,15.25423,18.47826,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,62.6506,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.93969,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.21311,46.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36674,100.0,0.0,0.0,0.0,0.0,0.0,18.75,21.79487,8.47457,23.91304,0.0,0.0,0.0,0.0,0.0,20.68965,20.0,69.87951,40.25974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91959,69.45812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.65573,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,34.48275,0.0,93.9759,29.87012,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.92964,71.92118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01639,67.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.02505,0.0,0.0,0.0,0.0,0.0,0.0,18.75,10.25641,15.25423,55.43478,23.4375,0.0,0.0,0.0,0.0,100.0,91.42857,62.6506,49.35064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.86432,62.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09836,76.78571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53846,11.8644,44.56521,10.9375,0.0,0.0,0.0,0.0,34.48275,57.14285,71.08433,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.40201,59.60591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01639,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97435,22.03389,39.13043,28.125,0.0,0.0,0.0,0.0,37.93103,42.85714,55.42168,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.44723,61.08374,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78688,80.35714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25641,25.42372,31.52173,0.0,0.0,0.0,0.0,0.0,31.03448,37.14285,73.49397,55.84415,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.97487,66.99507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9836,58.92857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68337,0.0,0.0,0.0,0.0,0.0,0.0,18.75,16.66666,16.94915,34.7826,0.0,0.0,0.0,0.0,0.0,20.68965,74.28571,45.78313,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.36683,89.16256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01639,58.92857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41025,16.94915,40.21739,0.0,0.0,0.0,0.0,0.0,51.72413,100.0,39.75903,24.67532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.40703,57.14285,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.29508,48.21428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97435,18.64406,52.17391,0.0,0.0,0.0,0.0,0.0,31.03448,20.0,27.71084,22.07792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,53.84615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.88442,62.56157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.54098,80.35714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,20.51282,10.16949,31.52173,0.0,0.0,0.0,0.0,0.0,48.27586,0.0,37.34939,22.07792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.95979,69.45812,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7377,78.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.10256,8.47457,58.69565,0.0,0.0,0.0,0.0,0.0,37.93103,20.0,92.77108,36.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99497,56.15763,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.81967,91.07142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25641,0.0,69.56521,34.375,0.0,0.0,0.0,0.0,58.62068,17.14285,98.79518,22.07792,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.95979,64.53201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
