,잉크 블랙 카라 AD  롱래쉬 컬링 _0,잉크 블랙 카라 AD  롱래쉬 컬링 _1,오 마이 래쉬 쌩얼 카라_0,오 마이 래쉬 쌩얼 카라_1,제트 컬링 마스카라_0,제트 컬링 마스카라_1,히로인 메이크 롱앤컬 마스카라 EX_0,히로인 메이크 롱앤컬 마스카라 EX_1,히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_0,히로인 메이크 롱앤컬 마스카라 슈퍼 워터프루프_1,아이크러쉬 서클 볼륨 마스카라 서클 블랙_0,아이크러쉬 서클 볼륨 마스카라 서클 블랙_1,울트라 파워프루프 마스카라  컬 업 볼륨 _0,울트라 파워프루프 마스카라  컬 업 볼륨 _1,프로 터치 시그니처 뮤즈 마스카라_0,프로 터치 시그니처 뮤즈 마스카라_1,히로인 메이크 롱앤컬 마스카라 S 브라운_0,히로인 메이크 롱앤컬 마스카라 S 브라운_1,울트라 파워프루프 마스카라 컬업 슬림_0,울트라 파워프루프 마스카라 컬업 슬림_1,프로 프라임 스머지 프루프 아이섀도우 베이스_0,프로 프라임 스머지 프루프 아이섀도우 베이스_1,프렙 프라임    아워 익스텐드 아이 베이스_0,프렙 프라임    아워 익스텐드 아이 베이스_1,컬러 픽스 아이 프라이머_0,컬러 픽스 아이 프라이머_1,엑스퍼트 컬러 프라이머 포 아이즈_0,엑스퍼트 컬러 프라이머 포 아이즈_1,아이섀도우 프라이머 포션_0,아이섀도우 프라이머 포션_1,L  픽스 온 아이프라이머_0,L  픽스 온 아이프라이머_1,컬러 락 아이 프라이머_0,컬러 락 아이 프라이머_1,롱웨어 아이 베이스_0,롱웨어 아이 베이스_1,스머지 프루프 아이섀도우 베이스_0,스머지 프루프 아이섀도우 베이스_1,미네랄 아이 컬러 프라이머_0,미네랄 아이 컬러 프라이머_1,G 루미에르 아이 프라이머_0,G 루미에르 아이 프라이머_1,섀도우 인슈어런스_0,섀도우 인슈어런스_1,꾸뛰르 아이 프라이머_0,꾸뛰르 아이 프라이머_1,샘물 아이 프라이머_0,샘물 아이 프라이머_1,아임 스머지 헌터_0,아임 스머지 헌터_1,프루프 잇 워터프루프 아이섀도우 프라이머_0,프루프 잇 워터프루프 아이섀도우 프라이머_1,아티스트 올 픽스 아이 프라이머_0,아티스트 올 픽스 아이 프라이머_1,듀얼프라이머 포 립앤아이_0,듀얼프라이머 포 립앤아이_1,포토포커스 아이섀도우 프라이머_0,포토포커스 아이섀도우 프라이머_1,샘물 글리터 아이 프라이머_0,샘물 글리터 아이 프라이머_1,매트 레디언스 베이크드 파우더 새틴 하이라이터_0,매트 레디언스 베이크드 파우더 새틴 하이라이터_1,메가글로 하이라이터_0,메가글로 하이라이터_1,미네랄라이즈 스킨피니쉬_0,미네랄라이즈 스킨피니쉬_1,쉬머링 스킨 퍼펙터 프레스드 하이라이터_0,쉬머링 스킨 퍼펙터 프레스드 하이라이터_1,엑스트라 디멘션 스킨피니쉬_0,엑스트라 디멘션 스킨피니쉬_1,프리즘 에어 하이라이터_0,프리즘 에어 하이라이터_1,릿지 하이라이터_0,릿지 하이라이터_1,새틴 하이라이터 이탈프리즘_0,새틴 하이라이터 이탈프리즘_1,헤븐스 휴 하이라이터_0,헤븐스 휴 하이라이터_1,단델리온 트윙클_0,단델리온 트윙클_1
0,0.0,0.0,0.0,20.48192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.83915,9.55993,0.0,0.0,0.0,0.0,0.0,23.36448
1,0.0,0.0,22.72727,46.98795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9484,12.74658,0.0,0.0,0.0,0.0,16.98113,19.62616
2,0.0,0.0,27.27272,18.07228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93323,12.74658,0.0,0.0,80.0,100.0,0.0,26.16822
3,0.0,0.0,34.0909,31.3253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.45068,15.78148,0.0,0.0,100.0,0.0,0.0,30.84112
4,0.0,0.0,29.54545,32.53012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.73444,14.11229,0.0,0.0,0.0,38.46153,11.32075,61.68224
5,0.0,0.0,52.27272,30.12048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1745,14.41578,0.0,0.0,50.0,38.46153,26.41509,78.50467
6,0.0,0.0,29.54545,46.98795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71927,19.72685,0.0,0.0,0.0,46.15384,18.86792,28.03738
7,0.0,0.0,20.45454,24.09638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.32625,15.93323,0.0,0.0,50.0,46.15384,18.86792,18.69158
8,0.0,0.0,13.63636,19.2771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52048,17.60242,0.0,0.0,0.0,0.0,0.0,28.03738
9,0.0,0.0,25.0,39.75903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.73444,15.32625,0.0,0.0,80.0,0.0,0.0,17.757
