,브랜드,상품명
320,롬앤 (rom&nd),글래스팅 워터 글로스
321,RMK (알엠케이),립 젤리 글로스
322,롬앤 (rom&nd),립매터
323,에뛰드 (ETUDE),앵두알 촉촉 립 글로우
324,더샘 (the SAEM),샘물 세럼 립글로스
325,나스 (NARS),립 글로스
326,샤넬 (CHANEL),루쥬 코코 글로스
327,디올 (DIOR),어딕트 립 맥시마이저
328,에센스 (essence),샤인 샤인 샤인 립글로스
329,맥 (MAC),크림쉰 글라스
330,랑콤 (LANCOME),압솔뤼 글로스 크림
331,홀리카홀리카 (HOLIKA HOLIKA),멀티 글로이 부스터
332,에스티 로더 (ESTEE LAUDER),퓨어 칼라 엔비 립 글로스
333,스틸라 (stila),뷰티 보스 립 글로스
334,디올 (DIOR),어딕트 울트라 글로스
335,어퓨 (Apieu),와사비야 립 플럼퍼
336,에뛰드 (ETUDE),플럼핑 펄 시럽
337,미샤 (MISSHA),펄 인 러브 글로스
338,듀왑 (DuWop),립 베놈 시리즈
339,디올 (DIOR),어딕트 립 글로스
340,맥 (MAC),프렙+프라임 립
341,캔메이크 (CANMAKE),립 컨실러 모이스트인
342,엘르걸 (ellegirl),립 에센셜 스틱
343,프레쉬 (fresh),슈가 립 원더 드롭 어드밴스드 테라피
344,입생로랑 (YSL),탑시크릿 립 퍼펙터
345,에스쁘아 (espoir),스무딩 립 프라이머
346,칼리 (Calli),립 프라이머
347,마이달리아 (myDahlia),멀티 립밤앤컨실러
348,바닐라코 (BANILA CO),립 서비스
349,맥 (MAC),(페탈 파워 컬렉션) 프렙+프라임 립
350,네이처리퍼블릭 (NATURE REPUBLIC),바이 플라워 립 컨실러
351,포니이펙트 (PONY EFFECT),매트 립 부스팅 프라이머
352,더샘 (the SAEM),커버 퍼펙션 립 컨실러
353,토니모리 (TONYMOLY),페이스믹스 프라이머 립 컨실러
354,라네즈 (LANEIGE),립프라이머
355,겔랑 (GUERLAIN),키스키스 립 리프트
356,에뛰드 (ETUDE),미니 투 매치 립스틱 [립 컨실러]
357,이니스프리 (innisfree),톡톡 립 컨실러
358,케이트 (KATE),CC 립 프라이머 [SPF13/PA+]
